,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2458,2024-01-08,178.0,181.5,172.0,174.9499969482422,174.9499969482422,153741,175.25,179.5800003051758,169.2610006713867,-0.2575012207031193,,0,Sell
2275,2023-04-11,81.0,85.69999694824219,81.0,83.9000015258789,83.33539581298828,199204,80.8499984741211,69.95749931335449,72.8070004272461,1.67249946594238,0.20399978637695426,1,Buy
2215,2023-01-10,91.9000015258789,92.0,90.1999969482422,91.1999969482422,90.58626556396484,103153,90.5999984741211,91.42249984741211,92.57699996948242,-1.7200004577636747,-0.055999908447262214,0,Sell
2207,2022-12-29,88.25,92.0999984741211,88.25,91.0999984741211,90.48694610595705,130839,89.5999984741211,93.24750022888183,92.45699996948242,-1.4300003051757812,0.0719999694824196,1,Buy
2193,2022-12-09,99.9499969482422,100.6999969482422,95.9000015258789,96.6500015258789,95.99959564208984,175541,99.3000030517578,94.02750015258789,93.78,1.5125003814697209,-0.11799987792969091,0,Sell
2192,2022-12-08,99.4499969482422,101.0,97.5999984741211,99.3000030517578,98.63176727294922,256247,98.8499984741211,93.66749992370606,93.72399993896484,1.3650001525878963,0.041000213623050286,1,Buy
2152,2022-10-11,98.4000015258789,101.5500030517578,96.6999969482422,97.6500015258789,96.99286651611328,108443,99.1500015258789,102.55750045776367,103.84900024414063,-2.7200000762939567,-0.08899993896484659,0,Sell
2096,2022-07-19,72.0,76.69999694824219,71.94999694824219,75.75,75.24024200439453,202634,72.6500015258789,69.43749980926513,74.78000007629394,0.35499992370604616,0.234999694824225,1,Buy
2066,2022-06-07,78.5,80.30000305175781,78.1500015258789,78.75,78.22005462646484,84160,79.0999984741211,80.92750053405761,83.13600051879882,-2.129999923706052,-0.034000091552726985,0,Sell
2034,2022-04-21,86.5999984741211,90.0,86.4000015258789,88.5999984741211,88.00376892089844,167410,85.69999694824219,82.91750030517578,78.84399993896484,5.150000762939456,0.1439999389648392,1,Buy
2013,2022-03-21,75.5,79.8499984741211,74.6500015258789,77.69999694824219,77.17711639404297,252442,74.9000015258789,72.73749923706055,81.55400009155274,-3.1575008392333928,-0.1590000915527412,0,Sell
1957,2021-12-28,58.70000076293945,60.5,57.900001525878906,59.75,59.3479118347168,645111,57.09999847412109,59.50750026702881,60.005000076293946,-0.7900001525878864,0.08500000000000085,1,Buy
1946,2021-12-13,64.55000305175781,64.94999694824219,63.0,63.20000076293945,62.774696350097656,63382,63.150001525878906,60.28250026702881,60.48900001525879,-0.14749984741210653,-0.08699989318847656,0,Sell
1937,2021-11-30,58.79999923706055,60.0,57.5,58.09999847412109,57.709014892578125,50358,57.54999923706055,60.435000038146974,60.18999984741211,0.05000019073486328,0.1490001678466797,1,Buy
1936,2021-11-29,60.95000076293945,60.95000076293945,56.0,57.54999923706055,57.162715911865234,84136,58.95000076293945,60.525,60.33499992370606,0.11750030517578125,-0.04199989318848196,0,Sell
1913,2021-10-25,59.04999923706055,59.84999847412109,55.5,56.900001525878906,56.51709365844727,110375,58.400001525878906,60.867499923706056,57.768999862670896,0.8250000000000028,0.13799995422363764,1,Buy
1855,2021-07-30,64.0,68.6500015258789,62.70000076293945,66.5,66.052490234375,505882,64.19999694824219,63.42000026702881,63.901000061035155,0.8549999237060604,-0.141000137329101,0,Sell
1787,2021-04-23,36.75,36.75,35.400001525878906,36.29999923706055,36.05571746826172,65388,36.0,35.73500022888184,36.64200004577637,-0.5824998855590806,0.026000061035155397,1,Buy
1751,2021-02-25,36.79999923706055,37.79999923706055,36.650001525878906,37.04999923706055,36.8006706237793,157743,36.5,37.11249980926514,38.160000152587884,-0.312500190734859,-0.04800010681152145,0,Sell
1677,2020-11-10,30.799999237060547,30.799999237060547,29.299999237060547,30.149999618530277,29.947105407714844,69691,30.0,27.98000011444092,28.51200012207032,0.2324998855590792,0.08600002288818231,1,Buy
