,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2458,2024-01-08,34700.0,35103.75,33812.94921875,34070.6015625,34070.6015625,5414,34696.94921875,32993.46220703125,31655.4178515625,1524.307421874997,,0,Sell
2430,2023-11-28,30325.19921875,30898.0,30306.0,30424.0,30424.0,4700,30325.19921875,30826.832421875,30757.261953125,253.2874023437471,38.482031250001455,1,Buy
2418,2023-11-08,31294.69921875,31675.5,31239.150390625,31479.849609375,31479.849609375,1295,31321.0,30436.02001953125,30961.27609375,-140.26250000000073,-19.705078125,0,Sell
2285,2023-04-26,22296.19921875,22550.0,22259.349609375,22425.69921875,22346.283203125,3083,22296.19921875,22728.73740234375,22762.271015625,-106.27753906249927,13.841992187499272,1,Buy
2276,2023-04-12,23200.0,23280.849609375,23000.099609375,23031.900390625,22950.337890625,1263,23281.900390625,22896.4849609375,22793.97203125,-92.32265624999854,-15.634960937499272,0,Sell
2248,2023-02-27,22000.0,22265.0,21650.0,21944.5,21866.7890625,4044,21853.650390625,22594.23251953125,22515.905078125,-220.5574218749971,32.45703125,1,Buy
2182,2022-11-24,22998.94921875,23200.0,22900.0,22929.099609375,22847.900390625,1485,22974.44921875,23414.80244140625,23567.104921875,171.50273437500073,-4.675039062502037,0,Sell
2078,2022-06-23,19898.849609375,20380.0,19625.0,20300.30078125,19521.298828125,3103,19764.849609375,20094.58740234375,19663.766796875,599.3426757812485,14.2890625,1,Buy
2069,2022-06-10,20611.0,20699.0,20356.55078125,20484.75,19698.671875,1037,20672.5,19252.3421875,19759.4298046875,929.4274414062493,-39.80601562499942,0,Sell
2059,2022-05-27,17690.0,17799.0,17273.0,17563.44921875,16889.47265625,5984,17457.69921875,18451.9296875,19636.290859375,-901.5576171875,56.77800781249971,1,Buy
1944,2021-12-09,25778.55078125,25999.900390625,25200.099609375,25323.349609375,24351.595703125,1528,25778.349609375,25720.04267578125,25783.0450390625,-336.0149414062507,-7.141992187502183,0,Sell
1935,2021-11-26,25899.0,25899.849609375,25054.0,25185.0,24218.5546875,1359,25831.650390625,26145.305078125,25732.535,-177.9923828125029,7.279062500001601,1,Buy
1934,2021-11-25,25885.0,25916.80078125,25570.0,25831.650390625,24840.390625,621,25885.0,26161.06005859375,25718.92,-159.0048828125,-6.220937499998399,0,Sell
1880,2021-09-06,24603.0,24989.94921875,24402.0,24496.25,23556.234375,1442,24537.05078125,23738.03994140625,24198.44703125,-269.99267578125,23.342968749999272,1,Buy
1805,2021-05-20,26000.0,26197.849609375,25450.0,25538.30078125,24558.298828125,2082,25884.099609375,25543.0126953125,26687.25296875,-533.6423828125007,-31.989960937498836,0,Sell
1749,2021-02-23,21211.0,21450.0,20866.44921875,21015.80078125,20209.34375,4487,21024.44921875,20787.69755859375,21216.6260546875,112.58759765624927,119.15800781250073,1,Buy
1726,2021-01-20,21499.0,21546.400390625,21120.75,21259.650390625,20443.8359375,4467,21464.19921875,21266.8099609375,21620.898984375,-403.18017578125,-62.8439843749984,0,Sell
1675,2020-11-06,20003.05078125,20500.0,20003.05078125,20183.099609375,19408.595703125,4490,20214.25,19038.9224609375,19031.1409765625,244.29248046875,22.33796875000189,1,Buy
1634,2020-09-09,19145.0,19299.0,18532.099609375,18807.349609375,18085.640625,2475,19130.69921875,20544.76259765625,20543.487109375,-470.89511718750146,-11.426054687501164,0,Sell
1586,2020-07-03,18828.0,18990.0,18350.0,18440.400390625,17732.771484375,3354,18647.099609375,18366.794921875,18322.4679296875,251.00244140625,10.670078125000146,1,Buy
1576,2020-06-19,18899.0,18899.0,18300.0,18593.30078125,17879.8046875,8327,18770.94921875,18002.29755859375,18384.9849609375,154.25244140625,-4.058007812502183,0,Sell
1562,2020-06-01,18290.0,18479.0,17800.0,18057.0,17364.083984375,6563,18299.150390625,18090.1599609375,18276.6759375,-478.2023437499993,45.87699218749913,1,Buy
1505,2020-03-03,20470.0,20995.0,20312.0,20632.94921875,19841.18359375,7108,20131.650390625,22173.37236328125,21964.3248828125,-536.1423828125007,-18.43207031250131,0,Sell
1501,2020-02-26,20815.0,21100.0,20700.0,20771.599609375,19974.513671875,3205,20881.25,22549.3923828125,21992.3808984375,-187.62246093749854,1.015937500000291,1,Buy
1498,2020-02-20,21920.0,21986.5,21602.650390625,21683.400390625,20851.32421875,2057,21821.0,22709.51474609375,21967.9888671875,64.375,-3.6639843750017462,0,Sell
1478,2020-01-23,22399.849609375,22458.75,22250.0,22409.69921875,21549.751953125,671,22258.94921875,21686.4798828125,21758.63203125,373.6148437499978,3.2009375000016007,1,Buy
1459,2019-12-27,21496.0,21638.349609375,21451.19921875,21476.25,20652.125,385,21496.650390625,21461.52509765625,21879.17203125,-435.6625000000022,-9.626054687501892,0,Sell
1407,2019-10-11,19802.0,20189.0,19802.0,20021.05078125,19252.765625,963,19852.94921875,19854.65263671875,20375.065078125,-116.52988281249782,6.944999999999709,1,Buy
1305,2019-05-13,22727.400390625,23118.0,22727.400390625,22783.80078125,21909.5,652,22936.599609375,23949.31240234375,23807.3559375,-356.7501953125029,-15.965937500001019,0,Sell
1249,2019-02-12,21761.849609375,21761.849609375,20901.05078125,21213.650390625,20399.6015625,1884,21619.19921875,20658.01240234375,21106.82890625,121.51240234374927,9.6240234375,1,Buy
1234,2019-01-22,20894.94921875,20895.849609375,20611.05078125,20724.80078125,19929.51171875,1862,20895.900390625,20629.1900390625,21133.5559765625,-694.27490234375,-15.805039062499418,0,Sell
1220,2019-01-02,20666.349609375,20666.349609375,19952.44921875,19985.75,19218.8203125,8642,20666.349609375,21843.29736328125,21006.13796875,-28.840039062499272,24.986953125000582,1,Buy
1210,2018-12-18,22889.94921875,23400.0,22551.0,22845.099609375,21968.447265625,1932,22963.599609375,21533.31494140625,21144.7259765625,599.2048828125007,-43.238007812498836,0,Sell
1206,2018-12-12,21136.650390625,22520.0,21135.0,22459.69921875,21597.833984375,2830,20969.19921875,21058.72744140625,21132.736015625,525.8575195312478,47.4609375,1,Buy
1159,2018-10-03,23350.0,23800.0,22577.80078125,22656.400390625,21786.98828125,1720,23088.150390625,24567.032421875,24366.3319921875,-900.17236328125,-88.09304687500116,0,Sell
1105,2018-07-12,19900.5,20199.0,19716.05078125,19888.349609375,19125.15625,823,19886.900390625,19704.275,19713.21,343.9875000000029,38.42503906250204,1,Buy
1056,2018-05-04,20501.0,20634.80078125,20256.0,20451.44921875,19666.6484375,906,20524.69921875,20556.17734375,20303.1059375,324.6923828125,-12.385000000002037,0,Sell
1053,2018-04-30,20700.0,20700.0,20455.0,20524.099609375,19736.51171875,675,20479.19921875,20483.10244140625,20290.3589453125,394.5325195312471,15.862031250002474,1,Buy
1052,2018-04-27,20356.150390625,20505.19921875,20356.150390625,20479.19921875,19693.333984375,885,20412.849609375,20429.7849609375,20314.9089453125,388.23251953125146,-6.163984375001746,0,Sell
878,2017-08-14,13650.0498046875,14050.0,13650.0498046875,13860.650390625,13328.763671875,2457,13590.0498046875,13413.544970703126,13609.5190234375,-74.98261718749927,5.816015624999636,1,Buy
869,2017-08-01,13375.0,13390.0,13111.0,13354.2001953125,12841.7490234375,1477,13378.25,13535.1400390625,13633.64001953125,-52.4150390625,-6.909980468750291,0,Sell
867,2017-07-28,13328.9501953125,13444.9501953125,13210.0,13383.0498046875,12869.4912109375,1929,13226.25,13534.17255859375,13637.64201171875,-107.23256835937536,9.139023437499418,1,Buy
863,2017-07-24,13520.650390625,13520.650390625,13287.849609375,13351.25,12838.9111328125,983,13386.900390625,13564.430078125,13639.18900390625,-137.82001953124927,-2.4469726562492724,0,Sell
801,2017-04-25,11668.75,11668.849609375,11400.0,11434.75,10995.955078125,1511,11553.25,11697.249951171874,11352.71703125,274.68491210937464,5.575976562498909,1,Buy
774,2017-03-15,11085.0,11168.849609375,10999.9501953125,11078.400390625,10653.279296875,1214,11042.0,11055.80751953125,11558.09005859375,-301.050048828125,-6.7019921874998545,0,Sell
739,2017-01-20,12299.9501953125,12447.7001953125,12200.0,12293.400390625,11821.6552734375,412,12282.7998046875,11452.974951171875,11335.99396484375,665.4024414062496,8.137050781249854,1,Buy
649,2016-09-09,13194.0,13255.5498046875,13125.5498046875,13182.0498046875,12676.2041015625,565,13193.2001953125,13084.825048828125,13467.78701171875,-211.507568359375,-1.6719921875010186,0,Sell
601,2016-06-30,12545.0,12950.0498046875,12530.0498046875,12823.349609375,12331.2685546875,1715,12513.849609375,12357.382568359375,12812.78701171875,-172.87504882812573,13.186972656249054,1,Buy
594,2016-06-21,12370.0,12500.0,12368.0,12417.4501953125,11940.9453125,180,12369.5498046875,12530.2576171875,12848.56802734375,-211.3599121093739,-35.78101562499978,0,Sell
530,2016-03-16,10800.0,10800.0,10660.75,10772.7001953125,10359.310546875,467,10722.0498046875,10719.842578125,10503.12302734375,-85.01752929687427,7.66802734374869,1,Buy
521,2016-03-02,10876.0,11000.0,10715.0,10755.900390625,10343.1552734375,1192,10875.9501953125,10713.76005859375,10529.06599609375,267.6100585937511,-0.2779687500005821,0,Sell
518,2016-02-26,10487.5,10487.5,10201.0,10350.0,9952.8310546875,654,10299.4501953125,10615.392529296874,10540.0319921875,320.61000976562354,2.5800195312494907,1,Buy
460,2015-12-04,11279.0498046875,11356.849609375,11115.0,11174.25,10745.451171875,633,11279.7998046875,11464.662548828124,11417.4609765625,-199.5099609375011,-4.512988281248909,0,Sell
354,2015-06-30,8343.9501953125,8390.0,8299.9501953125,8331.2998046875,8011.595703125,243,8276.5,8385.802587890625,8196.667041015626,61.3074951171875,2.1640039062494907,1,Buy
342,2015-06-12,8499.0,8499.0,8161.9501953125,8204.650390625,7889.80615234375,521,8319.75,8297.780053710938,8278.252001953126,236.08251953125,-25.655976562500655,0,Sell
317,2015-05-08,7850.0,7879.9501953125,7700.0,7754.0,7456.44921875,347,7615.9501953125,8405.72744140625,8123.1499609375,-51.18500976562427,6.342001953124964,1,Buy
314,2015-05-05,7820.39990234375,8070.0,7820.39990234375,8006.85009765625,7699.5966796875,574,7979.85009765625,8470.457446289063,8117.75294921875,58.719970703125,-7.5869824218743815,0,Sell
222,2014-12-16,6218.2998046875,6247.7001953125,6050.10009765625,6176.0,5939.00341796875,764,6219.9501953125,6390.87001953125,6278.27599609375,-3.134936523437318,3.0390039062494907,1,Buy
217,2014-12-09,6374.85009765625,6584.9501953125,6335.0,6377.14990234375,6132.43408203125,667,6602.9501953125,6429.394995117187,6285.19798828125,79.47751464843714,-14.539999999999964,0,Sell
51,2014-04-01,3551.0,3589.0,3551.0,3588.25,3450.554931640625,253,3527.550048828125,3638.7175048828126,3655.086005859375,-28.04498291015625,1.1600048828127,1,Buy
36,2014-03-10,3743.89990234375,3799.0,3630.050048828125,3679.89990234375,3538.68798828125,477,3743.89990234375,3684.9474975585936,3667.25833468967,12.469995117187409,-1.2746183015883616,0,Sell
9,2014-01-29,3625.0,3647.0,3596.14990234375,3599.60009765625,3461.4697265625,211,3613.10009765625,3641.6055501302085,3641.6055501302085,17.905598958333485,3.54133097330714,1,Buy
5,2014-01-23,3760.0,3760.0,3640.0,3648.0,3508.01220703125,462,3741.89990234375,3646.03994140625,3646.03994140625,,-14.035770670572674,0,Sell
1,2014-01-17,3700.0,3700.0,3611.75,3629.75,3490.46240234375,40,3617.64990234375,3617.64990234375,3617.64990234375,,27.518829345703125,1,Buy
