,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2459,2024-01-08,446.8500061035156,452.0,437.0,439.5499877929688,439.5499877929688,73657,449.0499877929688,500.26000213623047,421.07799865722654,-29.6474960327148,,0,Sell
2421,2023-11-10,298.75,298.75,292.95001220703125,298.75,298.75,646315,284.54998779296875,264.8174995422363,283.401999206543,2.902499389648426,1.202999877929642,1,Buy
2407,2023-10-20,283.0,290.1499938964844,275.3999938964844,278.3999938964844,278.3999938964844,119225,282.20001220703125,269.87499923706054,292.1770010375977,-14.369998931884766,-1.6510009765625,0,Sell
2320,2023-06-15,171.1999969482422,171.89999389648438,168.5,169.75,168.60438537597656,48480,171.0,168.03250045776366,169.99900085449218,-2.0675003051757983,0.02899963378905568,1,Buy
2277,2023-04-13,170.0,175.0,169.14999389648438,172.5500030517578,171.385498046875,133383,170.0500030517578,172.29000091552734,184.36900024414064,-8.509999084472668,-0.3769998168945392,0,Sell
2260,2023-03-16,166.75,170.0,162.0,164.0,162.89320373535156,781697,166.5500030517578,195.88499908447267,182.65099975585937,-2.6800003051757812,0.2650003051757892,1,Buy
2258,2023-03-14,181.4499969482422,184.25,172.5,173.1999969482422,172.03111267089844,119563,181.0500030517578,199.92749938964843,182.7029998779297,3.609999084472662,-0.02100006103518126,0,Sell
2206,2022-12-28,157.39999389648438,161.64999389648438,153.8000030517578,157.39999389648438,156.33773803710938,134445,157.85000610351562,154.9025001525879,155.88899993896484,2.3675010681152457,0.20399993896484148,1,Buy
2135,2022-09-15,185.3999938964844,193.6499938964844,184.6999969482422,186.3500061035156,185.0923614501953,91457,186.6499938964844,184.27499771118164,185.0009994506836,-0.9375007629394645,-0.5929995727539108,0,Sell
2091,2022-07-12,190.0,191.3500061035156,186.0,187.75,186.48291015625,55236,189.3000030517578,168.3224998474121,170.36800079345704,3.9625000000000057,0.8629995727538926,1,Buy
2032,2022-04-19,285.6000061035156,305.3999938964844,285.1000061035156,292.54998779296875,290.5756225585937,70011,294.3500061035156,264.93250198364257,248.4490005493164,27.052500915527332,-0.0600003051757767,0,Sell
