,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
866,2024-01-08,744.8499755859375,747.5999755859375,725.75,731.5,731.5,56487,729.0,673.5224975585937,637.8660021972656,44.84999389648431,,0,Sell
851,2023-12-15,622.2000122070312,630.4500122070312,621.0,622.75,622.75,10016,620.7999877929688,622.9850067138672,615.4110034179688,0.7925048828125227,0.7969995117186954,1,Buy
826,2023-11-08,640.0,642.9500122070312,619.0,624.0999755859375,624.0999755859375,17880,637.75,603.6325073242188,624.5360021972656,-6.717495727539017,-0.13500122070308862,0,Sell
818,2023-10-27,584.1500244140625,603.1500244140625,571.5,582.5,582.5,20282,578.4000244140625,613.1375030517578,623.515,-16.96749572753913,0.3260021972656659,1,Buy
811,2023-10-17,611.0499877929688,616.4000244140625,605.4000244140625,609.4500122070312,609.4500122070312,7670,609.3499755859375,630.1049987792969,623.8170007324219,-14.26000061035154,-0.3020007324219023,0,Sell
778,2023-08-29,591.0,624.0,591.0,608.5499877929688,608.5499877929688,35474,594.9500122070312,599.5850067138672,612.70900390625,-5.25250244140625,0.09000000000003183,1,Buy
739,2023-07-04,623.9500122070312,629.4000244140625,610.0499877929688,613.5,613.5,15293,612.25,633.6850036621094,630.4650048828125,-0.0500030517578125,-1.0759997558593568,0,Sell
680,2023-04-06,470.3500061035156,481.8500061035156,469.0499877929688,475.75,475.75,7152,470.3500061035156,480.8800048828125,515.4930029296875,-24.05749969482423,1.3850012207032023,1,Buy
576,2022-11-04,804.0,806.4000244140625,780.0,800.5,800.5,10071,798.0999755859375,770.4,790.3320007324219,-1.5725067138672557,-2.675001220703166,0,Sell
570,2022-10-27,757.25,757.25,733.0,736.2999877929688,736.2999877929688,4456,748.2999877929688,771.2125061035156,790.2780029296875,-19.445001220703148,1.2609973144531068,1,Buy
560,2022-10-12,805.0499877929688,812.7000122070312,791.0,793.7000122070312,793.7000122070312,4012,803.8499755859375,802.7950042724609,791.9340014648437,-20.94249572753904,-0.5259985351561909,0,Sell
499,2022-07-13,749.0,767.4000244140625,735.0499877929688,741.9000244140625,741.9000244140625,26496,722.75,644.2675018310547,679.2969970703125,-4.457495117187477,1.0499999999999545,1,Buy
304,2021-09-30,1471.0,1476.800048828125,1440.0,1443.75,1443.75,18247,1470.800048828125,1463.655010986328,1484.6710083007813,27.465002441406114,-0.08300292968760914,0,Sell
257,2021-07-23,1428.0,1517.3499755859375,1401.0,1481.800048828125,1478.8555908203125,80240,1413.5999755859375,1392.0300048828126,1411.55,13.16749877929692,0.5260034179686954,1,Buy
233,2021-06-18,1362.0999755859375,1379.0,1275.0,1340.8499755859375,1338.185546875,18209,1356.800048828125,1416.4400024414062,1444.1479858398438,-42.732489013671966,-4.463996582031314,0,Sell
177,2021-03-25,972.9500122070312,972.9500122070312,921.1500244140624,927.9500122070312,926.1060791015624,8973,962.4500122070312,969.1725036621094,947.8360021972657,19.380001831054756,0.637000732421825,1,Buy
141,2021-02-02,874.0499877929688,910.0,833.0,884.4500122070312,882.6925048828125,34466,874.0499877929688,967.0574981689454,1000.1849987792968,-35.75,-0.049001464843740905,0,Sell
18,2020-08-07,284.0,284.0,284.0,284.0,283.4356689453125,2059,270.5,328.63333384195965,328.63333384195965,-46.86212181322503,0.46666676839191723,1,Buy
