,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
1296,2024-01-08,1569.949951171875,1574.949951171875,1536.8499755859375,1552.449951171875,1552.449951171875,98841,1566.050048828125,1529.9949890136718,1497.70298828125,31.649999999999864,,0,Sell
1293,2024-01-03,1583.1500244140625,1583.1500244140625,1564.0,1567.699951171875,1567.699951171875,152707,1575.449951171875,1519.6099853515625,1499.2159887695314,21.807489013671784,1.2809985351561863,1,Buy
1242,2023-10-18,1642.5999755859375,1648.949951171875,1616.1500244140625,1635.1500244140625,1635.1500244140625,109116,1641.050048828125,1706.1699951171875,1650.5959912109374,7.5724914550780795,-1.0939965820311954,0,Sell
1169,2023-07-04,1543.699951171875,1554.0,1488.0,1531.75,1531.75,368388,1536.0,1398.3549926757812,1422.4669921875,23.590002441406114,5.524003906250073,1,Buy
1078,2023-02-15,2009.0,2010.0,1926.050048828125,1945.699951171875,1945.699951171875,225796,1982.25,1907.2724975585938,1887.7600024414062,61.409997558593886,-2.9900024414062045,0,Sell
1067,2023-01-31,1855.9000244140625,1855.9000244140625,1804.0,1809.25,1809.25,214587,1860.1500244140625,1825.2825012207031,1879.627001953125,-1.7400024414059772,0.17499999999995453,1,Buy
983,2022-09-29,2204.5,2225.0,2130.050048828125,2161.5,2161.5,85960,2193.0,2242.192492675781,2242.467995605469,-16.95001220703125,-3.116003417968841,0,Sell
933,2022-07-18,2016.0,2016.0,1957.0,1996.9000244140625,1996.9000244140625,136383,1992.449951171875,1982.2099975585938,2071.097001953125,-0.402496337890625,0.3789965820310499,1,Buy
843,2022-03-08,2591.0,2619.60009765625,2525.0,2554.300048828125,2554.300048828125,44917,2600.14990234375,2925.752490234375,2855.272998046875,-82.7550048828125,-3.982006835937227,0,Sell
799,2022-01-03,2640.0,2659.89990234375,2597.14990234375,2627.35009765625,2627.35009765625,29469,2616.050048828125,2540.0550048828127,2690.2430078125,-93.60749511718723,1.9629980468753274,1,Buy
780,2021-12-07,2660.0,2675.0,2405.0,2485.10009765625,2485.10009765625,135900,2645.39990234375,2783.227502441406,2746.0239990234377,-8.525012207031523,-2.196997070312591,0,Sell
737,2021-10-04,2565.0,2634.949951171875,2550.85009765625,2606.35009765625,2606.35009765625,36186,2557.25,2500.3724731445313,2514.9879833984373,50.594970703125,8.7539990234377,1,Buy
705,2021-08-17,2602.199951171875,2678.0,2602.199951171875,2656.39990234375,2656.39990234375,78066,2605.800048828125,2606.127478027344,2635.3449951171874,-107.15250244140634,-3.247001953124709,0,Sell
632,2021-05-04,2264.0,2316.14990234375,2221.0,2247.199951171875,2247.199951171875,40444,2284.449951171875,2297.45,2281.66400390625,-35.63750000000027,0.7269970703123363,1,Buy
627,2021-04-27,2259.0,2290.0,2205.0,2277.10009765625,2277.10009765625,183672,2235.89990234375,2320.6,2283.725009765625,-2.577490234375091,-1.5890087890625182,0,Sell
512,2020-11-05,1475.0,1497.0,1429.0,1433.550048828125,1433.550048828125,191561,1468.8499755859375,1469.9774963378907,1430.7019995117187,13.367498779296966,0.7620019531250364,1,Buy
507,2020-10-29,1455.0,1479.75,1436.1500244140625,1465.8499755859375,1465.8499755859375,13499,1465.75,1465.6224975585938,1429.1,42.41249389648442,-1.810998535156159,0,Sell
402,2020-06-03,1083.449951171875,1135.5,1062.050048828125,1084.800048828125,1084.800048828125,50625,1081.449951171875,1040.7600006103517,1129.9919970703124,-43.56250305175763,2.513996582031268,1,Buy
344,2020-03-04,1915.0999755859373,1944.0,1872.0,1899.199951171875,1899.199951171875,68659,1918.199951171875,1907.3399963378902,1940.0149975585937,-20.804998779296966,-5.045998535156286,0,Sell
227,2019-09-13,1540.0,1540.0,1495.0,1508.550048828125,1508.550048828125,11479,1541.5999755859375,1528.8574951171875,1505.308994140625,15.20499877929683,1.1000024414063319,1,Buy
226,2019-09-12,1565.0,1565.0,1530.300048828125,1541.5999755859375,1541.5999755859375,17404,1549.9000244140625,1528.5574951171875,1504.4629956054687,14.887500000000045,-0.1479980468748181,0,Sell
26,2018-11-15,674.75,683.9500122070312,666.5999755859375,680.2000122070312,680.2000122070312,6829,674.75,673.4000030517578,697.094233586238,-36.35000016061883,0.1936470511909647,1,Buy
3,2018-10-11,760.0,774.7000122070312,745.0,758.2999877929688,758.2999877929688,64953,791.2999877929688,777.7833251953125,777.7833251953125,,-15.143316650390602,0,Sell
1,2018-10-09,762.0,785.0,731.0,767.7000122070312,767.7000122070312,293295,774.3499755859375,774.3499755859375,774.3499755859375,,2.0687789916992188,1,Buy
