,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2459,2024-01-08,2400.050048828125,2407.10009765625,2329.75,2354.75,2354.75,538613,2377.449951171875,2201.9299926757812,2015.5649975585939,89.33498535156241,,0,Sell
2432,2023-11-29,1886.0,1887.1500244140625,1861.0999755859373,1871.800048828125,1871.800048828125,398562,1869.0,1847.4499938964843,1936.052998046875,-36.667504882812636,0.6940014648437227,1,Buy
2402,2023-10-13,2022.1500244140625,2030.699951171875,2008.0,2010.449951171875,2010.449951171875,141242,2029.550048828125,2009.9350036621095,1999.8240014648434,-14.072503662109284,-1.7180004882811772,0,Sell
2305,2023-05-25,1780.4000244140625,1789.0,1755.0999755859375,1778.1500244140625,1760.1270751953125,543016,1780.4000244140625,1767.4325073242187,1746.1580004882812,8.790002441406159,2.258999023437582,1,Buy
2297,2023-05-15,1804.949951171875,1812.8499755859373,1763.300048828125,1799.9000244140625,1781.6566162109375,366238,1798.0,1757.0250061035156,1749.705,18.985015869140625,-1.4249999999999545,0,Sell
2292,2023-05-08,1774.800048828125,1778.9000244140625,1755.0,1766.6500244140625,1748.74365234375,582663,1764.6500244140625,1745.7774963378906,1752.4439990234375,27.54750366210942,0.43300048828132276,1,Buy
2213,2023-01-06,2435.199951171875,2457.050048828125,2400.0,2415.949951171875,2391.46240234375,203880,2440.199951171875,2524.022509765625,2498.2530078125,-57.12999267578152,-0.8870117187502728,0,Sell
2186,2022-11-30,2516.949951171875,2570.0,2507.550048828125,2563.25,2537.26953125,565921,2514.050048828125,2459.2550048828125,2407.3160009765625,65.48750000000018,5.742001953125055,1,Buy
2178,2022-11-18,2456.0,2470.0,2414.75,2460.699951171875,2435.7587890625,540609,2448.14990234375,2383.0550048828127,2412.1089990234377,53.225000000000364,-0.12000000000034561,0,Sell
2103,2022-07-28,2204.89990234375,2204.89990234375,2176.5,2180.75,2158.646484375,249369,2190.25,2169.105029296875,2155.701015625,26.61749267578125,1.778999023437791,1,Buy
2068,2022-06-09,2130.5,2150.0,2122.699951171875,2138.10009765625,2116.428955078125,335166,2135.5,2189.1425048828123,2202.4209912109377,-31.57498779296884,-2.7539941406253092,0,Sell
2033,2022-04-20,2075.0,2221.75,2065.64990234375,2208.25,2185.86767578125,3687080,2056.5,2126.3174682617187,2133.0369848632813,34.06748657226535,0.46299804687487267,1,Buy
1963,2022-01-05,2225.0,2246.0,2220.10009765625,2241.300048828125,2158.760498046875,372959,2224.300048828125,2214.8724975585938,2312.7549951171877,-25.669995117187682,-1.6359960937502365,0,Sell
1960,2021-12-31,2163.0,2238.5,2162.449951171875,2215.75,2134.1513671875,467894,2163.25,2216.529992675781,2313.1669970703124,-57.75999755859402,1.4149999999999636,1,Buy
