,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2451,2023-12-28,613.5,615.3499755859375,603.0,609.0999755859375,609.0999755859375,135068,609.2999877929688,578.8300018310547,574.627001953125,7.380001831054642,,0,Sell
2449,2023-12-26,605.0,628.0,595.0,608.7999877929688,608.7999877929688,666798,590.8499755859375,574.2475006103516,575.9790026855469,4.1100006103515625,0.7559948730468022,1,Buy
2425,2023-11-20,570.0499877929688,575.0499877929688,566.0999755859375,571.0,571.0,53283,570.0499877929688,564.4450012207031,579.4379992675781,-20.607504272460915,-0.9819995117187545,0,Sell
2359,2023-08-11,415.8999938964844,415.8999938964844,410.2999877929688,412.2000122070313,412.2000122070313,72848,411.75,419.21749725341795,424.37999938964845,-2.0175018310546875,0.9599993896484307,1,Buy
2316,2023-06-09,441.4500122070313,441.4500122070313,428.75,432.6000061035156,419.7571105957031,52294,437.1000061035156,449.64499816894534,447.7159991455078,-7.727500915527344,-1.2529992675781045,0,Sell
2261,2023-03-17,404.25,413.9500122070313,403.3500061035156,410.5499877929688,398.3616943359375,23377,400.25,425.6024993896484,425.9060009765625,-7.670001220703227,0.23999816894530568,1,Buy
2254,2023-03-08,428.5,431.7000122070313,422.2000122070313,429.0,416.2639770507813,53770,425.8500061035156,433.27250061035164,426.02000122070314,-3.7024993896484375,-0.5740020751953239,0,Sell
2241,2023-02-16,442.0,443.1000061035156,435.0,438.2999877929688,425.2878723144531,48442,438.7999877929688,432.19500122070315,426.3340014648438,9.350000000000023,0.16299987792962156,1,Buy
2236,2023-02-09,442.0,457.1000061035156,441.7999877929688,448.8999938964844,435.57318115234375,140155,441.2000122070313,425.8600021362305,425.1140014648438,9.264999389648438,-0.16900024414064774,0,Sell
2224,2023-01-23,428.0,428.0,418.5,422.5,409.9569396972656,21829,420.6499938964844,415.58500213623046,425.4770013427735,-3.7624999999999886,0.4560003662109011,1,Buy
2164,2022-10-28,490.8500061035156,492.0,473.75,482.3500061035156,468.0301513671875,87949,489.8500061035156,445.83499908447277,455.86299865722657,9.90249938964854,-1.2459991455078239,0,Sell
2092,2022-07-13,334.3999938964844,343.6499938964844,330.0,330.3500061035156,314.2958984375,71035,330.6000061035156,311.82250061035154,324.0470001220703,1.1300003051757699,0.7420013427734489,1,Buy
2066,2022-06-07,344.8500061035156,345.54998779296875,334.0,336.8999938964844,320.5275573730469,30014,342.70001220703125,332.75,332.36000183105466,-2.2250000000000227,-1.8180010986328057,0,Sell
1997,2022-02-23,215.25,220.0,215.0,215.9499969482422,205.45542907714844,12515,214.0,222.725,220.18600006103514,1.4000000000000057,0.3599996948242392,1,Buy
