,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,175.0,176.1999969482422,174.14999389648438,175.3000030517578,175.3000030517578,10480244,174.14999389648438,175.09999923706056,173.68499969482423,-1.3974990844726562,,0,Sell
2442,2023-12-13,172.9499969482422,175.25,170.0,174.25,174.25,16351696,172.1999969482422,176.4224983215332,173.8329998779297,1.7024993896484375,0.2299993896484409,1,Buy
2388,2023-09-22,179.35000610351562,180.5,177.8000030517578,178.85000610351562,178.85000610351562,8734004,179.35000610351562,183.52500076293944,182.38500061035157,-2.27500076293947,-0.35699951171875455,0,Sell
2286,2023-04-27,141.10000610351562,142.39999389648438,140.89999389648438,142.1999969482422,139.96266174316406,6997027,141.0,137.714998626709,141.35499908447267,0.2649993896484375,0.254999694824221,1,Buy
2246,2023-02-23,143.39999389648438,143.8000030517578,139.4499969482422,140.60000610351562,138.38784790039062,12095526,143.39999389648438,148.9025001525879,146.94100006103517,0.6674987792968636,-0.09899993896485171,0,Sell
2218,2023-01-13,147.5500030517578,148.10000610351562,146.35000610351562,147.0500030517578,144.73635864257812,11334303,146.8000030517578,145.28749923706056,146.14899993896483,1.4300003051757812,0.0600003051757767,1,Buy
2210,2023-01-03,148.89999389648438,149.5500030517578,146.0500030517578,147.39999389648438,145.08084106445312,7886716,148.64999389648438,143.78249893188476,146.05899993896483,-1.8425003051757756,-0.04999999999998295,0,Sell
2208,2022-12-30,144.8000030517578,145.1999969482422,143.0,143.39999389648438,141.14378356933594,4888899,144.39999389648438,143.84499969482422,146.0500003051758,-2.0900001525878906,0.045999755859384095,1,Buy
2162,2022-10-25,145.3000030517578,148.0,142.35000610351562,147.25,144.93321228027344,10144571,144.5500030517578,150.2275016784668,154.0800003051758,-5.517499542236322,-0.024999694824231256,0,Sell
2155,2022-10-14,151.0,151.0,147.5500030517578,148.0,145.67141723632812,8215538,147.10000610351562,155.74500122070313,154.2699996948242,-3.889998626708973,0.14900054931641193,1,Buy
2154,2022-10-13,149.60000610351562,150.14999389648438,146.10000610351562,147.10000610351562,144.78558349609375,10774956,149.0500030517578,156.54000091552734,154.3079995727539,-3.8099990844726506,-0.0059994506835892025,0,Sell
2040,2022-04-29,129.6999969482422,131.10000610351562,126.3000030517578,127.0999984741211,124.2260284423828,19472670,128.60000610351562,125.6,119.14400024414063,5.392499923706055,0.4099999999999966,1,Buy
1989,2022-02-11,135.75,135.75,132.35000610351562,133.0,129.99261474609375,8928520,136.1999969482422,135.18750076293946,129.64999954223632,0.8850009918213004,-0.3399998474120878,0,Sell
1977,2022-01-25,131.25,132.14999389648438,128.0,130.85000610351562,127.8912353515625,22178008,132.8000030517578,132.27249908447266,129.75199951171874,4.945000457763669,0.2239999389648517,1,Buy
1931,2021-11-22,140.39999389648438,140.89999389648438,130.89999389648438,133.64999389648438,130.62791442871094,19413864,139.39999389648438,144.2400001525879,136.45000061035157,1.8674995422363452,-0.028000335693349143,0,Sell
1873,2021-08-26,119.5999984741211,119.75,117.0,117.5500030517578,113.76671600341795,8872781,118.9000015258789,128.74750099182128,125.5470002746582,-0.6825000762939624,0.16800048828125114,1,Buy
1860,2021-08-06,134.9499969482422,136.4499969482422,132.6999969482422,134.14999389648438,129.8324432373047,11850464,134.35000610351562,127.6075008392334,125.47399978637695,3.1700004577636633,-0.15499938964843807,0,Sell
1803,2021-05-18,117.0,123.4499969482422,116.5,122.9499969482422,118.992919921875,48225487,115.4000015258789,113.55249977111816,116.88400009155274,-0.5825000762939396,0.22999969482421534,1,Buy
1764,2021-03-17,123.5,123.75,116.0500030517578,117.1500015258789,113.3795928955078,29720642,123.25,126.95249977111817,123.65499984741211,-3.1874992370605355,-0.23499984741211222,0,Sell
1562,2020-06-01,43.84999847412109,47.34999847412109,43.5,46.400001525878906,44.90664291381836,85516109,42.45000076293945,46.34249935150146,46.349999618530276,-0.5425001144409265,0.6080001831054673,1,Buy
1493,2020-02-13,77.9000015258789,82.9000015258789,77.9000015258789,81.55000305175781,78.3111572265625,42465314,81.3499984741211,83.34500007629394,81.44999969482421,-0.03250007629394247,-0.03699981689452159,0,Sell
1403,2019-10-04,67.8499984741211,72.6500015258789,66.80000305175781,68.05000305175781,65.34732055664062,55436660,67.6500015258789,66.00000019073487,66.41400024414062,2.0625,0.3130000305175855,1,Buy
1305,2019-05-13,85.80000305175781,86.5,82.5999984741211,83.0,76.5897445678711,13918199,85.9000015258789,90.56749992370605,89.41199996948242,-0.445000076293951,-0.06400024414062955,0,Sell
1276,2019-03-26,87.5999984741211,88.0999984741211,85.3499984741211,86.30000305175781,79.63488006591797,20235983,87.5,89.37999992370605,87.21399993896485,3.6850006103515653,0.06699996948242415,1,Buy
1161,2018-10-05,117.0999984741211,117.9499969482422,101.6500015258789,107.75,99.42826080322266,31157884,118.0500030517578,124.7599998474121,123.56000030517578,-4.012500000000017,-0.45599960327147926,0,Sell
1156,2018-09-27,121.4000015258789,122.9000015258789,119.8000030517578,120.4000015258789,111.1012725830078,13346245,120.6500015258789,127.79749984741211,123.68300018310546,-2.052500152587882,0.13200042724609773,1,Buy
1074,2018-05-30,148.10000610351562,150.3000030517578,147.10000610351562,149.39999389648438,135.32940673828125,13237333,149.5500030517578,153.62500076293946,151.44100006103517,-6.052498626708967,-0.04000030517579489,0,Sell
975,2018-01-03,124.75,125.8000030517578,123.75,124.5,112.77449798583984,22686568,123.3499984741211,116.82250099182129,118.96899993896484,-0.22000007629394247,0.25,1,Buy
949,2017-11-27,118.3000030517578,124.0,118.0,123.5999984741211,111.95925903320312,24232866,118.4499969482422,118.79249877929688,121.07199951171874,-4.880000686645502,-0.06299987792968409,0,Sell
819,2017-05-22,85.80000305175781,86.44999694824219,84.80000305175781,86.0,76.7447280883789,7594237,85.1500015258789,85.50000038146973,85.91900024414062,1.4650001525878906,0.27299987792969205,1,Buy
778,2017-03-21,89.19999694824219,89.19999694824219,88.0999984741211,88.75,79.19877624511719,6176030,89.25,90.89249992370605,90.10899993896484,-1.0274993896484403,-0.1259999084472696,0,Sell
732,2017-01-11,85.0,86.30000305175781,84.94999694824219,85.5999984741211,76.38778686523438,4205231,84.94999694824219,79.89499969482422,80.94800003051758,1.9124996185302763,0.29700012207031534,1,Buy
682,2016-11-01,91.5,92.5999984741211,89.5999984741211,90.0999984741211,80.40348815917969,17959653,90.25,83.27749977111816,84.49399993896485,1.6175003051757812,-0.1770001220703108,0,Sell
673,2016-10-18,82.4000015258789,84.0,82.4000015258789,83.8499984741211,74.82611083984375,12181856,81.5999984741211,81.53499946594238,84.68399993896485,-1.6324996948242188,0.141999969482427,1,Buy
580,2016-06-01,110.0,111.6999969482422,103.8499984741211,104.4499969482422,92.26310729980467,29231139,108.9499969482422,103.25249977111817,104.99600021362305,-0.9525001525878878,-0.17800033569335483,0,Sell
509,2016-02-15,85.0,90.0,84.69999694824219,89.6500015258789,79.18992614746094,12444831,83.19999694824219,86.82499923706055,88.44599960327149,-1.5499999999999972,0.25599990844726506,1,Buy
457,2015-12-01,95.5,95.5,93.0,93.4000015258789,82.50240325927734,20979908,94.4000015258789,92.07749977111817,92.13799987792969,0.20249977111816975,-0.20199981689452784,0,Sell
437,2015-10-29,90.9499969482422,94.0999984741211,89.5,93.8000030517578,82.85572052001953,11474771,91.0,93.8375,90.93299987792969,1.767500305175787,0.018999938964839203,1,Buy
435,2015-10-27,92.4499969482422,93.75,91.1999969482422,92.9000015258789,82.06074523925781,9026784,92.6999969482422,93.725,90.78499984741211,2.385000228881836,-0.06100006103515909,0,Sell
348,2015-06-22,70.0999984741211,70.69999694824219,69.19999694824219,70.3499984741211,62.141788482666016,6256135,69.75,68.00499992370605,69.65299987792969,-1.3624996185302791,0.10299972534180313,1,Buy
315,2015-05-06,70.19999694824219,70.5999984741211,66.25,66.9000015258789,58.68490219116211,12465319,70.55000305175781,71.64500007629394,71.09699996948243,-0.6275001525878992,-0.030000000000001137,0,Sell
25,2014-02-20,15.649999618530272,15.699999809265137,15.399999618530272,15.649999618530272,13.728231430053713,3354843,15.649999618530272,16.06500005722046,16.24,-0.44888877868652344,0.004871750856057844,1,Buy
