,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
1707,2023-12-28,6.099999904632568,6.199999809265137,6.099999904632568,6.099999904632568,6.099999904632568,155505,6.199999809265137,6.249999976158142,6.244000015258789,-0.18750002384185827,,0,Sell
1699,2023-12-15,6.0,6.050000190734863,6.0,6.0,6.0,133320,6.050000190734863,6.440000009536743,6.248000020980835,0.04749994277954084,0.0019999790191649325,1,Buy
1696,2023-12-12,6.25,6.25,6.199999809265137,6.25,6.25,89093,6.199999809265137,6.425000023841858,6.238000011444091,0.09499998092651385,0.0,0,Sell
1693,2023-12-07,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,160292,6.300000190734863,6.405000066757202,6.242000017166138,0.18500001430511404,0.0019999980926508343,1,Buy
1664,2023-10-25,5.699999809265137,6.0,5.699999809265137,5.699999809265137,5.699999809265137,606396,6.0,6.184999990463257,6.381346836090088,-0.10336704254150408,-0.03199998855590813,0,Sell
1607,2023-08-01,4.449999809265137,4.550000190734863,4.449999809265137,4.5,4.493188858032227,247399,4.449999809265137,4.642499995231629,4.79399998664856,-0.11500000953674316,0.029000005722045863,1,Buy
1585,2023-06-30,4.800000190734863,4.949999809265137,4.75,4.800000190734863,4.7927350997924805,302756,4.849999904632568,4.96499993801117,4.869999990463257,0.0474999666213991,-0.007000007629394567,0,Sell
1542,2023-04-27,4.599999904632568,4.699999809265137,4.5,4.550000190734863,4.543113708496094,179771,4.599999904632568,4.570000028610229,4.636999979019165,0.09500002861022949,0.011000013351440963,1,Buy
1480,2023-01-23,5.550000190734863,5.550000190734863,5.449999809265137,5.449999809265137,5.441751003265381,175924,5.449999809265137,5.759999990463257,5.756999969482422,-0.12750000953674334,-0.01499999999999968,0,Sell
1436,2022-11-22,4.599999904632568,4.75,4.599999904632568,4.699999809265137,4.692886352539063,132699,4.699999809265137,5.179999947547913,5.464999952316284,-0.13499999046325684,0.021999988555908345,1,Buy
1386,2022-09-08,6.099999904632568,6.25,5.949999809265137,6.0,5.980220794677734,856534,6.0,6.017499995231629,5.939000005722046,0.019999980926513672,-0.015999984741211115,0,Sell
