,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,8980.400390625,9075.0,8965.0,9011.7998046875,9011.7998046875,1144,8990.2001953125,9098.76748046875,9021.7719921875,-24.68754882812391,,0,Sell
2447,2023-12-20,9090.0,9090.0,8925.25,8941.5,8941.5,1535,9022.849609375,9126.07001953125,9037.86798828125,6.497460937498545,0.7239843749994179,1,Buy
2395,2023-10-04,9349.0,9480.0,9256.599609375,9415.349609375,9415.349609375,2701,9307.7001953125,9234.34755859375,9147.846015625,-31.33500976562391,-1.8750195312495634,0,Sell
2387,2023-09-21,9270.0,9270.0,9065.0,9093.400390625,9093.400390625,512,9142.400390625,9253.732568359375,9165.67798828125,148.16259765625,4.6610156250008,1,Buy
2324,2023-06-21,9834.400390625,9855.0,9700.0,9704.2998046875,9702.685546875,729,9781.2001953125,9932.38759765625,9865.5019921875,-62.184960937500364,-11.939003906249127,0,Sell
2266,2023-03-24,9441.0,9565.0,9436.0,9521.7001953125,9520.1162109375,1718,9511.0,8804.0474609375,8996.28798828125,69.80244140624927,0.333984375,1,Buy
2132,2022-09-12,12190.0498046875,12306.9501953125,12111.0,12174.2998046875,12172.2744140625,1790,12190.0498046875,12203.460009765626,12036.1830078125,159.09995117187646,-2.7160546875002183,0,Sell
2094,2022-07-15,12770.0,13185.0,12355.0,12793.349609375,12789.67578125,6091,12562.7001953125,11163.402490234375,11519.846015625,313.5099609375011,16.97001953124891,1,Buy
2045,2022-05-09,13289.0,13780.0,12958.4501953125,13581.0498046875,13577.1484375,3049,13350.4501953125,13408.33994140625,12796.9149609375,456.44497070312536,-35.94800781249978,0,Sell
1954,2021-12-23,10418.5498046875,10550.0,10155.0,10288.5498046875,10285.5947265625,1788,10483.7001953125,10104.49501953125,10506.976953125,65.70756835937573,60.20499999999993,1,Buy
1859,2021-08-05,13448.0,13448.0,13086.4501953125,13296.650390625,13291.2568359375,1343,13350.599609375,13528.47744140625,13164.09294921875,-26.83251953125,-10.028945312500582,0,Sell
1777,2021-04-07,9370.0498046875,9635.5,9370.0498046875,9578.5,9574.6142578125,1207,9393.7998046875,9612.382470703125,9824.97294921875,-271.0300781249989,38.81800781249876,1,Buy
1758,2021-03-08,9960.5,9995.5,9837.2998046875,9882.7001953125,9878.6904296875,1753,9954.2001953125,9957.37744140625,9945.03599609375,64.82001953124927,-30.31201171875,0,Sell
1685,2020-11-20,8760.0,8780.0,8679.0,8697.4501953125,8693.921875,1539,8708.9501953125,8781.15009765625,8996.1510546875,21.36748046874891,1.8990234374996362,1,Buy
