,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
513,2023-12-28,332.0,332.29998779296875,320.0,327.54998779296875,327.54998779296875,41348,327.25,303.6699981689453,300.0719970703125,5.004998779296898,,0,Sell
503,2023-12-13,305.25,306.79998779296875,300.79998779296875,302.29998779296875,302.29998779296875,17561,305.0,297.4049987792969,300.607998046875,3.842503356933605,0.7059985351561977,1,Buy
451,2023-09-26,317.95001220703125,327.75,317.95001220703125,320.1499938964844,320.1499938964844,5134,318.1499938964844,331.0324996948242,323.4309991455078,0.8350006103515284,-0.017000122070328416,0,Sell
370,2023-05-30,261.0,261.0,245.6499938964844,249.0500030517578,249.0500030517578,17584,256.1499938964844,276.1100028991699,266.9010018920898,-6.189997100830112,0.06699890136718523,1,Buy
361,2023-05-17,281.0,292.3500061035156,277.29998779296875,290.70001220703125,290.70001220703125,38851,282.3999938964844,279.94749908447267,265.723000793457,9.417498016357456,-1.0209994506835756,0,Sell
339,2023-04-13,262.95001220703125,264.8999938964844,258.6000061035156,260.54998779296875,260.54998779296875,12150,260.95001220703125,255.18500366210938,259.7030010986328,-3.742498016357416,0.16500000000002046,1,Buy
215,2022-10-12,378.0,380.0,372.0,372.25,372.25,7767,376.3500061035156,396.4900009155274,385.2660015869141,-3.4274993896484602,-0.2070013427734807,0,Sell
156,2022-07-15,358.04998779296875,369.0,355.04998779296875,366.7999877929688,365.898193359375,6678,358.95001220703125,353.5275024414062,356.6670001220703,5.720001220703125,1.2500006103515489,1,Buy
122,2022-05-30,394.0,401.0,373.0,386.25,385.3003845214844,63946,381.9500122070313,373.23499755859376,383.98899963378904,-25.217500305175747,-1.0949999999999704,0,Sell
14,2021-12-21,311.75,311.75,303.0,303.75,303.00323486328125,3460,303.6499938964844,312.70357404436385,312.70357404436385,-0.8178623744419724,0.9053551810128511,1,Buy
3,2021-12-06,315.0,318.5,310.04998779296875,314.8500061035156,314.0759582519531,13046,313.45001220703125,311.18333943684894,311.18333943684894,,-0.027455647786439386,0,Sell
1,2021-12-02,317.0,330.0,307.95001220703125,314.1499938964844,313.3776550292969,24043,305.95001220703125,305.95001220703125,305.95001220703125,,6.156656901041686,1,Buy
