,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2201,2023-12-28,211.5500030517578,214.4499969482422,208.5500030517578,210.75,210.75,92443,210.5,218.38250045776368,210.60400024414062,2.282500457763689,,0,Sell
2196,2023-12-20,218.25,222.0,206.3500061035156,208.6000061035156,208.6000061035156,141997,218.0500030517578,217.4224998474121,211.4170001220703,8.125,0.04000030517579489,1,Buy
2156,2023-10-20,211.3500061035156,213.4499969482422,208.1999969482422,209.3999938964844,209.3999938964844,39215,211.3500061035156,220.31500091552735,216.9870001220703,-2.6449989318847713,-0.3629995727538926,0,Sell
2143,2023-10-03,226.25,227.5500030517578,224.0,225.3000030517578,225.3000030517578,31438,225.3999938964844,223.43499984741212,217.07400024414062,-0.22499999999999432,0.017999877929696595,1,Buy
2090,2023-07-17,238.8999938964844,239.0500030517578,234.5,234.8000030517578,234.2633209228516,110226,238.0500030517578,249.70708236694335,233.9561669921875,4.974166107177723,-0.26533294677733466,0,Sell
2017,2023-03-28,168.3333282470703,169.1666717529297,160.9166717529297,162.0416717529297,161.67129516601562,74880,167.1666717529297,183.7416679382324,191.96333404541016,-7.3166656494140625,0.31916595458983466,1,Buy
1974,2023-01-24,200.0,201.6666717529297,193.8333282470703,195.7916717529297,195.3441467285156,42183,198.25,212.24375076293944,206.9575,-2.208332061767578,-0.44416656494141193,0,Sell
1936,2022-12-01,200.2916717529297,202.8333282470703,199.125,199.5833282470703,199.12713623046875,27764,200.2916717529297,195.92916717529297,204.11166625976563,-4.04583282470702,0.01083312988279772,1,Buy
1882,2022-09-13,232.625,238.25,232.0833282470703,233.0416717529297,231.4491424560547,45334,232.7916717529297,223.1250015258789,222.44833404541015,5.745832824707037,-0.2591671752929585,0,Sell
1843,2022-07-15,228.75,231.1666717529297,219.9166717529297,228.7916717529297,227.22817993164065,68478,225.7916717529297,203.57291717529296,207.98416687011718,11.252082824707031,1.2891668701171852,1,Buy
1762,2022-03-21,296.6666564941406,311.1666564941406,285.3333435058594,311.1666564941406,309.04022216796875,83328,296.375,275.7645835876465,296.5058325195312,-1.2104156494140739,-0.4433334350585483,0,Sell
1703,2021-12-23,223.25,227.1666717529297,219.1666717529297,227.1666717529297,225.61428833007807,52734,216.375,215.3000015258789,226.0141665649414,0.49166717529297443,1.3041671752929744,1,Buy
1683,2021-11-25,208.3333282470703,212.0,201.6666717529297,208.4166717529297,206.99241638183597,35256,211.25,228.49374923706054,228.05916564941407,-8.299999237060547,-0.1208325195312625,0,Sell
1307,2020-05-26,22.5,22.875,21.79166603088379,22.208332061767575,21.734031677246094,19293,22.125,22.5895827293396,22.841666107177733,-0.8520833015441873,0.20249996185302876,1,Buy
1250,2020-02-26,38.41666412353516,39.83333206176758,35.91666412353516,36.0,34.54610824584961,18498,38.5,37.95416526794434,36.82416561126709,-1.9104164123535199,-0.34916652679443416,0,Sell
1202,2019-12-18,30.5,31.875,30.5,31.29166603088379,30.027925491333008,5367,30.75,31.75416612625122,32.88999927520752,-0.8020831108093276,0.06916648864746122,1,Buy
1168,2019-10-30,34.16666412353516,35.66666412353516,32.91666412353516,35.66666412353516,34.22623062133789,9934,34.0,34.13333263397217,36.27416549682617,-2.69166641235352,-0.007499923706056677,0,Sell
1125,2019-08-23,32.58333206176758,33.95833206176758,31.458332061767575,33.66666412353516,32.072044372558594,21508,32.58333206176758,30.333332443237303,33.719998893737795,0.09999990463256836,0.12833328247069886,1,Buy
986,2019-01-25,54.08333206176758,54.91666412353516,52.91666412353516,53.41666412353516,50.8865852355957,12936,54.04166412353516,55.46874847412109,52.93583213806152,0.06666641235351278,-0.08666679382323395,0,Sell
945,2018-11-28,49.16666412353516,49.91666412353516,48.45833206176758,49.33333206176758,46.99666595458984,14820,48.70833206176758,48.57291584014892,47.75166549682617,1.450000572204587,0.20750007629394673,1,Buy
903,2018-09-25,48.54166412353516,49.83333206176758,46.66666412353516,47.04166412353516,44.46118927001953,37915,49.16666412353516,50.68333206176758,49.39666534423828,0.5208335876464858,-0.021666717529292612,0,Sell
877,2018-08-14,49.25,51.79166412353516,48.5,49.04166412353516,46.06502532958984,14290,50.29166412353516,49.072915458679205,48.19499870300293,2.254166603088386,0.04916671752929602,1,Buy
752,2018-02-14,71.875,71.91666412353516,66.66666412353516,67.58333587646484,63.48128128051758,205494,70.58333587646484,71.13541603088379,70.81249954223632,-2.6812496185302734,-0.1116665649414017,0,Sell
711,2017-12-14,67.41666412353516,67.625,65.875,66.04166412353516,62.0331916809082,56504,66.79166412353516,67.09375038146973,68.10000038146973,-0.4104166030883789,0.0041662597656255684,1,Buy
622,2017-08-07,81.5,82.41666412353516,78.20833587646484,81.16666412353516,75.7981948852539,32858,79.79166412353516,83.70625,77.6950001525879,1.5708332061767578,-0.07250015258789233,0,Sell
587,2017-06-16,75.79166412353516,77.08333587646484,74.0,74.375,69.17433166503906,24810,74.79166412353516,71.44791717529297,73.4316667175293,-0.9291664123535099,0.06083343505859773,1,Buy
579,2017-06-06,72.83333587646484,73.875,71.91666412353516,71.95833587646484,66.9266357421875,35936,72.83333587646484,72.48333358764648,73.4341665649414,-0.8041664123535099,-0.10666641235351904,0,Sell
508,2017-02-20,61.91666412353516,62.45833206176758,61.0,62.0,57.66463851928711,29242,61.58333206176758,62.28124885559083,62.825832290649416,-0.2020830154418931,0.06750007629394617,1,Buy
462,2016-12-15,65.5,65.81666564941406,64.41666412353516,65.19999694824219,60.64087677001953,22752,64.86666870117188,63.941250038146975,64.96716613769532,-0.5287490844726506,-0.03900009155273665,0,Sell
408,2016-09-26,59.76666641235352,60.29999923706055,59.66666412353516,59.90833282470703,55.38908004760742,27408,59.76666641235352,60.16249942779541,60.25166603088379,0.47958335876464986,0.014999923706056961,1,Buy
400,2016-09-14,59.16666412353516,59.89166641235352,59.08333206176758,59.72499847412109,55.21958541870117,10824,59.18333435058594,59.639166069030765,60.12049942016601,-0.061249732971191406,-0.04483337402343324,0,Sell
298,2016-04-18,54.66666412353516,58.06666564941406,54.66666412353516,57.5,52.82595443725586,22356,56.06666564941406,52.211249351501465,53.08783294677735,0.8354166030883761,0.079833145141599,1,Buy
242,2016-01-21,65.0,65.84166717529297,64.16666412353516,64.81666564941406,59.5478744506836,15852,64.13333129882812,74.28416519165039,70.08149925231933,-0.26541709899902344,-0.0496665191650294,0,Sell
179,2015-10-19,63.33333206176758,65.33333587646484,63.33333206176758,64.25,58.69867706298828,24480,64.1500015258789,59.87708282470703,60.07766609191894,1.907083511352539,0.022166595458983807,1,Buy
177,2015-10-15,62.49166488647461,65.0,62.49166488647461,63.65833282470703,58.15813446044922,14058,63.84999847412109,59.33708267211914,60.09099937438965,1.6508333206176715,-0.04600006103515142,0,Sell
105,2015-07-02,52.5,52.5,49.20000076293945,49.58333206176758,44.9946403503418,15390,49.24166488647461,49.23041610717773,51.56649948120117,-0.9595832824707031,0.036499862670900995,1,Buy
83,2015-06-02,52.33333206176758,52.33333206176758,48.66666412353516,49.5,44.91901016235352,69414,50.875,54.17374935150146,52.35599945068359,1.6762498855590806,-0.07683334350585369,0,Sell
2,2015-01-30,35.17499923706055,35.5,35.17499923706055,35.19166564941406,31.934844970703125,1200,35.84166717529297,36.87083435058594,36.87083435058594,,1.2463526725769043,1,Buy
