,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
695,2023-12-28,377.0,392.5,370.1000061035156,382.0,382.0,670933,374.1499938964844,358.45249938964844,359.72299926757813,3.8250015258789176,,0,Sell
681,2023-12-07,360.8500061035156,366.0,356.04998779296875,359.04998779296875,359.04998779296875,116432,360.7000122070313,354.68750152587893,359.1630017089844,-3.744998168945301,0.55999755859375,1,Buy
658,2023-11-02,355.0,387.4500122070313,349.54998779296875,373.3500061035156,373.3500061035156,518518,353.8500061035156,360.3675003051758,364.23800170898437,-3.3300048828125455,-0.5279998779296875,0,Sell
645,2023-10-13,352.8999938964844,359.8999938964844,351.75,356.20001220703125,356.20001220703125,23737,353.95001220703125,364.0000045776368,363.8220031738282,-9.312498474121014,1.130998535156209,1,Buy
601,2023-08-09,372.5,376.9500122070313,367.0499877929688,374.4500122070313,373.0571899414063,74035,370.6000061035156,365.9375030517578,368.8490008544922,-4.617498779296909,-0.6399999999999295,0,Sell
520,2023-04-13,334.0,338.0,325.0,328.29998779296875,327.0788269042969,51632,332.20001220703125,300.39249725341796,321.8580004882813,-4.027502441406284,0.9819989013671488,1,Buy
375,2022-09-12,577.9500122070312,578.5,573.0,574.1500244140625,572.0143432617188,27995,572.7000122070312,566.1350006103515,570.3659997558593,-5.062496948242256,-0.06799926757810226,0,Sell
336,2022-07-14,555.0499877929688,571.8499755859375,551.0,568.2999877929688,564.2612915039062,38646,556.1500244140625,546.9300018310547,561.9289990234375,-0.047497558593704525,0.447998046875,1,Buy
225,2022-02-02,706.0,711.9000244140625,699.2999877929688,708.7999877929688,701.2355346679688,72598,698.8499755859375,703.4750030517578,677.8290002441406,16.582507324218682,-0.37000000000000455,0,Sell
209,2022-01-10,664.0,697.2000122070312,655.0,692.2999877929688,684.9116821289062,182012,654.7000122070312,655.5374969482422,675.2889990234376,-2.2324981689453125,0.6880017089843022,1,Buy
139,2021-09-29,778.0,812.0999755859375,778.0,806.4500122070312,797.8434448242188,153772,793.0,787.1550018310547,796.1320007324218,-2.0524993896483466,-1.9260009765624773,0,Sell
25,2021-04-15,645.9500122070312,647.9000244140625,632.6500244140625,639.2999877929688,631.9191284179688,178700,646.4000244140625,645.6399963378906,672.57599609375,-38.48500027126738,2.1573334835737796,1,Buy
