,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,84.4000015258789,84.55000305175781,81.5,82.75,82.75,29032391,84.0999984741211,72.44000015258788,69.50699981689453,4.567500686645502,,0,Sell
2438,2023-12-07,66.75,71.69999694824219,66.5,70.3499984741211,70.3499984741211,30944967,66.44999694824219,67.01499938964844,69.31399978637695,0.5924999237060575,0.19300003051758097,1,Buy
2403,2023-10-16,74.8499984741211,76.3499984741211,74.69999694824219,75.80000305175781,75.80000305175781,9371515,74.55000305175781,74.05250091552735,72.44000045776367,-0.9574996948242216,-0.19200027465819858,0,Sell
2344,2023-07-20,66.1500015258789,66.9000015258789,65.0999984741211,65.25,65.07316589355469,3411194,66.05000305175781,65.93750019073487,66.3730004119873,-1.4250005722045813,0.10599990844725937,1,Buy
2334,2023-07-06,67.05000305175781,68.0999984741211,66.94999694824219,67.5999984741211,67.41680145263672,3980559,67.05000305175781,67.78250083923339,66.27400054931641,0.4375,-0.07400016784669106,0,Sell
2301,2023-05-19,65.8499984741211,65.8499984741211,64.1500015258789,64.8499984741211,64.67425537109375,3263323,65.55000305175781,65.22500057220459,63.88900001525879,1.4200004577636847,0.015000228881838495,1,Buy
2291,2023-05-05,67.3499984741211,68.44999694824219,66.30000305175781,66.5999984741211,66.41950988769531,5568326,67.5,63.105000114440905,63.69299980163574,1.5975000381469684,-0.0019996643066448883,0,Sell
2288,2023-05-02,65.1500015258789,65.5999984741211,64.0999984741211,64.44999694824219,64.27533721923828,4197389,64.80000305175781,62.07250022888182,63.8639998626709,0.5400001525878864,0.010000152587885225,1,Buy
2196,2022-12-14,84.44999694824219,84.80000305175781,82.5999984741211,82.94999694824219,82.7251968383789,9446356,84.05000305175781,80.97499961853028,79.49599990844726,1.0399997711181612,-0.1850001525878895,0,Sell
2091,2022-07-12,64.0,68.0,63.900001525878906,65.8499984741211,65.51466369628906,30587623,62.54999923706055,56.685000038146974,61.450000305175784,-2.265000152587888,0.21700004577636633,1,Buy
1984,2022-02-04,83.19999694824219,83.8499984741211,81.5,82.25,81.8311538696289,6713713,82.5,85.27249908447266,81.35800003051757,0.4774993896484432,-0.1410000610351574,0,Sell
1931,2021-11-22,74.0,74.69999694824219,69.0,70.4000015258789,70.04149627685547,7003958,72.8499984741211,73.88500022888184,74.77100006103515,-0.85999946594238,0.32400009155273324,1,Buy
1926,2021-11-12,74.4000015258789,77.0,73.0999984741211,75.75,75.36425018310547,5383695,73.5999984741211,74.37999992370605,74.24899993896484,-1.0250000000000057,-0.0279998779296875,0,Sell
1894,2021-09-27,71.0999984741211,73.0999984741211,71.0999984741211,71.6500015258789,71.2851333618164,1344333,71.0999984741211,72.95,71.33799995422363,3.887500190734869,0.0909999084472588,1,Buy
1879,2021-09-03,69.4000015258789,69.94999694824219,66.1500015258789,68.80000305175781,68.31127166748047,2102786,68.5999984741211,66.39999980926514,71.93299949645996,-1.1849998474121008,-0.2979995727538949,0,Sell
1783,2021-04-16,24.600000381469727,25.75,24.5,25.450000762939453,25.26921272277832,3742846,24.649999618530277,25.864999866485597,27.52699996948242,-1.2649998664855957,0.01200004577636804,1,Buy
1757,2021-03-05,29.899999618530277,30.450000762939453,28.75,29.0,28.793994903564453,6489184,30.049999237060547,28.882499980926514,28.908000030517577,0.39749994277954315,-0.015000038146972372,0,Sell
1556,2020-05-21,9.100000381469728,9.350000381469728,8.899999618530273,8.949999809265137,8.886422157287598,1116840,9.100000381469728,10.524999952316284,10.279000034332276,-0.35249996185302734,0.08699998855590785,1,Buy
1467,2020-01-08,17.149999618530273,17.5,17.049999237060547,17.350000381469727,17.22675132751465,1486712,17.299999237060547,17.32249994277954,17.447999992370605,-0.24750003814697408,-0.0020000076293946734,0,Sell
1455,2019-12-20,17.25,17.350000381469727,17.100000381469727,17.149999618530273,17.02817153930664,1627967,17.149999618530273,17.55250015258789,17.448000030517576,-0.05749988555908203,0.010999946594239418,1,Buy
1299,2019-05-03,22.5,22.75,22.399999618530277,22.600000381469727,22.322587966918945,1085659,22.5,22.712500190734865,22.488000106811523,0.02500000000000213,-0.03200000762939226,0,Sell
1277,2019-03-27,22.25,23.25,21.700000762939453,22.950000762939453,22.668291091918945,8099498,22.100000381469727,22.61500005722046,22.432999954223632,0.25500011444091797,0.002000045776366477,1,Buy
1269,2019-03-14,24.75,24.75,23.600000381469727,23.700000762939453,23.40908432006836,2220169,24.5,22.254999923706055,22.369999885559082,0.6050001144409194,-0.071999893188476,0,Sell
1202,2018-12-06,18.0,18.200000762939453,17.75,17.850000381469727,17.63089370727539,1707331,18.200000762939453,19.530000114440917,19.904000053405763,-0.6875,0.05300006866454865,1,Buy
1103,2018-07-10,30.25,31.25,30.149999618530277,31.100000381469727,30.635602951049805,10625249,30.0,30.65,28.474000015258795,0.3999999999999986,-0.08300003051758509,0,Sell
1069,2018-05-23,26.399999618530277,26.700000762939453,25.75,25.850000381469727,25.4639949798584,2172055,26.549999237060547,27.05250005722046,27.045999946594243,-0.22999992370605327,0.034000015258790484,1,Buy
1003,2018-02-14,30.799999237060547,31.399999618530277,29.700000762939453,29.950000762939453,29.50277137756348,5067615,30.649999618530277,30.027499866485595,30.389999923706053,-2.205000019073484,-0.0639999008178691,0,Sell
999,2018-02-07,26.0,26.399999618530277,25.200000762939453,25.700000762939453,25.31623649597168,6425292,25.200000762939453,31.127499866485596,30.278999900817873,-1.532499980926513,0.056000061035156534,1,Buy
996,2018-02-02,28.5,29.200000762939453,26.25,26.649999618530277,26.25204849243164,11676192,29.450000762939453,32.23249988555908,30.349999923706054,-0.10999994277954528,-0.023999977111817117,0,Sell
950,2017-11-28,27.100000381469727,27.25,26.350000381469727,26.450000762939453,26.05503463745117,2493206,27.049999237060547,28.479999828338624,28.10499996185303,-0.595000076293946,0.03899997711181413,1,Buy
940,2017-11-14,28.350000381469727,28.700000762939453,27.700000762939453,28.0,27.58188819885254,2453904,28.5,29.049999904632568,27.82099998474121,1.4924999237060526,-0.20700004577636477,0,Sell
851,2017-07-06,12.949999809265137,13.050000190734863,12.800000190734863,12.850000381469728,12.65811824798584,1180412,12.949999809265137,12.622499895095824,13.644999961853028,-0.26249995231628453,0.004999999999999005,1,Buy
825,2017-05-30,13.0,13.300000190734863,12.800000190734863,12.949999809265137,12.75662326812744,3753539,13.0,14.417500114440918,14.181000080108642,-0.8549999713897716,-0.006000041961669922,0,Sell
782,2017-03-27,12.899999618530272,12.899999618530272,12.5,12.550000190734863,12.362598419189451,1763499,12.75,13.327500057220458,13.592999973297118,-0.19499993324279785,0.0240000343322766,1,Buy
771,2017-03-09,13.350000381469728,13.550000190734863,13.25,13.300000190734863,13.101397514343262,1325887,13.449999809265137,13.769999980926514,13.54699993133545,-0.23999996185302663,-0.01099996566772532,0,Sell
733,2017-01-12,13.75,13.949999809265137,13.600000381469728,13.75,13.544678688049316,2141378,13.600000381469728,12.777499961853028,12.830999984741212,0.2750000476837169,0.07199995040893548,1,Buy
621,2016-07-29,17.75,17.850000381469727,17.5,17.549999237060547,17.287933349609375,3491052,17.649999618530273,18.427499961853027,17.865000038146974,0.014999866485595703,-0.02400009155273608,0,Sell
598,2016-06-27,17.899999618530273,18.299999237060547,17.899999618530273,17.950000762939453,17.681961059570312,2192806,17.899999618530273,17.867500019073486,17.73500003814697,0.6474999427795396,0.013999977111819106,1,Buy
587,2016-06-10,17.899999618530273,18.100000381469727,17.600000381469727,17.700000762939453,17.43569564819336,3138977,17.850000381469727,16.92750005722046,17.712000102996825,-0.0849999427795396,-0.032000064849853516,0,Sell
569,2016-05-17,16.649999618530273,16.799999237060547,16.549999237060547,16.649999618530273,16.4013729095459,2372714,16.549999237060547,18.180000019073486,17.44900011062622,-0.47250013351440856,0.05900001525878906,1,Buy
560,2016-05-04,18.100000381469727,18.399999618530277,17.950000762939453,18.0,17.731216430664062,2562655,18.149999618530277,18.57000017166138,17.36300012588501,0.9349999904632575,-0.03299999237060547,0,Sell
548,2016-04-13,19.200000762939453,19.299999237060547,18.049999237060547,18.649999618530277,18.371509552001957,4530948,18.950000762939453,16.75750012397766,17.364000110626222,0.6024999618530273,0.053000030517576846,1,Buy
501,2016-02-03,20.5,20.700000762939453,17.600000381469727,18.149999618530277,17.87897491455078,16468126,20.899999618530277,21.097500038146972,19.474999942779544,0.14750003814697266,-0.08699998855590962,0,Sell
359,2015-07-07,12.350000381469728,13.199999809265137,12.199999809265137,12.699999809265137,12.510356903076172,3805915,12.25,11.60499997138977,12.291999969482422,0.23249998092651225,0.018999996185302237,1,Buy
206,2014-11-24,21.450000762939453,21.649999618530277,20.25,20.399999618530277,20.09537506103516,5639216,21.299999237060547,20.25250005722046,19.987999973297118,0.8024999618530266,-0.00700002670287958,0,Sell
152,2014-08-28,13.149999618530272,13.5,12.850000381469728,13.399999618530272,13.199904441833496,1559753,13.100000381469728,14.122499990463258,15.665999908447265,-0.7899999141693108,0.09200004577636811,1,Buy
133,2014-07-31,14.100000381469728,14.600000381469728,13.75,14.550000190734863,14.332733154296877,4046998,13.949999809265137,16.299999904632568,16.16099983215332,-0.5599999904632575,-0.063999919891355,0,Sell
53,2014-04-03,8.600000381469727,8.800000190734863,8.5,8.649999618530273,8.520833015441895,1413504,8.600000381469727,8.0400000333786,8.240000009536743,0.0075000047683708715,0.04300001144409116,1,Buy
