,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2451,2023-12-28,16.5,16.649999618530273,16.100000381469727,16.200000762939453,16.200000762939453,392086,16.399999618530273,16.960000038146973,16.85300001144409,-0.5275002479553237,,0,Sell
2447,2023-12-21,16.399999618530273,16.5,15.949999809265137,16.299999237060547,16.299999237060547,576899,16.200000762939453,17.24250030517578,16.96600004196167,-0.2524998664855964,0.030999965667724894,1,Buy
2443,2023-12-15,17.200000762939453,17.200000762939453,16.899999618530273,17.0,17.0,608245,17.049999237060547,17.495000267028807,16.889000034332277,0.002500247955321555,-0.018000030517580257,0,Sell
2366,2023-08-23,15.399999618530272,15.5,14.800000190734863,15.0,15.0,1043770,15.050000190734863,14.147499990463256,14.544000015258788,0.047499895095825195,0.015000000000000568,1,Buy
2351,2023-08-01,14.899999618530272,14.949999809265137,14.0,14.25,14.25,677111,14.75,14.252500104904176,14.610000019073487,-0.2899999141693108,-0.04100002288818416,0,Sell
2344,2023-07-21,14.199999809265137,14.25,14.050000190734863,14.199999809265137,14.199999809265137,145544,14.100000381469728,14.542500019073486,14.626999988555909,-0.5074999809265144,0.005000019073484907,1,Buy
2330,2023-07-03,14.699999809265137,15.449999809265137,14.550000190734863,14.699999809265137,14.699999809265137,650853,14.550000190734863,15.272499942779541,14.648999977111817,0.3625000000000007,-0.021999988555908345,0,Sell
2299,2023-05-17,14.199999809265137,14.300000190734863,13.75,13.850000381469728,13.850000381469728,351186,14.0,14.392499971389771,14.03499994277954,0.18249993324279856,0.016000022888183807,1,Buy
2294,2023-05-10,14.699999809265137,15.0,14.199999809265137,14.649999618530272,14.649999618530272,465791,14.649999618530272,14.28250002861023,13.979999980926515,0.5850000381469727,-0.0010000038146973367,0,Sell
2286,2023-04-27,13.899999618530272,14.0,13.800000190734863,13.899999618530272,13.899999618530272,196738,13.850000381469728,13.684999990463258,14.032999992370605,0.06000003814697408,0.004999961853027202,1,Buy
2215,2023-01-10,17.0,17.200000762939453,16.799999237060547,16.899999618530273,16.899999618530273,172171,16.950000762939453,17.46499991416931,17.891999950408934,-0.8550001144409194,-0.01899997711181456,0,Sell
2166,2022-11-01,16.25,16.5,16.0,16.149999618530273,16.149999618530273,349348,16.25,16.317499971389772,16.44300001144409,0.06749997138977193,0.00199989318847571,1,Buy
2106,2022-08-02,17.100000381469727,17.200000762939453,16.450000762939453,16.700000762939453,16.700000762939453,600159,16.899999618530273,18.42750005722046,18.710999908447267,-0.6349998474121108,-0.1399998855590816,0,Sell
2038,2022-04-27,12.0,12.5,12.0,12.199999809265137,12.199999809265137,318217,12.0,12.25499997138977,11.60899995803833,0.039999961853027344,0.00300001144409201,1,Buy
1985,2022-02-07,12.75,12.75,12.399999618530272,12.550000190734863,12.550000190734863,196467,12.649999618530272,13.282499980926513,12.275999984741212,0.2150000095367428,-0.01900005340576172,0,Sell
1959,2021-12-30,11.199999809265137,11.300000190734863,10.899999618530272,11.199999809265137,11.199999809265137,175609,11.199999809265137,11.487499952316284,12.156999988555908,-0.13750009536743235,0.0020000076293946734,1,Buy
1947,2021-12-14,11.699999809265137,11.899999618530272,11.050000190734863,11.600000381469728,11.600000381469728,191081,11.550000190734863,11.80250005722046,12.003000020980835,-0.36499996185302663,-0.029000043869018555,0,Sell
1892,2021-09-23,7.400000095367432,7.5,7.25,7.400000095367432,7.400000095367432,173943,7.25,7.692499995231628,8.058000001907349,-0.13499996662139857,0.014000005722046183,1,Buy
1859,2021-08-05,8.0,8.0,7.75,7.900000095367432,7.900000095367432,127164,7.900000095367432,8.435000109672547,8.470000038146972,-0.217499995231627,-0.004000015258789347,0,Sell
1796,2021-05-06,6.849999904632568,6.849999904632568,6.550000190734863,6.599999904632568,6.599999904632568,63524,6.599999904632568,6.7174999713897705,6.941999998092651,0.07749998569488525,0.004000005722046396,1,Buy
1784,2021-04-19,6.25,6.599999904632568,6.25,6.349999904632568,6.349999904632568,75926,6.550000190734863,6.6749999761581424,6.904999990463256,-0.1750000238418572,-0.00899999618530245,0,Sell
1773,2021-03-31,6.050000190734863,6.650000095367432,6.050000190734863,6.650000095367432,6.650000095367432,55641,6.349999904632568,7.017500019073486,6.8740000152587895,-0.28500001430511546,0.036999979019165075,1,Buy
1749,2021-02-23,7.5,7.599999904632568,7.199999809265137,7.199999809265137,7.199999809265137,64194,7.550000190734863,6.67000002861023,7.213000030517578,0.12249999046325666,-0.01800001144409169,0,Sell
1683,2020-11-18,5.050000190734863,5.050000190734863,4.900000095367432,5.0,5.0,129473,5.0,4.979999971389771,5.209000005722046,-0.007500028610229137,0.004999999999999893,1,Buy
1610,2020-08-06,6.5,6.599999904632568,6.349999904632568,6.599999904632568,6.599999904632568,265088,6.300000190734863,5.729999971389771,6.097999997138977,-0.2799999952316279,-0.015000004768372044,0,Sell
1552,2020-05-15,3.900000095367432,3.950000047683716,3.849999904632568,3.900000095367432,3.900000095367432,28724,3.900000095367432,3.962500047683716,3.8920000314712526,-0.04499999284744227,0.06899998664855955,1,Buy
1475,2020-01-20,5.650000095367432,5.800000190734863,5.650000095367432,5.650000095367432,5.650000095367432,55791,5.650000095367432,5.690000009536743,5.706999998092652,0.035000038146972834,-0.003999996185303445,0,Sell
1472,2020-01-15,5.699999809265137,5.800000190734863,5.599999904632568,5.75,5.75,21088,5.699999809265137,5.677499985694885,5.711999998092652,-2.3841858265427618e-08,0.006999998092650728,1,Buy
1459,2019-12-27,5.599999904632568,5.900000095367432,5.25,5.75,5.75,166581,5.550000190734863,5.720000004768371,5.711000022888183,-0.05750000476837158,-0.008000020980834854,0,Sell
1447,2019-12-10,6.0,6.0,5.599999904632568,5.650000095367432,5.650000095367432,85719,5.849999904632568,5.785000014305115,5.72100001335144,0.017499995231628596,0.01500000953674352,1,Buy
1427,2019-11-11,5.699999809265137,5.75,5.550000190734863,5.650000095367432,5.650000095367432,49433,5.599999904632568,5.67000002861023,5.860999994277954,0.1325000524520874,-0.010999994277954173,0,Sell
1407,2019-10-11,5.349999904632568,5.449999809265137,5.150000095367432,5.349999904632568,5.349999904632568,53706,5.25,6.252499961853028,5.806999979019165,-4.7683715642676816e-08,0.00900000572204629,1,Buy
1316,2019-05-28,7.300000190734863,7.550000190734863,7.050000190734863,7.449999809265137,7.449999809265137,154036,7.25,7.157499980926514,7.259000015258789,-0.09750003814697283,-0.031000022888183487,0,Sell
1286,2019-04-10,7.300000190734863,7.599999904632568,7.199999809265137,7.400000095367432,7.400000095367432,39459,7.5,7.3050000190734865,7.147000017166138,0.33249998092651367,0.005000009536742844,1,Buy
1227,2019-01-11,8.350000381469727,8.5,8.149999618530273,8.25,8.25,104170,8.350000381469727,8.067499995231628,7.961999998092652,0.20999996662139875,-0.01099997520446827,0,Sell
1207,2018-12-13,7.949999809265137,7.949999809265137,7.800000190734863,7.800000190734863,7.800000190734863,59752,7.800000190734863,7.852500009536743,7.875999994277954,-0.09249999523162877,0.014000005722045294,1,Buy
1180,2018-11-02,8.050000190734863,8.050000190734863,7.699999809265137,8.0,8.0,116299,7.849999904632568,7.822499966621399,8.107999973297119,-0.12750000953674334,-9.53674295089968e-09,0,Sell
1107,2018-07-16,6.900000095367432,6.900000095367432,6.550000190734863,6.699999809265137,6.699999809265137,143285,6.900000095367432,6.979999995231628,6.990999984741211,-0.08999996185302805,0.0049999904632569425,1,Buy
1011,2018-02-26,9.300000190734863,9.350000381469728,9.100000381469728,9.199999809265137,9.199999809265137,70696,9.300000190734863,9.099999952316285,9.420999984741211,-0.264999961853027,-0.0559999942779541,0,Sell
954,2017-12-04,7.650000095367432,7.800000190734863,7.599999904632568,7.650000095367432,7.650000095367432,64953,7.650000095367432,7.727500057220459,7.63600001335144,0.07000002861022914,0.009000024795532191,1,Buy
785,2017-03-30,8.75,9.100000381469728,8.600000381469727,9.050000190734863,9.050000190734863,448808,8.800000190734863,9.729999876022339,10.045999946594238,-0.5825000286102302,-0.004000015258789347,0,Sell
729,2017-01-06,7.25,7.349999904632568,7.099999904632568,7.150000095367432,7.150000095367432,121481,7.300000190734863,7.0100000381469725,7.431999998092651,0.007500052452087402,0.014000043869018874,1,Buy
711,2016-12-13,7.099999904632568,7.199999809265137,7.050000190734863,7.099999904632568,7.099999904632568,148023,7.099999904632568,6.987500023841858,7.673999948501587,-0.38999998569488525,-0.033999986648559855,0,Sell
608,2016-07-12,4.949999809265137,4.949999809265137,4.699999809265137,4.849999904632568,4.849999904632568,429326,4.849999904632568,4.842499923706055,4.890999975204468,0.05999996662139928,0.015999984741210227,1,Buy
560,2016-05-04,5.199999809265137,5.199999809265137,5.099999904632568,5.099999904632568,5.099999904632568,47445,5.150000095367432,5.217499995231629,5.141000003814697,0.03750000000000053,-0.003999986648559606,0,Sell
557,2016-04-29,5.25,5.349999904632568,5.199999809265137,5.300000190734863,5.300000190734863,105867,5.25,5.192499995231628,5.148000001907349,0.04999999999999982,0.005000019073486683,1,Buy
482,2016-01-06,8.300000190734863,8.449999809265137,7.650000095367432,7.800000190734863,7.800000190734863,470141,8.300000190734863,7.442500019073487,7.314000005722046,-0.13250000476837087,-0.028999977111816122,0,Sell
442,2015-11-05,7.0,7.199999809265137,6.849999904632568,6.900000095367432,6.900000095367432,57400,7.0,7.282500004768371,7.105000009536743,-0.0024999856948859644,0.007999992370605113,1,Buy
418,2015-09-30,7.0,7.099999904632568,6.800000190734863,6.849999904632568,6.849999904632568,120577,6.900000095367432,6.902500009536743,7.502000026702881,-0.13500003814697337,-0.007999992370605113,0,Sell
366,2015-07-16,6.650000095367432,6.849999904632568,6.400000095367432,6.800000190734863,6.800000190734863,207877,6.5,6.145000004768372,6.327999992370605,0.17999997138977086,0.037000007629394815,1,Buy
203,2014-11-19,9.149999618530272,9.699999809265137,8.949999809265137,9.100000381469728,9.100000381469728,684707,9.0,9.05250005722046,9.137000007629394,-0.24499998092651332,-0.05900001525878906,0,Sell
158,2014-09-08,7.400000095367432,8.600000381469727,7.349999904632568,8.399999618530273,8.399999618530273,1282643,7.349999904632568,7.657499957084656,8.523999967575072,-0.3624999999999998,0.012000026702882138,1,Buy
123,2014-07-16,8.800000190734863,9.149999618530272,8.800000190734863,9.050000190734863,9.050000190734863,69323,8.800000190734863,9.519999933242797,9.486999979019165,-0.25250000953674423,-0.0869999980926508,0,Sell
