,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,182.5,186.0,181.0,183.3000030517578,183.3000030517578,2635410,180.8999938964844,167.5,167.64999969482423,4.772499084472656,,0,Sell
2434,2023-12-01,161.85000610351562,162.8000030517578,160.5,162.3000030517578,162.3000030517578,575186,160.64999389648438,166.0849983215332,166.29999938964843,-0.9550003051757869,0.21400054931640966,1,Buy
2420,2023-11-09,171.5500030517578,174.39999389648438,169.10000610351562,169.75,169.75,733387,172.39999389648438,169.00749969482422,166.3309994506836,0.8249992370605526,-0.031000061035172166,0,Sell
2413,2023-10-31,163.4499969482422,166.1999969482422,162.3000030517578,164.25,164.25,575127,162.8000030517578,168.18250045776367,166.58300018310547,2.0625015258789006,0.21999908447264716,1,Buy
2358,2023-08-09,231.8999938964844,253.6999969482422,231.1000061035156,251.6000061035156,251.6000061035156,3444977,230.3500061035156,221.41250076293946,210.43800048828126,5.265000152587902,-0.47300018310548353,0,Sell
2270,2023-03-31,121.0500030517578,124.5,119.6500015258789,120.1999969482422,120.1999969482422,395461,120.1500015258789,129.48000106811523,132.94300018310548,-6.055000305175781,0.2969998168945267,1,Buy
2244,2023-02-21,144.5,144.85000610351562,140.25,141.25,141.25,447123,144.0500030517578,134.15999908447264,136.00699981689453,1.532499694824196,-0.10399963378907273,0,Sell
2241,2023-02-16,139.0,140.3000030517578,138.1999969482422,138.9499969482422,138.9499969482422,300629,137.39999389648438,132.83999938964843,135.795,-0.7349998474121264,0.18800048828126137,1,Buy
2194,2022-12-12,143.5,146.0,143.0,143.75,143.75,909055,139.25,141.60249938964844,141.11699996948244,-2.327500915527338,-0.251999664306652,0,Sell
2184,2022-11-28,140.8000030517578,142.3000030517578,139.10000610351562,139.9499969482422,139.9499969482422,230346,140.10000610351562,143.35500106811523,141.83600021362304,0.672499847412098,0.007999725341818475,1,Buy
2102,2022-07-27,167.5,167.9499969482422,162.5500030517578,164.4499969482422,164.4499969482422,217836,168.14999389648438,171.99749832153321,176.72100036621094,-3.8425003051757756,-0.551001586914083,0,Sell
