,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,271.8500061035156,272.0,262.0,263.70001220703125,263.70001220703125,11337,264.3500061035156,257.51999740600587,248.10499877929686,5.849999237060558,,0,Sell
2435,2023-12-04,252.8000030517578,254.8500061035156,251.8500061035156,252.3500061035156,252.3500061035156,7443,251.5,245.0824996948242,246.6440008544922,8.172499847412098,0.4769979858398301,1,Buy
2421,2023-11-10,239.8999938964844,239.8999938964844,231.3000030517578,235.1000061035156,235.1000061035156,3526,237.8999938964844,237.86999969482423,247.07200073242188,-6.59750137329101,-0.4279998779296932,0,Sell
2366,2023-08-22,214.8999938964844,214.8999938964844,208.5,211.3000030517578,211.3000030517578,10447,211.3999938964844,223.93250122070313,226.36900085449219,0.15999984741210938,0.4820001220703034,1,Buy
2321,2023-06-16,232.6000061035156,232.6999969482422,229.0,229.25,229.25,3292,232.6999969482422,232.73750076293945,236.75600006103517,-4.712500000000006,-0.39999969482423126,0,Sell
2266,2023-03-24,218.8500061035156,231.6999969482422,212.1999969482422,221.5,221.5,29094,216.8000030517578,214.66500015258788,215.93,0.022500610351556816,0.0540008544921875,1,Buy
2238,2023-02-13,215.5500030517578,244.0,215.1499938964844,217.75,217.75,92607,210.3000030517578,217.05249938964843,220.64199951171875,-7.252498626708984,-0.11100036621093068,0,Sell
2186,2022-11-30,216.75,216.75,209.0,210.8500061035156,210.8500061035156,1583,212.5,211.81500015258788,210.5410009765625,1.4599990844726562,0.017999877929696595,1,Buy
2044,2022-05-06,316.0,329.0,301.5,305.29998779296875,256.6164245605469,50070,312.54998779296875,285.0799987792969,275.9809997558594,2.524998474121105,-0.9250009155273347,0,Sell
2029,2022-04-12,280.45001220703125,287.95001220703125,280.0,284.04998779296875,238.75498962402344,1835,286.75,278.0625,275.1100012207031,9.844998168945324,0.002998657226555679,1,Buy
2005,2022-03-08,263.3999938964844,263.3999938964844,250.0,250.3500061035156,210.4288482666016,316,257.45001220703125,271.33500213623046,277.9300021362305,-8.902500915527355,-1.4979995727539404,0,Sell
1911,2021-10-21,176.75,182.0,174.10000610351562,180.5500030517578,151.75926208496094,1724,179.5500030517578,173.18999938964845,173.74999938964845,1.8025001525878963,0.13500061035153976,1,Buy
1882,2021-09-08,170.0,174.0,168.0,173.89999389648438,146.16966247558594,2208,170.0,173.38499908447267,185.37899963378905,-13.230000305175764,-0.5510003662109284,0,Sell
1790,2021-04-28,130.0,132.60000610351562,126.8499984741211,131.39999389648438,110.44677734375,8043,128.14999389648438,130.06249885559083,136.53199905395508,-4.572499465942371,0.297000427246104,1,Buy
1773,2021-03-31,139.5,139.5,132.10000610351562,133.39999389648438,112.12785339355467,735,132.39999389648438,141.52249908447266,137.44199935913085,-0.9899993896484318,-0.03600021362302641,0,Sell
1770,2021-03-25,138.89999389648438,138.89999389648438,130.9499969482422,131.25,110.3207015991211,1056,134.60000610351562,142.36749877929688,137.83799942016603,0.9299995422363452,0.020999908447265625,1,Buy
1762,2021-03-15,144.0,154.89999389648438,141.0,150.10000610351562,126.16484832763672,5817,145.75,140.98499908447266,137.64699966430663,3.1675003051757926,-0.07100006103513579,0,Sell
1678,2020-11-11,95.1500015258789,98.75,95.0999984741211,95.1999969482422,80.01927185058594,568,97.3499984741211,94.46499977111816,95.71199981689453,0.01999969482420738,0.09400009155272926,1,Buy
1658,2020-10-14,93.6999969482422,93.75,92.9499969482422,93.0500030517578,78.21212768554688,377,93.8499984741211,96.375,97.40199981689453,-0.4849998474121122,-0.2799998474121139,0,Sell
1562,2020-06-01,87.4000015258789,87.4000015258789,83.55000305175781,84.1500015258789,70.7313232421875,286,85.69999694824219,85.34749984741211,86.60900039672852,-1.0750003814697209,0.13399978637694687,1,Buy
1499,2020-02-24,114.5500030517578,117.0,108.9000015258789,116.8499984741211,98.21693420410156,356,114.5500030517578,119.65250091552734,113.99600036621094,-3.2174995422363253,-0.41699981689453125,0,Sell
1456,2019-12-23,105.3000030517578,105.3000030517578,103.1999969482422,103.4000015258789,86.91168975830078,326,105.9499969482422,100.57749977111817,103.80399993896485,-1.6100006103515625,0.014000396728505393,1,Buy
1426,2019-11-08,101.0500030517578,106.5,101.0500030517578,101.4000015258789,85.23062133789062,336,104.6500015258789,104.99250030517578,109.07400024414062,-3.347499465942377,-0.6810003662109381,0,Sell
1371,2019-08-16,94.0,95.0,85.05000305175781,91.9000015258789,77.2455062866211,878,90.3000030517578,90.4325008392334,94.75500030517578,-3.5924999237060575,0.014000396728519604,1,Buy
1306,2019-05-14,107.0,112.3499984741211,105.0,107.4000015258789,90.27384948730467,814,107.0,116.35500068664551,119.45500045776367,-4.089999771118158,-0.03699996948242301,0,Sell
1253,2019-02-19,93.0,93.0,85.94999694824219,88.0,73.96739959716797,814,93.8499984741211,94.47499961853028,98.93100006103515,-5.045000457763663,0.09900009155273892,1,Buy
989,2018-01-23,196.8500061035156,201.0,193.5,195.4499969482422,164.2832794189453,2514,195.75,202.75499801635743,196.67299896240237,-1.3024993896484318,-0.1740005493163892,0,Sell
924,2017-10-23,177.0,177.0,172.0500030517578,173.85000610351562,146.1276397705078,2078,173.89999389648438,173.8499984741211,178.40599884033202,-2.422499847412098,0.28999969482424603,1,Buy
810,2017-05-09,202.8500061035156,202.9499969482422,199.0,199.25,165.7032012939453,1672,200.1999969482422,201.86749954223632,199.87999877929687,-0.17499923706054688,-0.06199981689451306,0,Sell
803,2017-04-27,200.0,203.3500061035156,199.0,199.6499938964844,166.0358428955078,3629,200.0500030517578,202.04249877929686,200.0489990234375,1.365000915527304,0.10799957275392558,1,Buy
742,2017-01-25,214.0500030517578,216.8999938964844,212.0,214.0,177.96981811523438,2009,211.75,215.31749954223633,214.3639990234375,0.47000045776368893,-0.1949993896484159,0,Sell
741,2017-01-24,212.0,217.0,210.0500030517578,211.75,176.0986328125,1735,212.75,215.27999954223634,214.47099914550782,0.33000030517578693,0.09500030517577329,1,Buy
636,2016-08-22,262.0,265.0,259.25,260.6499938964844,208.6134033203125,17424,259.25,252.43749923706054,249.88,1.1775001525878679,-1.1180004882812398,0,Sell
548,2016-04-13,226.9499969482422,226.9499969482422,218.0,222.0,167.00942993164062,340,220.3999938964844,213.92000045776368,210.80599975585938,5.967500305175776,0.4250003051757858,1,Buy
500,2016-02-02,262.04998779296875,281.3500061035156,247.5500030517578,254.3999938964844,191.3837738037109,6509,265.8999938964844,268.8924987792969,239.365,5.657498168945324,-0.35800018310547443,0,Sell
349,2015-06-23,101.5,109.8499984741211,100.0,103.9000015258789,76.61256408691406,395,102.0,101.80750007629395,106.12599975585937,-2.427499389648432,0.41300018310548126,1,Buy
268,2015-02-23,117.75,117.75,117.75,117.75,86.82511901855469,0,117.75,119.82750015258789,116.75000015258789,-2.457500076293954,-0.1169999694824213,0,Sell
238,2015-01-08,113.0,113.8000030517578,112.0,112.3499984741211,82.84332275390625,289,112.0,111.83000030517579,114.16300033569335,0.32750053405762003,0.18899993896485512,1,Buy
137,2014-08-06,130.10000610351562,133.85000610351562,129.1999969482422,129.39999389648438,95.41545104980467,2363,131.75,132.93000030517578,132.1890005493164,-1.7100006103515568,-0.03600021362305483,0,Sell
7,2014-01-27,81.3499984741211,81.3499984741211,81.3499984741211,81.3499984741211,58.61747360229492,0,81.3499984741211,82.86428506033761,82.86428506033761,,0.019048055013030307,1,Buy
