,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
718,2023-12-28,1500.6500244140625,1505.0,1477.0,1487.25,1487.25,38777,1498.4000244140625,1480.5200073242188,1466.2050024414064,-11.48500366210942,,0,Sell
709,2023-12-14,1473.0,1476.949951171875,1462.0,1464.5999755859375,1464.5999755859375,41826,1465.449951171875,1492.5425109863281,1468.487001953125,8.380010986328216,0.4359985351563864,1,Buy
654,2023-09-22,1540.75,1555.0,1526.1500244140625,1549.1500244140625,1549.1500244140625,44662,1540.75,1554.9000061035156,1537.622001953125,3.4575012207030795,-0.7249951171875182,0,Sell
544,2023-04-17,1089.0,1089.0,1063.0,1074.449951171875,1071.99951171875,29583,1082.6500244140625,1043.4675018310547,1067.662999267578,11.95499877929683,0.29199707031261823,1,Buy
416,2022-10-07,1500.0,1505.0,1490.0,1493.550048828125,1490.143798828125,16075,1498.800048828125,1539.4899963378907,1539.9249926757811,-32.90999145507794,-3.1049951171874,0,Sell
374,2022-08-04,1581.0,1605.3499755859375,1541.0,1582.5999755859375,1576.1727294921875,61639,1572.4000244140625,1420.7374938964845,1454.9689916992188,12.777496337890625,4.141999511718723,1,Buy
321,2022-05-23,1671.0999755859375,1746.0,1634.449951171875,1691.75,1684.8795166015625,158044,1620.050048828125,1523.2300048828124,1566.2580004882811,-33.14249877929706,-0.8689990234374818,0,Sell
320,2022-05-20,1571.0,1648.0,1550.4000244140625,1620.050048828125,1613.4705810546875,227974,1565.0999755859375,1521.1400024414063,1564.2630004882812,-48.36000366210942,1.001000976562409,1,Buy
153,2021-09-16,2591.89990234375,2599.0,2563.0,2576.14990234375,2565.687744140625,31529,2579.050048828125,2559.142529296875,2555.445009765625,44.60252685546902,-1.8400000000001455,0,Sell
137,2021-08-24,2594.0,2601.449951171875,2500.0,2579.0,2568.526123046875,29504,2565.35009765625,2521.8849853515626,2551.439013671875,-59.82001953124973,1.7179980468749818,1,Buy
120,2021-07-29,2581.0,2598.60009765625,2550.5,2564.949951171875,2554.532958984375,10829,2583.550048828125,2563.1875244140624,2558.562021484375,13.62750244140625,-1.8110107421871362,0,Sell
68,2021-05-17,2399.89990234375,2399.89990234375,2330.0,2352.35009765625,2342.796630859375,251887,2486.300048828125,2333.9925048828127,2383.402998046875,8.035009765625091,1.2570019531249272,1,Buy
