,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2451,2023-12-28,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,171709,17.75,16.80999994277954,16.432999954223632,-0.35499992370605327,,0,Sell
2440,2023-12-12,17.100000381469727,17.100000381469727,17.100000381469727,17.100000381469727,17.100000381469727,20010,17.100000381469727,17.14249982833862,16.486999855041503,0.41249999999999787,0.11300010681152273,1,Buy
2406,2023-10-20,15.899999618530272,16.350000381469727,15.25,15.449999809265137,15.449999809265137,83479,15.75,17.544999885559083,18.43599988937378,-2.6549998760223374,-0.0809999656677256,0,Sell
2286,2023-04-27,8.699999809265137,8.699999809265137,8.199999809265137,8.25,8.25,8105,8.300000190734863,8.200000047683716,8.161000032424926,0.3800000190734867,0.02899998664856085,1,Buy
2229,2023-01-31,10.199999809265137,10.5,9.699999809265137,10.100000381469728,10.100000381469728,37871,10.399999618530272,11.00249991416931,10.56199993133545,-0.6300000190734867,-0.014000015258789134,0,Sell
2181,2022-11-23,9.300000190734863,9.300000190734863,8.850000381469727,9.100000381469728,9.100000381469728,54581,9.050000190734863,9.280000019073487,9.326999950408936,0.03000006675720357,0.014000015258789134,1,Buy
2108,2022-08-04,10.25,10.649999618530272,10.199999809265137,10.25,10.25,20717,10.600000381469728,10.1125,10.480000019073486,-0.09999999999999964,-0.029000015258789702,0,Sell
2095,2022-07-18,10.050000190734863,10.550000190734863,9.899999618530272,9.949999809265137,9.949999809265137,23407,10.100000381469728,10.672500038146973,10.475000019073486,-0.657499980926513,0.022000007629396023,1,Buy
1990,2022-02-14,13.300000190734863,14.449999809265137,13.149999618530272,13.149999618530272,13.149999618530272,21395,13.800000190734863,14.932500076293945,13.90400001525879,-0.6524999141693115,-0.008000049591064595,0,Sell
1953,2021-12-22,12.350000381469728,12.350000381469728,12.100000381469728,12.350000381469728,12.350000381469728,40322,11.800000190734863,12.280000019073487,12.644000053405762,-0.17750000953674316,0.018999977111816335,1,Buy
1946,2021-12-13,12.649999618530272,12.649999618530272,11.800000190734863,11.899999618530272,11.899999618530272,76422,12.149999618530272,12.45750002861023,12.461000022888184,-0.18250002861022807,-0.07099998474121172,0,Sell
1788,2021-04-26,4.050000190734863,4.050000190734863,3.900000095367432,4.0,4.0,19094,3.900000095367432,4.290000009536743,4.191000008583069,-0.11749999523162824,0.02999998092651346,1,Buy
1765,2021-03-18,4.5,4.5,4.5,4.5,4.5,19602,4.300000190734863,3.9800000309944155,4.308000025749206,-0.1324999809265135,-0.008000001907348064,0,Sell
1750,2021-02-24,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,0,3.950000047683716,4.370000052452087,4.301000022888184,-0.30499997138977086,0.000999999046324973,1,Buy
1743,2021-02-15,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,14250,4.349999904632568,4.675000023841858,4.3020000171661374,0.04249999523162895,-0.0030000066757196464,0,Sell
1682,2020-11-17,2.549999952316284,2.75,2.549999952316284,2.5999999046325684,2.5999999046325684,19342,2.650000095367432,3.2700000047683715,3.3439999961853033,-0.19749999046325684,0.004000000953673588,1,Buy
