,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,64.44999694824219,64.69999694824219,62.70000076293945,62.95000076293945,62.95000076293945,2277466,64.44999694824219,66.37249984741212,64.02999969482421,-2.0749996185302706,,0,Sell
2445,2023-12-18,61.29999923706055,63.25,61.150001525878906,62.75,62.75,4986886,61.34999847412109,68.44749946594239,63.91099983215332,1.6475002288818388,0.03799995422362912,1,Buy
2443,2023-12-14,68.0,68.30000305175781,61.5,62.150001525878906,62.150001525878906,15915971,67.55000305175781,68.7624994277954,63.97699981689453,2.924999999999997,-0.10000007629394503,0,Sell
2418,2023-11-07,59.400001525878906,60.75,59.150001525878906,59.70000076293945,59.70000076293945,3136575,59.25,60.4,62.286000137329104,-2.0475000381469712,0.19499961853026804,1,Buy
2409,2023-10-25,57.5,60.25,55.70000076293945,57.150001525878906,57.150001525878906,4481539,58.09999847412109,63.007499885559085,61.985,0.5074998855590849,-0.23900001525878878,0,Sell
2262,2023-03-20,32.900001525878906,33.849998474121094,30.75,31.299999237060547,31.299999237060547,5943412,32.849998474121094,28.53249979019165,30.172999801635743,0.06249990463256694,0.03600013732910057,1,Buy
2154,2022-10-13,36.09999847412109,36.29999923706055,35.75,35.849998474121094,35.849998474121094,703300,36.09999847412109,39.007500076293944,39.07900001525879,-2.370000076293948,-0.009999923706054403,0,Sell
2109,2022-08-05,36.0,36.0,34.75,34.900001525878906,34.900001525878906,1500549,35.79999923706055,35.24000072479248,36.162000274658205,-0.16749992370605327,0.09899986267089389,1,Buy
2032,2022-04-19,44.70000076293945,46.400001525878906,44.25,44.59999847412109,44.59999847412109,3960976,44.5,42.96750030517578,41.47400016784668,1.757500076293944,-0.060000000000002274,0,Sell
2019,2022-03-29,41.04999923706055,41.95000076293945,39.70000076293945,40.29999923706055,40.29999923706055,4191234,40.75,40.37000026702881,41.51900016784668,0.9500001907348619,0.0009999847412132112,1,Buy
1983,2022-02-03,42.54999923706055,44.09999847412109,41.95000076293945,42.70000076293945,42.70000076293945,2924635,42.29999923706055,44.775000190734865,42.751000213623044,-0.2349998474121051,-0.1330000305175787,0,Sell
1974,2022-01-20,46.650001525878906,46.79999923706055,45.29999923706055,45.54999923706055,45.54999923706055,2077585,46.20000076293945,44.45750007629395,42.98000015258789,2.184999847412108,0.006000061035152271,1,Buy
1971,2022-01-17,49.34999847412109,50.25,47.400001525878906,48.0,48.0,5862016,48.95000076293945,43.22000026702881,42.81800018310547,1.752499961853026,-0.04699996948242102,0,Sell
1958,2021-12-29,43.0,43.95000076293945,40.29999923706055,40.75,40.75,4334727,42.400001525878906,41.28000030517578,42.67000015258789,-0.36249980926513814,0.23000000000000398,1,Buy
1944,2021-12-09,44.34999847412109,44.45000076293945,42.5,42.79999923706055,42.79999923706055,1892802,43.900001525878906,42.3375,42.8039998626709,-0.8225000381469698,-0.13399971008301037,0,Sell
1805,2021-05-20,22.25,23.0,21.75,22.049999237060547,22.049999237060547,8123854,21.950000762939453,19.11750011444092,19.904000015258788,0.8050001144409187,0.08200000762939652,1,Buy
1795,2021-05-05,19.299999237060547,19.299999237060547,18.700000762939453,18.799999237060547,18.799999237060547,1182348,19.0,18.364999961853027,19.80099994659424,-0.06499986648559641,-0.000999946594237855,0,Sell
1791,2021-04-29,20.350000381469727,20.450000762939453,19.049999237060547,19.5,19.5,3211098,20.049999237060547,18.302499866485597,19.89099994659424,-0.9224999427795382,0.013000068664549502,1,Buy
1760,2021-03-10,25.399999618530277,26.0,23.950000762939453,24.899999618530277,24.899999618530277,8856569,25.200000762939453,20.630000019073485,20.68700008392334,0.7624999999999993,-0.038000068664551634,0,Sell
1535,2020-04-21,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,2099744,4.900000095367432,3.7375,5.0000000047683715,-0.05500000715255737,0.036999988555908025,1,Buy
1289,2019-04-15,58.75,60.79999923706055,58.5,59.75,57.00287628173828,7029755,58.400001525878906,58.76250038146973,58.15800010681152,-1.9100000381469684,-0.003999938964838634,0,Sell
1284,2019-04-08,57.0,58.5,55.29999923706055,55.650001525878906,53.09138107299805,7128130,56.84999847412109,60.160000228881835,58.49199996948242,-0.3125,0.010000228881835938,1,Buy
1216,2018-12-27,67.1500015258789,67.8499984741211,66.30000305175781,67.05000305175781,63.967247009277344,4692421,66.55000305175781,65.36250076293945,68.37100021362305,-1.2174995422363395,-0.15199981689453068,0,Sell
1205,2018-12-11,57.59999847412109,61.400001525878906,57.59999847412109,60.84999847412109,58.05229949951172,5228220,60.400001525878906,68.42750053405761,68.29600021362305,-3.6624996185302763,0.1860000610351591,1,Buy
1143,2018-09-06,85.69999694824219,86.9000015258789,84.0999984741211,86.19999694824219,81.2453842163086,4553918,85.5,81.57999954223632,80.95999969482422,0.5525001525878821,-0.09800018310546932,0,Sell
1142,2018-09-05,83.05000305175781,86.0,81.8499984741211,85.5,80.58561706542969,6404151,83.05000305175781,81.48499946594238,81.09099975585937,0.32250022888183594,0.009999694824216476,1,Buy
