,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,53.0,53.34999847412109,52.0,52.59999847412109,52.59999847412109,113028,52.45000076293945,52.90749988555908,52.863000030517576,-0.8325002670288058,,0,Sell
2445,2023-12-18,53.900001525878906,57.0,53.75,54.34999847412109,54.34999847412109,1042120,51.900001525878906,53.74000015258789,52.93700019836426,-0.6174999237060561,0.04499969482422017,1,Buy
2405,2023-10-18,53.0,55.5,52.79999923706055,54.25,54.25,176989,52.900001525878906,54.76750011444092,54.43099998474121,-1.5099994659423785,-0.03699996948242301,0,Sell
2280,2023-04-19,38.59999847412109,40.25,38.54999923706055,39.900001525878906,39.444522857666016,311251,38.54999923706055,36.80749988555908,37.533999862670896,-0.03750019073486044,0.028000183105469034,1,Buy
2189,2022-12-05,44.400001525878906,44.75,43.79999923706055,44.0,42.92462158203125,323366,43.79999923706055,41.9349998474121,43.67900009155274,-0.6825002670288143,-0.04900016784668537,0,Sell
2186,2022-11-30,43.34999847412109,43.54999923706055,42.70000076293945,43.0,41.94906234741211,133881,43.34999847412109,42.197499847412104,43.76400001525879,-0.9725002288818416,0.011999969482424433,1,Buy
2174,2022-11-14,40.5,41.70000076293945,40.5,41.0,39.99794387817383,195209,41.25,44.250000190734866,43.72300018310547,-1.3299999237060547,-0.043000106811525995,0,Sell
2170,2022-11-07,41.400001525878906,42.04999923706055,41.29999923706055,41.75,40.7296142578125,246700,41.09999847412109,45.562500190734866,43.67000015258789,0.5174999237060547,0.008999938964848297,1,Buy
2168,2022-11-03,45.04999923706055,45.79999923706055,41.5,41.95000076293945,40.92472839355469,862680,45.150001525878906,45.73500022888184,43.63600021362305,0.9174999237060533,-0.009000091552735512,0,Sell
2103,2022-07-28,34.599998474121094,35.20000076293945,34.099998474121094,34.79999923706055,33.9494743347168,83188,34.25,34.53249988555908,34.77200023651123,0.9649997711181655,0.18799972534179688,1,Buy
2050,2022-05-16,36.70000076293945,37.54999923706055,36.5,37.0,36.09570693969727,186343,36.0,41.05,39.515000076293944,-1.685000038146967,-0.021999893188478836,0,Sell
2015,2022-03-23,39.54999923706055,40.5,38.5,38.70000076293945,37.754154205322266,213988,39.5,36.362500286102296,37.602999916076655,1.064999961853026,0.028000183105469034,1,Buy
2011,2022-03-16,39.95000076293945,40.75,39.29999923706055,40.400001525878906,39.4126091003418,323535,39.79999923706055,35.75500020980835,37.336999778747554,-0.09500007629394247,-0.11699974060058338,0,Sell
1953,2021-12-22,31.149999618530277,31.600000381469727,30.799999237060547,31.149999618530277,30.388681411743164,57710,30.75,31.6625,32.717000007629395,-0.09500007629394247,0.1439999008178745,1,Buy
1939,2021-12-02,30.5,31.799999237060547,30.25,30.799999237060547,30.0472354888916,112249,30.5,32.6,32.7220000076294,-0.48249998092651225,-0.005000000000002558,0,Sell
1938,2021-12-01,30.75,30.899999618530277,30.350000381469727,30.5,29.754568099975582,115444,30.149999618530277,32.685000038146974,32.77100002288818,-0.5,0.0019999694824264225,1,Buy
1922,2021-11-08,33.099998474121094,33.45000076293945,32.0,32.599998474121094,31.80324363708496,114617,32.79999923706055,33.425,32.947999992370605,0.030000019073483486,-0.04200000762939027,0,Sell
1919,2021-11-02,32.849998474121094,33.599998474121094,32.150001525878906,32.70000076293945,31.900798797607425,91119,32.20000076293945,33.675,32.94499996185303,0.559999942779541,0.027000007629396805,1,Buy
1844,2021-07-14,38.95000076293945,39.09999847412109,38.54999923706055,38.650001525878906,37.705379486083984,133883,38.84999847412109,39.86250019073486,39.46400001525879,-0.6674999237060533,-0.06499992370605412,0,Sell
1683,2020-11-18,13.649999618530272,13.899999618530272,13.5,13.75,13.413944244384766,25867,13.649999618530272,13.84749994277954,14.534999923706055,-0.16249999999999964,0.07400001525878963,1,Buy
1663,2020-10-21,14.649999618530272,14.75,14.350000381469728,14.600000381469728,14.243170738220217,7999,14.75,14.725,14.742999935150147,-0.5624998569488522,-0.03799999237060625,0,Sell
