,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
682,2023-12-28,295.8999938964844,297.8999938964844,289.5,291.0,291.0,1167704,294.29998779296875,279.7550018310547,273.5270004272461,5.477499389648472,,0,Sell
669,2023-12-08,283.70001220703125,287.5,276.95001220703125,278.6499938964844,278.6499938964844,744674,282.8500061035156,273.88500061035154,273.6720004272461,5.335000610351528,0.020999755859406832,1,Buy
638,2023-10-23,273.25,275.3500061035156,262.0,263.29998779296875,263.29998779296875,835758,273.25,281.62250061035155,282.70600189208983,-3.6325012207031477,-0.27400085449215794,0,Sell
589,2023-08-10,263.5,264.8999938964844,258.0,260.5,260.5,368536,264.1499938964844,259.8074981689453,261.152998046875,3.7549995422363054,0.5590020751953375,1,Buy
584,2023-08-03,267.79998779296875,270.8999938964844,266.0,268.6499938964844,268.6499938964844,555567,267.70001220703125,256.92499923706055,260.20999786376956,0.38250045776368324,-0.137998352050829,0,Sell
574,2023-07-20,259.0,259.0,255.0,255.3500061035156,254.8500061035156,229177,258.1499938964844,257.80749893188477,260.5939981079102,-4.61499938964846,0.42699981689452216,1,Buy
551,2023-06-16,267.1499938964844,271.75,266.0,267.45001220703125,266.92633056640625,587696,265.25,260.94999542236326,265.6209963989258,0.7999984741210824,-0.6469992065430006,0,Sell
528,2023-05-16,262.6499938964844,266.79998779296875,256.95001220703125,258.29998779296875,257.7942199707031,524001,262.0,275.67249755859376,260.61799774169924,7.045000457763706,0.007999267578099989,1,Buy
525,2023-05-11,284.0,286.8999938964844,277.79998779296875,278.6499938964844,278.1043701171875,448722,283.3500061035156,274.3374969482422,259.85199798583983,14.25500030517577,-0.06400054931640398,0,Sell
505,2023-04-11,256.29998779296875,260.0,253.6000061035156,259.04998779296875,258.5427551269531,498611,255.25,245.12499771118163,257.9419998168945,-7.822500610351568,0.1489984130859625,1,Buy
386,2022-10-17,327.3999938964844,328.95001220703125,319.29998779296875,321.0,320.3714599609375,497971,327.3500061035156,343.5800018310547,336.85500244140627,-8.559999084472679,-0.17100036621093295,0,Sell
344,2022-08-16,317.20001220703125,328.70001220703125,315.54998779296875,324.25,323.6150817871094,2394617,314.8500061035156,309.31500244140625,307.2540002441406,9.82000274658202,1.0289996337890557,1,Buy
219,2022-02-11,452.0,455.0,440.9500122070313,444.25,442.2610778808594,474290,455.0499877929688,452.9925003051759,435.5550012207032,7.8600006103515625,-0.2679998779296966,0,Sell
191,2022-01-03,432.0,444.0,431.5499877929688,440.8500061035156,438.8763122558594,609065,432.1499938964844,415.49500274658203,426.12700134277344,-1.3050003051757812,1.5939996337890534,1,Buy
149,2021-11-02,458.0,464.75,452.6000061035156,457.75,455.7006530761719,500860,454.6499938964844,512.3274978637695,501.6159997558594,-29.72500152587895,-2.615000610351558,0,Sell
1,2021-03-26,173.4499969482422,194.3999938964844,172.0,186.6000061035156,185.4146881103516,30116742,164.4499969482422,164.4499969482422,164.4499969482422,,20.55333658854167,1,Buy
