,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2451,2023-12-28,40.95000076293945,41.0,39.59999847412109,39.84999847412109,39.84999847412109,35768,40.45000076293945,39.597500228881835,39.10700004577637,0.09750003814696839,,0,Sell
2434,2023-12-04,40.25,40.25,38.900001525878906,39.45000076293945,39.45000076293945,17420,38.900001525878906,39.21500015258789,39.052999877929686,0.8600004196166964,0.017000122070314205,1,Buy
2424,2023-11-17,38.04999923706055,38.75,38.0,38.34999847412109,38.34999847412109,24826,38.04999923706055,38.37999973297119,39.11999977111817,-0.010000038146969814,-0.01699981689453267,0,Sell
2355,2023-08-07,31.899999618530277,32.29999923706055,31.350000381469727,31.549999237060547,31.549999237060547,13402,32.04999923706055,32.10499992370605,32.92100006103516,-0.35250015258789347,0.006000061035152271,1,Buy
2333,2023-07-06,32.70000076293945,34.29999923706055,32.70000076293945,33.25,33.25,32199,33.29999923706055,33.25750026702881,33.223999938964845,-0.5674997329711928,-0.005999984741208664,0,Sell
2282,2023-04-21,30.0,30.600000381469727,29.75,30.049999237060547,30.049999237060547,7806,29.950000762939453,28.722500324249268,30.009000091552736,-0.1499998092651431,0.11099994659423729,1,Buy
2226,2023-01-25,35.900001525878906,35.900001525878906,34.25,34.599998474121094,34.599998474121094,15014,35.54999923706055,37.979999923706046,35.73999992370605,-0.41250019073486754,-0.010999946594232313,0,Sell
2190,2022-12-06,33.349998474121094,33.900001525878906,32.75,33.099998474121094,33.099998474121094,49380,33.04999923706055,33.96249980926514,34.372000198364255,-0.7025001525878878,0.038999938964849434,1,Buy
2155,2022-10-14,35.099998474121094,35.650001525878906,34.04999923706055,34.400001525878906,34.400001525878906,18502,35.29999923706055,35.05500030517578,35.68000007629394,-0.7249996185302763,-0.08299980163574361,0,Sell
2094,2022-07-15,31.950000762939453,31.950000762939453,30.649999618530277,31.049999237060547,31.049999237060547,8830,31.549999237060547,30.467500114440917,31.134999923706054,0.16249999999999787,0.06800006866455277,1,Buy
2053,2022-05-19,32.79999923706055,32.79999923706055,31.350000381469727,31.850000381469727,31.850000381469727,11801,33.099998474121094,33.63999967575073,33.999999885559085,-1.9050000190734906,-0.054999999999999716,0,Sell
2011,2022-03-16,33.650001525878906,36.84999847412109,33.0,35.099998474121094,35.099998474121094,459087,33.20000076293945,30.469999885559083,32.31200000762939,-0.41249999999999787,0.022999954223635655,1,Buy
1984,2022-02-04,34.150001525878906,34.150001525878906,33.25,33.29999923706055,33.29999923706055,2868,33.45000076293945,33.73500003814697,32.79200004577637,-0.4824998855590863,-0.030000152587895457,0,Sell
1975,2022-01-21,34.45000076293945,34.45000076293945,33.0,33.349998474121094,33.349998474121094,23156,34.349998474121094,33.98499994277954,32.882000045776365,1.2125001907348576,0.04200000762939737,1,Buy
1964,2022-01-06,35.349998474121094,35.349998474121094,33.75,34.25,34.25,34777,35.400001525878906,32.48750009536743,32.85500007629395,1.029999828338621,-0.019000015258789915,0,Sell
1958,2021-12-29,31.950000762939453,35.70000076293945,31.649999618530277,35.099998474121094,35.099998474121094,210636,31.950000762939453,31.525000286102294,32.90800018310547,-0.39499988555908416,0.018999862670895595,1,Buy
1878,2021-09-02,35.70000076293945,36.45000076293945,35.25,35.5,35.5,54377,35.45000076293945,36.417500495910645,36.476000213623045,-1.4224998474121122,-0.06599998474121094,0,Sell
1799,2021-05-11,26.350000381469727,27.75,26.100000381469727,27.149999618530277,27.149999618530277,37509,26.75,25.58749990463257,26.63299991607666,0.02500000000000213,0.04200004577637273,1,Buy
1736,2021-02-04,27.75,27.75,26.75,27.149999618530277,27.149999618530277,10521,27.049999237060547,28.54499979019165,29.051999969482424,-1.0175001144409173,-0.0940000152587892,0,Sell
