,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2450,2023-12-28,18.0,18.200000762939453,17.149999618530273,17.399999618530273,17.399999618530273,43336,17.5,17.669999885559083,17.99699993133545,-0.21249999999999858,,0,Sell
2449,2023-12-27,17.950000762939453,18.450000762939453,17.049999237060547,17.5,17.5,46009,16.799999237060547,17.669999885559083,18.032999916076662,-0.22250003814697195,0.013999977111815554,1,Buy
2433,2023-12-04,18.0,18.350000381469727,17.649999618530273,17.75,17.75,12411,17.850000381469727,17.95250005722046,18.165999965667723,-0.11000003814697479,-0.05100000381469627,0,Sell
2362,2023-08-18,15.649999618530272,15.649999618530272,14.649999618530272,14.899999618530272,14.899999618530272,9888,14.75,14.377500009536742,14.614999980926514,0.455000019073486,0.008000011444091015,1,Buy
2330,2023-07-04,14.850000381469728,14.850000381469728,14.449999809265137,14.600000381469728,14.600000381469728,6296,14.850000381469728,15.127499914169311,15.062999992370605,-0.1549999713897705,-0.022000007629394247,0,Sell
2283,2023-04-25,12.600000381469728,13.399999618530272,12.449999809265137,12.600000381469728,12.600000381469728,13641,12.699999809265137,12.805000114440919,13.768000049591064,-0.2550000190734849,0.05800006866455121,1,Buy
2157,2022-10-19,17.700000762939453,18.649999618530277,17.5,17.850000381469727,17.850000381469727,58835,17.700000762939453,18.222499942779542,18.513999938964844,-0.7550000190734849,-0.035000038146971946,0,Sell
2112,2022-08-12,18.450000762939453,18.5,17.649999618530273,18.0,18.0,13896,18.100000381469727,16.60249991416931,16.699000034332276,0.5824999809265137,0.09099990844726591,1,Buy
2055,2022-05-24,21.0,21.899999618530277,20.049999237060547,20.299999237060547,20.299999237060547,80075,21.0,21.52249984741211,20.736999893188475,-0.4875000000000007,-0.0620000457763652,0,Sell
1935,2021-11-29,11.300000190734863,11.699999809265137,10.800000190734863,11.449999809265137,11.449999809265137,20767,11.300000190734863,11.659999990463257,12.035999965667724,-0.21999998092651296,0.000999965667725533,1,Buy
1867,2021-08-18,12.25,12.5,11.649999618530272,12.350000381469728,12.350000381469728,62693,12.25,14.589999961853028,14.868999919891358,-0.9549998283386216,-0.017000007629395242,0,Sell
1802,2021-05-18,7.400000095367432,7.849999904632568,7.400000095367432,7.599999904632568,7.599999904632568,22002,7.5,7.017499995231629,7.724000043869019,-0.08000001907348597,0.018999958038329545,1,Buy
1800,2021-05-14,7.25,7.699999809265137,7.25,7.599999904632568,7.599999904632568,6634,7.5,7.0,7.7230000495910645,-0.27500002384185773,-0.005000047683715536,0,Sell
1794,2021-05-05,6.949999809265137,7.25,6.949999809265137,7.25,7.25,9196,6.949999809265137,7.167499995231628,7.724000053405762,-0.9225000619888313,0.0029999732971193183,1,Buy
1780,2021-04-13,7.150000095367432,7.699999809265137,7.150000095367432,7.550000190734863,7.550000190734863,2865,7.5,8.510000085830688,7.738000040054321,0.2049999952316277,-0.013999986648559393,0,Sell
1660,2020-10-16,3.0,3.0,3.0,3.0,3.0,0,3.0,3.3450000166893004,3.3400000047683718,-0.025000011920929044,0.003999986648559162,1,Buy
1611,2020-08-07,3.650000095367432,3.650000095367432,3.650000095367432,3.650000095367432,3.650000095367432,0,3.650000095367432,3.8450000524520873,3.7230000257492066,-0.06000000238418579,-0.0009999990463258612,0,Sell
1563,2020-06-02,3.299999952316284,3.299999952316284,3.25,3.299999952316284,3.299999952316284,2010,3.299999952316284,3.2950000405311584,3.3730000257492065,0.03750000000000009,0.007999987602234082,1,Buy
1448,2019-12-11,4.849999904632568,4.849999904632568,4.75,4.849999904632568,4.849999904632568,2154,5.25,5.380000019073487,5.043000001907348,0.07000002861023003,-0.017000017166137305,0,Sell
1420,2019-10-31,4.699999809265137,4.849999904632568,4.449999809265137,4.849999904632568,4.849999904632568,7118,4.699999809265137,4.782500004768371,4.8839999866485595,0.11500000953674316,0.022999992370605682,1,Buy
1264,2019-03-07,9.25,9.800000190734863,8.600000381469727,9.050000190734863,9.050000190734863,6738,9.25,8.660000038146972,9.181000003814697,-0.38749995231628453,-0.015999965667724325,0,Sell
1203,2018-12-07,7.650000095367432,8.0,7.599999904632568,7.75,7.75,4428,7.650000095367432,8.957500004768372,8.227000017166137,0.09999999999999964,0.008999977111816548,1,Buy
981,2018-01-11,53.29999923706055,53.29999923706055,46.5,47.29999923706055,47.29999923706055,2407726,52.59999847412109,49.759999465942386,48.5379995727539,3.2224998474121094,-0.3489999389648446,0,Sell
940,2017-11-14,40.0,44.400001525878906,38.59999847412109,43.54999923706055,43.54999923706055,180882,37.20000076293945,42.19499950408935,45.14499984741211,-0.5850002288818317,0.32799995422363537,1,Buy
886,2017-08-28,56.25,56.59999847412109,54.95000076293945,55.34999847412109,55.34999847412109,85581,55.09999847412109,57.54750003814697,57.02700004577637,-2.010000228881836,-0.06800010681152457,0,Sell
791,2017-04-10,43.29999923706055,44.09999847412109,42.20000076293945,42.900001525878906,42.900001525878906,62302,43.650001525878906,41.70500011444092,43.27700004577637,0.8225000381469769,0.024999847412111365,1,Buy
773,2017-03-14,43.75,44.400001525878906,41.900001525878906,43.79999923706055,43.79999923706055,135515,41.29999923706055,42.6649995803833,43.297000045776365,-2.000000381469718,-0.13599998474121122,0,Sell
722,2016-12-28,28.0,33.04999923706055,28.0,33.04999923706055,33.04999923706055,148215,27.549999237060547,29.89750003814698,33.66100009918213,-0.7975000381469712,0.0009999847412061058,1,Buy
610,2016-07-14,74.5,77.5,69.4000015258789,70.30000305175781,68.99452209472656,34313,75.94999694824219,79.275,74.33999984741212,2.895000076293954,-0.6590001678466848,0,Sell
558,2016-05-02,37.0,40.59999847412109,36.5,40.150001525878906,39.40441131591797,78388,38.20000076293945,42.92500019073486,53.77599998474121,-8.092499923706058,0.600000076293945,1,Buy
525,2016-03-09,61.5,62.79999923706055,60.70000076293945,61.29999923706055,60.161651611328125,22655,62.20000076293945,60.17499980926514,61.29799964904785,-0.4875001907348633,-0.3339997863769568,0,Sell
519,2016-02-29,59.5,61.20000076293945,59.04999923706055,60.84999847412109,59.72000503540039,26677,60.0,60.5875,61.24799980163574,-0.6850000381469741,0.005000000000002558,1,Buy
503,2016-02-05,63.0,64.0,61.0,62.25,61.09400939941406,27349,61.59999847412109,62.047499656677246,61.39699981689453,0.2850002288818487,-0.1330000305175716,0,Sell
435,2015-10-27,46.900001525878906,46.900001525878906,45.150001525878906,45.34999847412109,44.507843017578125,7600,45.650001525878906,44.51250019073486,46.57899993896484,-0.5499998092651381,0.019000015258789915,1,Buy
348,2015-06-22,53.900001525878906,55.70000076293945,49.59999847412109,52.150001525878906,51.18156814575195,22565,52.04999923706055,56.929999923706056,54.580999984741204,-0.9674999237060504,-0.01800003051758381,0,Sell
296,2015-04-07,43.5,43.650001525878906,40.75,43.650001525878906,42.83941650390625,15600,43.400001525878906,42.777499961853025,44.88900001525879,-0.9125001907348604,0.30099998474121037,1,Buy
268,2015-02-23,46.09999847412109,46.900001525878906,43.0,45.59999847412109,44.75320053100586,22771,46.0,46.55250015258789,46.85899993896484,-2.189999771118167,-0.021999893188478836,0,Sell
263,2015-02-13,42.70000076293945,49.59999847412109,42.04999923706055,45.900001525878906,45.04763412475586,29193,42.84999847412109,47.92499980926514,47.05599990844726,-1.8050001144409151,0.026000061035162503,1,Buy
255,2015-02-03,50.5,50.5,46.0,47.79999923706055,46.91234588623047,32346,50.400001525878906,49.73999996185303,46.84999992370606,0.7850004196167077,-0.019000015258789915,0,Sell
161,2014-09-11,29.5,30.5,27.600000381469727,28.75,28.216108322143555,382,29.850000381469727,29.35250005722046,30.10900016784668,-0.6475000381469727,0.011999931335449077,1,Buy
119,2014-07-10,30.0,31.950000762939453,28.600000381469727,31.5,30.915040969848636,3307,31.600000381469727,32.132500076293944,32.57899993896484,-1.059999752044682,-0.0999998474121071,0,Sell
112,2014-07-01,31.25,31.75,31.25,31.75,31.160398483276367,350,31.25,33.192499828338626,32.52799987792969,-0.9975001335144,0.05400005340575831,1,Buy
109,2014-06-26,31.049999237060547,32.79999923706055,30.100000381469727,31.399999618530277,30.816898345947266,2768,32.349998474121094,33.53499984741211,32.4719998550415,-1.2399999618530302,-0.004999923706051845,0,Sell
105,2014-06-20,35.95000076293945,35.95000076293945,31.0,32.349998474121094,31.74925422668457,2935,32.900001525878906,34.189999961853026,32.56199993133545,-0.0999998092651353,0.01700000762939169,1,Buy
104,2014-06-19,32.0,33.95000076293945,30.649999618530277,32.900001525878906,32.28904342651367,133,33.5,34.54749984741211,32.580999870300296,0.5200000762939467,-0.025999946594239987,0,Sell
103,2014-06-18,32.0,34.400001525878906,32.0,33.5,32.877899169921875,5900,32.95000076293945,34.59749984741211,32.58999988555908,0.7975001335143972,0.03400005340576229,1,Buy
30,2014-02-28,36.09999847412109,36.09999847412109,36.09999847412109,36.09999847412109,35.42961883544922,1,38.0,37.812499618530275,38.13833312988281,-0.7075002670288058,-0.058787935430352434,0,Sell
24,2014-02-19,35.20000076293945,36.84999847412109,33.349998474121094,36.84999847412109,36.16568756103516,10001,35.099998474121094,38.354999732971194,38.23749987284342,-0.5567651973051184,0.13881559539260024,1,Buy
7,2014-01-27,40.0,40.04999923706055,37.84999847412109,38.59999847412109,37.8831901550293,15156,39.79999923706055,38.585714612688335,38.585714612688335,,-0.06666692097981297,0,Sell
1,2014-01-17,37.0,38.09999847412109,37.0,37.5,36.803619384765625,24849,38.0,38.0,38.0,,0.9966669718424512,1,Buy
