,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,809.9500122070312,814.25,792.0499877929688,803.1500244140625,803.1500244140625,474190,801.75,780.2475006103516,784.202998046875,0.655001831054733,,0,Sell
2450,2023-12-26,796.4000244140625,816.0,788.0499877929688,804.3499755859375,804.3499755859375,1002451,792.2000122070312,777.6675018310547,786.4969982910156,-1.4999969482422557,1.2929980468750273,1,Buy
2398,2023-10-09,855.0,864.0,847.0,852.6500244140625,852.6500244140625,170167,860.25,864.0174987792968,863.2719982910156,-11.494998168945358,-1.183000488281209,0,Sell
2260,2023-03-16,533.5,535.25,520.25,523.9000244140625,523.9000244140625,556323,534.2999877929688,546.7999969482422,542.4209985351563,8.29500122070317,0.7310009765624272,1,Buy
2106,2022-08-02,700.0,778.9000244140625,700.0,751.5999755859375,751.5999755859375,1162767,705.0,652.3875061035156,662.5420007324219,11.110000610351562,-1.2190014648438137,0,Sell
2097,2022-07-20,641.9000244140625,654.9000244140625,641.0,645.0,645.0,150602,638.5499877929688,639.9225036621094,667.4619995117188,-9.939996337890534,2.4449999999999363,1,Buy
1992,2022-02-16,899.7000122070312,900.7000122070312,879.0,881.25,879.1134033203125,280861,895.3499755859375,906.6174987792969,892.7380004882813,-2.154998779296875,-0.043000488281222715,0,Sell
1951,2021-12-20,841.7999877929688,841.7999877929688,814.1500244140625,825.75,823.7479248046875,187275,843.7999877929688,843.5375,852.8390026855469,13.512500000000045,0.321998291015575,1,Buy
1852,2021-07-27,1059.0,1069.3499755859375,1022.2999877929688,1038.9000244140625,1033.4442138671875,726724,1057.4000244140625,1101.1150024414062,1073.3640087890626,-0.6875,-2.3560021972657523,0,Sell
1777,2021-04-07,835.0,856.75,834.5999755859375,846.4000244140625,841.9551391601562,219513,830.5999755859375,823.4999969482421,842.4749975585937,4.3899993896484375,1.5880041503907023,1,Buy
1721,2021-01-13,957.0,972.0,935.0,946.5,940.3739013671876,744466,955.7000122070312,946.1625030517578,930.1080017089844,-2.6375030517579034,-0.6690002441406477,0,Sell
1551,2020-05-14,602.0,609.0999755859375,595.0999755859375,597.4500122070312,589.8199462890625,104415,606.5499877929688,613.4799957275391,576.3019989013671,20.310000610351608,0.004998779296897737,1,Buy
1502,2020-02-27,623.5,628.0,595.3499755859375,605.5499877929688,597.8164672851562,186528,623.5,658.6199981689454,630.532998046875,-1.410003662109375,-1.9459960937500682,0,Sell
1355,2019-07-23,505.0,508.9500122070313,502.7999877929688,506.5499877929688,495.3932495117188,28476,502.6499938964844,527.2949981689453,528.8769989013672,-4.140003967285111,0.7719995117187182,1,Buy
1118,2018-07-31,784.0,787.0,778.9000244140625,781.4500122070312,754.8271484375,144703,787.0,790.1549987792969,793.8339990234375,-8.472500610351517,-0.02399780273435681,0,Sell
1111,2018-07-20,761.7999877929688,777.0,761.7999877929688,767.2000122070312,741.0625610351562,92669,760.9500122070312,798.6274993896484,795.2749987792969,-10.09750061035163,0.2590002441405659,1,Buy
1091,2018-06-22,806.0,824.0,793.5499877929688,818.9000244140625,791.0015258789062,184939,806.9500122070312,796.2899963378907,797.0399975585938,12.995001220703216,-0.3319995117187773,0,Sell
1048,2018-04-23,807.0,817.9000244140625,798.75,812.0499877929688,784.384765625,148072,802.7000122070312,781.175,780.3959973144531,6.1475006103514716,1.2920007324219114,1,Buy
990,2018-01-24,1016.0999755859376,1019.0,982.5999755859376,997.0,954.4335327148438,442212,1019.5,998.9274993896485,967.1870007324219,10.677496337890602,-4.059000244140634,0,Sell
968,2017-12-22,972.0,999.0,972.0,984.5499877929688,942.5151977539062,344930,970.7999877929688,958.5150024414063,953.742001953125,32.0074981689454,0.4939978027342704,1,Buy
962,2017-12-14,970.0,1032.0,966.0499877929688,1024.199951171875,980.4723510742188,1631686,961.8499755859376,929.3725036621094,951.6050012207031,8.3800048828125,-0.40900024414065683,0,Sell
912,2017-10-04,939.0,952.4000244140624,929.4000244140624,952.4000244140624,911.73779296875,484112,793.7000122070312,770.5625061035156,810.5480041503906,24.667501831054665,6.205997314453157,1,Buy
864,2017-07-25,986.0999755859376,1008.0999755859376,986.0999755859376,996.4500122070312,952.2924194335938,119617,990.9500122070312,988.5350006103515,970.0609997558594,6.26000061035154,-0.003997802734375,0,Sell
718,2016-12-22,593.0999755859375,600.0,592.0,595.0999755859375,564.3268432617188,241459,595.5,596.3324920654297,598.1119982910157,-10.074999999999932,1.2849987792968705,1,Buy
662,2016-09-29,624.0,626.0499877929688,580.0,598.0999755859375,567.1715698242188,345998,619.75,652.0100006103515,637.727001953125,-12.80500183105471,-1.2240014648436954,0,Sell
573,2016-05-23,453.25,458.6499938964844,453.25,456.2000122070313,432.104736328125,53479,453.25,465.5600021362305,459.02000122070314,0.4249984741210824,2.6700006103515648,1,Buy
561,2016-05-05,457.5499877929688,469.7999877929688,456.0,466.5,441.8606872558594,130926,455.2000122070313,459.20250396728517,457.9720013427734,20.25749969482422,-0.36899963378903067,0,Sell
550,2016-04-20,448.0,453.0,445.0,450.1000061035156,426.326904296875,133012,446.1000061035156,439.91750183105466,457.3160003662109,-17.774996948242233,0.5130010986328557,1,Buy
493,2016-01-21,518.7000122070312,544.7999877929688,514.2000122070312,519.25,489.1755981445313,575488,507.3500061035156,565.8675003051758,539.0124005126954,-4.852503967285202,-0.3254016113282887,0,Sell
407,2015-09-11,439.989990234375,449.5899963378906,438.8299865722656,442.6900024414063,417.04986572265625,242480,436.760009765625,447.53699951171876,458.4932006835937,-12.831503295898415,0.1947998046875341,1,Buy
396,2015-08-27,433.6199951171875,461.8999938964844,433.6199951171875,457.4100036621094,430.9172058105469,272795,429.3500061035156,462.36200256347666,457.9986004638672,-4.97599945068356,-0.4517993164062659,0,Sell
347,2015-06-19,419.1600036621094,448.0,419.010009765625,438.010009765625,412.640869140625,1347935,415.3500061035156,427.2279983520508,436.42399963378904,-17.738500976562477,0.1617987060546966,1,Buy
331,2015-05-28,456.7999877929688,459.6000061035156,440.6199951171875,442.4599914550781,416.8331604003906,244920,451.6099853515625,440.772998046875,441.2261993408203,19.149497985839844,-1.1016003417968818,0,Sell
264,2015-02-16,280.0,284.0,280.0,280.8500061035156,259.7992858886719,63185,280.5,281.59049835205076,284.0705993652344,-2.2164993286132812,0.4820001220703034,1,Buy
252,2015-01-29,272.0400085449219,278.9800109863281,270.3999938964844,273.1099853515625,252.6393280029297,237225,272.0199890136719,290.2874984741211,283.5043994140625,3.6089981079101676,-0.1338000488281068,0,Sell
222,2014-12-16,290.20001220703125,290.989990234375,264.25,266.94000244140625,246.93182373046875,219140,288.7900085449219,281.74299774169924,280.7697998046875,4.006999206543014,0.5666003417968568,1,Buy
200,2014-11-14,280.3999938964844,282.9800109863281,273.79998779296875,277.0400085449219,256.2748718261719,95310,280.9800109863281,277.2630020141602,282.3890005493164,-2.7819992065429346,-0.36020050048824714,0,Sell
89,2014-05-29,152.1999969482422,153.9600067138672,148.9199981689453,149.88999938964844,138.65518188476562,148160,153.0399932861328,153.99249954223632,155.02740020751952,-4.404000091552746,0.4569998168945517,1,Buy
68,2014-04-29,168.2100067138672,170.82000732421875,166.1999969482422,166.99000549316406,154.47348022460938,215650,168.16000366210938,151.46550064086915,158.1452001953125,-1.2720001220702954,-0.3014004516601574,0,Sell
54,2014-04-04,148.8000030517578,159.0,148.8000030517578,149.5500030517578,138.34066772460938,2777235,142.8800048828125,161.23349990844727,158.125,-5.561999511718739,0.020200195312497726,1,Buy
