,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2451,2023-12-28,4210.9501953125,4210.9501953125,4175.0,4197.5498046875,4197.5498046875,50195,4194.5,4157.700012207031,4078.155009765625,46.74000244140643,,0,Sell
2433,2023-12-01,4031.0,4080.0,4004.0,4043.300048828125,4043.300048828125,47294,4011.0,4042.422509765625,4067.71501953125,50.20250244140607,5.5119921874998,1,Buy
2403,2023-10-17,4144.0,4185.0,4119.7001953125,4170.5,4170.5,57563,4106.5,4140.245031738281,4099.426015625,-58.3699951171875,-1.7469921874999272,0,Sell
2177,2022-11-17,3070.0,3092.85009765625,3069.25,3086.85009765625,3086.85009765625,17143,3081.89990234375,2981.880017089844,3006.8360009765624,43.6824951171875,1.287011718749909,1,Buy
2127,2022-09-05,3148.0,3174.0,3115.0,3123.550048828125,3123.550048828125,61418,3147.699951171875,3285.65751953125,3203.1400146484375,9.75250244140625,-4.838007812500109,0,Sell
2098,2022-07-21,3275.0,3277.75,3171.60009765625,3198.10009765625,3198.10009765625,133142,3258.800048828125,3145.1150146484374,3167.1630224609376,53.25749511718732,4.3069970703122635,1,Buy
2025,2022-04-06,3670.0,3709.0,3635.449951171875,3685.050048828125,3685.050048828125,48463,3676.550048828125,3541.1100341796873,3539.076015625,73.95500488281232,-1.954003906249909,0,Sell
2024,2022-04-05,3700.0,3720.0,3654.60009765625,3676.550048828125,3676.550048828125,57256,3668.85009765625,3524.8775268554687,3539.5180126953123,61.10499267578098,1.7150000000001455,1,Buy
1909,2021-10-19,4760.0,5145.0,4744.89990234375,4944.0,4944.0,1105420,4729.4501953125,4673.059985351562,4662.163974609375,-18.342456054687318,-1.114013671875,0,Sell
1772,2021-03-30,3125.0,3747.0,3105.449951171875,3356.75,3175.029052734375,381370,3124.14990234375,3187.152490234375,3207.134990234375,48.59747314453125,2.695019531250182,1,Buy
1751,2021-02-25,3050.75,3150.0,3005.10009765625,3018.949951171875,2855.51611328125,134862,3037.60009765625,3176.2375,3238.9349951171876,-94.53248291015598,-0.527001953124909,0,Sell
1750,2021-02-24,3036.5,3048.699951171875,2995.0,3037.60009765625,2873.15673828125,17567,3006.300048828125,3187.05,3240.8519921875,-94.28498535156223,0.829003906249909,1,Buy
1741,2021-02-11,3201.0,3228.0,3190.0,3216.949951171875,3042.797119140625,19425,3197.800048828125,3306.739990234375,3237.2239990234375,-41.16748046875,-0.980004882812409,0,Sell
1645,2020-09-24,3069.449951171875,3069.449951171875,2950.10009765625,2961.5,2801.17626953125,63418,3047.39990234375,2990.0674682617187,3012.7679833984375,-10.83251953125,1.9579980468747635,1,Buy
1644,2020-09-23,3060.0,3147.949951171875,3010.0,3047.39990234375,2882.426025390625,149062,3054.39990234375,2989.869970703125,3011.4579833984376,-14.39752197265625,-0.34700195312507276,0,Sell
1551,2020-05-14,2528.050048828125,2565.0,2511.0,2526.300048828125,2223.150146484375,82715,2527.64990234375,2270.1775024414064,2202.863996582031,138.3374877929691,3.1970043945311772,1,Buy
1427,2019-11-11,3126.10009765625,3187.800048828125,3101.5,3119.0,2744.7275390625,10710,3126.10009765625,3108.9625,3055.4069921875,14.920007324218659,-1.3799951171872635,0,Sell
1413,2019-10-22,3095.0,3114.39990234375,3070.0,3106.949951171875,2734.12353515625,8980,3070.25,3066.602502441406,3052.1280029296877,55.90001220703107,3.2789892578121,1,Buy
1248,2019-02-11,3740.0,3849.0,3719.60009765625,3788.39990234375,3333.80126953125,24154,3731.89990234375,3741.759973144531,3660.5280029296873,71.44748535156259,-2.8149999999996,0,Sell
1219,2019-01-01,3700.10009765625,3740.0,3690.0,3729.449951171875,3281.9248046875,11336,3707.75,3603.4650268554688,3571.21900390625,80.94503173828116,1.0140039062503092,1,Buy
1160,2018-10-04,3980.10009765625,4026.64990234375,3949.449951171875,3967.39990234375,3491.321533203125,31487,4043.949951171875,4108.577465820313,4028.208984375,-40.392492675780886,-1.0740039062498,0,Sell
1112,2018-07-23,3860.25,3930.0,3860.25,3888.050048828125,3199.43603515625,15671,3883.25,3953.5950317382812,3937.11701171875,-62.75249023437482,1.4880029296878092,1,Buy
1086,2018-06-15,3975.10009765625,4147.0,3971.35009765625,4107.85009765625,3380.30712890625,25927,4008.699951171875,3857.99248046875,4018.5499853515626,-64.19001464843768,-0.02698730468773647,0,Sell
1072,2018-05-28,3924.0,3924.0,3800.0,3853.89990234375,3171.33447265625,14042,3879.199951171875,4075.2500122070314,4017.417998046875,-119.19248046874964,1.1319873046877547,1,Buy
1064,2018-05-16,3964.0,4024.0,3949.449951171875,3998.85009765625,3290.6123046875,15794,3974.550048828125,4200.202478027344,4012.922001953125,65.02250976562573,-1.4240087890625546,0,Sell
1040,2018-04-11,3930.050048828125,3973.550048828125,3860.300048828125,3946.39990234375,3247.451416015625,28513,3928.64990234375,3877.3775146484377,3976.486005859375,31.714978027343932,3.0130029296874454,1,Buy
1007,2018-02-20,4007.0,4080.0,3999.300048828125,4054.35009765625,3336.282470703125,20617,4000.85009765625,4139.444982910156,4063.93697265625,-17.254980468750546,-1.4399853515624272,0,Sell
919,2017-10-13,3590.0,3600.0,3571.14990234375,3592.800048828125,2956.477783203125,5995,3579.85009765625,3557.70498046875,3528.08099609375,23.32998046874991,0.05599609374985448,1,Buy
809,2017-05-08,3749.0,3774.449951171875,3701.050048828125,3761.35009765625,3095.17626953125,28980,3699.60009765625,3682.6375244140627,3751.611025390625,-53.90749511718741,-7.792001953124782,0,Sell
726,2017-01-03,3194.89990234375,3194.89990234375,3139.60009765625,3166.300048828125,2487.958251953125,11162,3188.699951171875,3142.657470703125,3118.7529931640624,36.53498535156268,1.8709863281251273,1,Buy
640,2016-08-26,3633.0,3659.89990234375,3606.0,3612.699951171875,2759.12939453125,28820,3625.14990234375,3656.9225219726563,3565.75099609375,23.010009765625,-3.8039892578126455,0,Sell
603,2016-07-04,3474.0,3486.89990234375,3447.39990234375,3475.449951171875,2654.30712890625,18074,3459.449951171875,3433.12998046875,3470.6259912109376,-13.117504882812227,0.48799316406257276,1,Buy
576,2016-05-26,3406.0,3490.0,3388.5,3465.64990234375,2646.82275390625,34456,3394.85009765625,3494.4300048828127,3505.9129931640623,-61.33999023437491,-0.3479980468746362,0,Sell
546,2016-04-11,3550.0,3576.300048828125,3530.800048828125,3557.550048828125,2717.009765625,13280,3558.050048828125,3476.6949829101563,3440.620986328125,68.4224853515625,5.444003906249691,1,Buy
455,2015-11-27,3840.0,3884.0,3834.10009765625,3868.300048828125,2954.3388671875,10518,3834.10009765625,3913.8825073242188,3894.3010107421874,-26.052490234375,-0.9600000000000364,0,Sell
448,2015-11-17,3935.0,3953.949951171875,3870.35009765625,3906.35009765625,2983.39892578125,90254,3932.35009765625,3939.9349975585938,3900.40400390625,-2.0,1.5220068359371908,1,Buy
416,2015-09-28,3899.0,3909.0,3817.0,3849.300048828125,2939.828125,53686,3856.64990234375,3860.4875,4001.67599609375,-162.4324951171875,-3.8269970703127,0,Sell
409,2015-09-15,3839.949951171875,3842.0,3712.39990234375,3722.10009765625,2842.681640625,30767,3801.14990234375,4022.9199951171877,4010.0159912109375,-157.5849975585934,1.5460058593748727,1,Buy
400,2015-09-02,4169.89990234375,4169.89990234375,4023.0,4067.10009765625,2968.697021484375,49682,4098.14990234375,4203.877478027343,4009.0389892578123,23.61749267578125,-7.3049902343746,0,Sell
307,2015-04-23,3314.89990234375,3340.0,3285.39990234375,3297.449951171875,2406.90625,13146,3291.800048828125,3297.102490234375,3303.5909912109373,27.082507324219023,6.206997070312809,1,Buy
268,2015-02-23,3302.0,3304.0,3250.0,3270.89990234375,2387.527099609375,37377,3301.0,3339.5249877929687,3331.7189892578126,-0.644995117187591,-0.6200048828127365,0,Sell
265,2015-02-18,3354.0,3399.699951171875,3330.0,3368.25,2458.58544921875,19591,3353.550048828125,3343.1624755859375,3333.0839892578124,1.862500000000182,2.2019970703127,1,Buy
251,2015-01-28,3276.14990234375,3295.699951171875,3222.5,3256.5,2377.01611328125,30753,3291.949951171875,3341.01748046875,3333.122978515625,2.66748046875,-0.03898925781277285,0,Sell
222,2014-12-16,3224.0,3315.949951171875,3224.0,3272.050048828125,2388.36669921875,27308,3254.35009765625,3334.0524658203126,3324.0739794921874,4.045007324218659,1.7440087890627183,1,Buy
175,2014-10-01,3411.5,3533.0,3411.5,3491.199951171875,2548.330810546875,87236,3439.14990234375,3717.4675048828126,3535.865,-4.320019531249727,-4.6470019531248,0,Sell
107,2014-06-24,2938.0,2959.89990234375,2855.0,2949.14990234375,1889.1337890625,15078,2909.14990234375,2904.5499633789063,2965.457978515625,20.539990234375182,0.6399999999998727,1,Buy
6,2014-01-24,3262.5,3280.0,3220.10009765625,3241.85009765625,2076.628662109375,36475,3263.050048828125,3192.4166666666665,3192.4166666666665,,-12.706669108072674,0,Sell
2,2014-01-20,3114.0,3193.5,3114.0,3181.699951171875,2038.0985107421875,28408,3145.14990234375,3172.7249755859375,3172.7249755859375,,18.143768310546875,1,Buy
