,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,218.8999938964844,223.8500061035156,217.6999969482422,222.3999938964844,222.3999938964844,9235328,216.3000030517578,210.19250030517577,208.22800048828125,6.452500152587874,,0,Sell
2449,2023-12-22,213.3999938964844,215.3000030517578,212.5,214.1999969482422,214.1999969482422,4647771,211.4499969482422,207.27750091552736,208.86600067138673,5.695001220703148,0.2569995117187318,1,Buy
2397,2023-10-06,233.3000030517578,233.3999938964844,229.1000061035156,230.3999938964844,230.3999938964844,2763469,232.1999969482422,240.12750091552735,230.378000793457,6.052500152587896,-0.1840002441406341,0,Sell
2366,2023-08-22,221.6499938964844,222.0,220.4499969482422,220.9499969482422,220.9499969482422,780003,221.6499938964844,225.95250091552734,225.46800201416016,-0.6750007629394474,0.6109991455078045,1,Buy
2356,2023-08-07,224.25,227.0,224.1499938964844,226.5,226.5,1164287,224.1000061035156,226.8800018310547,225.2520016479492,1.0424995422363281,-0.1529998779296875,0,Sell
2345,2023-07-21,222.8500061035156,225.6499938964844,222.8500061035156,223.5500030517578,223.5500030517578,1037570,224.5500030517578,225.0400032043457,225.45200103759765,0.1100006103515625,0.010000915527342613,1,Buy
2297,2023-05-15,229.25,230.3999938964844,227.6999969482422,229.5500030517578,229.5500030517578,664038,229.25,232.19999771118165,230.11999908447265,-1.705001068115223,-0.3130001831054585,0,Sell
2180,2022-11-22,208.5,208.6499938964844,205.5500030517578,206.3000030517578,206.3000030517578,988569,208.3000030517578,209.5,207.28199981689454,4.217498779296875,0.11200012207029886,1,Buy
2126,2022-09-02,220.0,221.5,216.0,216.5,216.5,696288,219.6000061035156,215.9175003051758,218.3279998779297,-2.2549995422363054,-0.02299926757814319,0,Sell
2114,2022-08-16,216.6499938964844,218.3999938964844,214.8500061035156,217.8000030517578,217.8000030517578,1813890,214.0,221.275,218.66299987792968,-2.6525001525878906,0.05000000000001137,1,Buy
2100,2022-07-25,227.5,228.3000030517578,224.1999969482422,227.8500061035156,227.8500061035156,894588,227.8999938964844,221.44249954223633,219.33399963378906,7.455000305175787,-0.6709997558593841,0,Sell
2039,2022-04-28,208.75,208.75,205.6999969482422,207.8999938964844,207.8999938964844,3636664,205.5500030517578,201.6300010681152,205.48200103759766,3.0724998474120753,0.07299957275390057,1,Buy
