,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2451,2023-12-28,409.0,409.1000061035156,403.1000061035156,408.2000122070313,408.2000122070313,20905,404.0499877929688,409.7899993896484,416.0610003662109,-7.430000305175781,,0,Sell
2446,2023-12-20,409.2000122070313,411.6000061035156,398.5499877929688,401.9500122070313,401.9500122070313,43140,409.1499938964844,415.79499969482424,417.215,-7.305000305175781,0.1320001220703375,1,Buy
2424,2023-11-17,427.0,427.0,420.1000061035156,421.6000061035156,421.6000061035156,18899,423.3999938964844,418.332502746582,421.28,5.9900024414062045,-0.35299926757807043,0,Sell
2343,2023-07-20,384.0,403.0,383.0499877929688,389.7999877929688,389.7999877929688,254142,381.3500061035156,382.74000244140626,390.15600097656255,-2.119998168945301,0.11399963378909206,1,Buy
2280,2023-04-20,496.8999938964844,515.2000122070312,481.1499938964844,485.3500061035156,485.3500061035156,140066,493.0499877929688,428.77249603271486,440.2709973144531,19.77500152587885,-1.471998291015609,0,Sell
2271,2023-04-05,415.8999938964844,449.6499938964844,412.0499877929688,449.6499938964844,449.6499938964844,63859,408.7999877929688,406.622494506836,441.3219970703125,-18.39500427246088,1.4050006103515784,1,Buy
2247,2023-02-27,453.1499938964844,457.25,425.0,427.75,427.75,38003,453.1499938964844,460.5249984741211,469.2960009765625,-11.019998168945278,-1.8820007324218295,0,Sell
2104,2022-08-01,241.8999938964844,242.3000030517578,237.6499938964844,239.3500061035156,239.3500061035156,7770,239.3999938964844,245.03749923706056,243.93099884033202,-0.9499999999999886,0.3079995727539142,1,Buy
2054,2022-05-23,284.0,284.0,265.0,268.3999938964844,268.3999938964844,14754,278.1000061035156,270.0324996948242,262.2809997558594,-4.105000305175793,-0.8860003662109079,0,Sell
2020,2022-03-31,237.6499938964844,240.9499969482422,227.8999938964844,230.1499938964844,230.1499938964844,25026,237.6499938964844,243.70999984741212,247.49200073242187,9.08499984741212,0.495000305175779,1,Buy
2006,2022-03-10,240.0,243.0,237.3999938964844,240.25,240.25,17370,233.6999969482422,231.1650016784668,247.7740008544922,-11.930001068115217,-0.2820001220703148,0,Sell
1954,2021-12-24,208.6000061035156,208.6000061035156,203.3000030517578,205.5500030517578,205.5500030517578,2987,206.0,213.0374984741211,228.30299865722657,-11.267500305175787,0.4900003051757835,1,Buy
1921,2021-11-08,238.1499938964844,241.0,232.0,234.1999969482422,234.1999969482422,4572,237.8999938964844,240.84249725341797,241.02599914550783,-5.10250167846678,-0.09199981689454262,0,Sell
1919,2021-11-03,234.6499938964844,234.6499938964844,226.6000061035156,232.3000030517578,232.3000030517578,7591,231.8999938964844,243.30999679565429,241.11299926757812,-2.1200027465820312,0.27199981689454944,1,Buy
1869,2021-08-23,245.0,255.0,232.25,232.5500030517578,232.5500030517578,8932,244.4499969482422,273.0974998474121,281.52599945068357,-19.702500152587902,-1.9699999999999704,0,Sell
1776,2021-04-07,150.0,153.3000030517578,147.10000610351562,150.35000610351562,149.46803283691406,2305,146.9499969482422,150.9999984741211,150.15499938964842,-0.6199996948242017,0.5649996948242233,1,Buy
1725,2021-01-20,164.85000610351562,168.0,162.8000030517578,165.25,164.28062438964844,5080,163.10000610351562,163.62000198364257,162.26300048828125,-1.6924987792968977,-0.046999511718752274,0,Sell
1681,2020-11-17,154.0,155.4499969482422,152.60000610351562,154.0,153.09661865234375,4604,154.64999389648438,153.87999954223633,155.49099975585938,0.010000610351568184,0.5419998168945312,1,Buy
1647,2020-09-29,157.0500030517578,159.0,155.0500030517578,155.75,154.8363494873047,2195,158.25,158.76750106811522,162.86599975585938,-8.112499237060547,-0.14699981689452102,0,Sell
1551,2020-05-15,127.0,127.0,118.9499969482422,123.1500015258789,119.65302276611328,216,122.25,121.44999923706055,121.58199935913086,-3.794999694824213,1.0349999999999966,1,Buy
1490,2020-02-11,149.0500030517578,154.3000030517578,146.10000610351562,147.3000030517578,143.1172637939453,3120,151.5500030517578,163.0125,159.17399963378907,-5.974999237060558,-0.1290005493164017,0,Sell
1404,2019-10-07,109.3000030517578,109.3000030517578,107.0,107.0,103.9616241455078,434,109.4499969482422,109.12999954223633,106.4949998474121,2.375,0.16999954223634006,1,Buy
1232,2019-01-18,140.0,140.0,135.10000610351562,136.5,128.2801055908203,675,140.8000030517578,138.37750015258788,136.83700103759764,0.9799995422363281,-0.24000030517578352,0,Sell
1136,2018-08-28,118.0999984741211,123.6500015258789,118.0,120.5999984741211,113.33757019042967,1300,117.9000015258789,118.65999984741211,119.74200012207031,0.6999996185302706,0.4830000305175872,1,Buy
995,2018-02-01,178.0,189.0,178.0,178.4499969482422,164.83229064941406,1645,178.0500030517578,177.0500015258789,174.58300048828124,1.3350013732910213,-0.017999572753893744,0,Sell
979,2018-01-09,173.39999389648438,174.5,172.9499969482422,174.0,160.72186279296875,2434,171.0,174.55999984741212,173.66100006103517,0.4600006103515568,0.4880004882812443,1,Buy
966,2017-12-20,176.89999389648438,176.89999389648438,171.89999389648438,173.3000030517578,160.07528686523438,1692,175.0,172.31500015258788,173.63399993896485,3.480000305175764,-0.16599975585938864,0,Sell
946,2017-11-22,167.0,171.0,167.0,168.35000610351562,155.50302124023438,1187,167.14999389648438,175.4875,172.4199996948242,-2.2250007629394304,0.12500030517577443,1,Buy
931,2017-11-01,188.0,196.3999938964844,185.0,186.5500030517578,172.31417846679688,8534,184.6000061035156,172.41749954223633,172.99699981689454,4.219999694824224,-0.35000000000002274,0,Sell
920,2017-10-16,170.0,175.0,166.0500030517578,168.5500030517578,155.68775939941406,496,171.35000610351562,169.00249938964845,173.5409997558594,-2.8275001525878736,0.38199981689450624,1,Buy
769,2017-03-07,217.3500061035156,217.3500061035156,210.1000061035156,212.75,194.0088806152344,4955,215.6999969482422,214.80999984741212,220.82799896240235,-9.859999084472662,-0.7479989624023347,0,Sell
718,2016-12-22,189.0,191.0,185.0500030517578,188.4499969482422,171.84947204589844,3216,190.8000030517578,206.78000030517578,209.06800079345703,0.40000076293944176,0.9699990844726472,1,Buy
708,2016-12-08,215.5,215.8000030517578,209.6000061035156,211.8000030517578,193.1425628662109,1359,212.0500030517578,206.5275001525879,208.0690005493164,-6.607501220703114,-0.3050000000000068,0,Sell
679,2016-10-26,200.0,204.0,200.0,201.0,183.29396057128903,2115,202.25,203.87249984741212,206.56399993896486,0.7900009155273438,0.3140008544921784,1,Buy
628,2016-08-09,243.0500030517578,245.0,230.1000061035156,235.6000061035156,214.84600830078125,15012,245.6999969482422,287.5375,258.3760012817383,-6.2975006103515625,-0.30500091552738695,0,Sell
577,2016-05-27,195.0,198.75,186.1000061035156,191.1999969482422,173.68185424804688,2889,190.5500030517578,190.76499862670897,197.96599914550782,0.7249999999999943,1.0340011596679517,1,Buy
568,2016-05-16,186.6000061035156,196.0,186.6000061035156,192.0,174.4085693359375,336,193.3999938964844,190.56749801635743,195.95299865722657,-4.805001831054682,-0.0819989013672,0,Sell
516,2016-02-24,146.0,154.9499969482422,130.0,153.6999969482422,139.61767578125,7674,145.60000610351562,158.82749862670897,171.32099975585936,-5.469999694824224,0.22799896240235284,1,Buy
463,2015-12-09,175.0500030517578,180.0,175.0500030517578,177.5500030517578,161.28250122070312,1063,183.9499969482422,202.91500091552734,200.55800048828124,-7.424999237060547,-0.8269992065429506,0,Sell
362,2015-07-10,132.5,139.0,131.0,132.10000610351562,119.9967269897461,462,135.25,134.05499954223632,134.49999938964845,0.172499847412098,0.13100097656248977,1,Buy
361,2015-07-09,125.9000015258789,136.0,125.9000015258789,135.25,122.85811614990234,314,136.0,134.26499938964844,134.5189993286133,0.3375000000000057,-0.020999145507829553,0,Sell
360,2015-07-08,127.0,137.0,123.0,136.0,123.53938293457033,517,132.0,134.13999938964844,134.49399932861328,0.1875,0.006000671386715339,1,Buy
355,2015-07-01,110.9000015258789,139.89999389648438,110.9000015258789,135.0,122.63101959228516,555,132.3000030517578,133.88249969482422,134.2639993286133,-1.4375,-0.14999938964845683,0,Sell
354,2015-06-30,139.89999389648438,139.89999389648438,130.0500030517578,132.3000030517578,120.17839050292967,174,132.5,133.92749938964843,134.2639993286133,-1.2750000000000057,0.023000488281240905,1,Buy
341,2015-06-11,132.5,139.89999389648438,132.5,139.4499969482422,126.67328643798828,256,133.5,134.61999969482423,134.59099960327148,-0.4574996948242074,-0.3270002746581895,0,Sell
331,2015-05-28,140.0,140.0,140.0,140.0,127.17290496826172,0,140.0,135.489998626709,135.02099929809572,2.2099990844726562,0.2570002746581963,1,Buy
279,2015-03-11,222.0,222.0,188.0,192.5500030517578,174.90818786621094,2556,232.8999938964844,219.31249771118163,179.7409994506836,15.967498779296875,-0.3580000305175872,0,Sell
244,2015-01-16,145.0,145.0,145.0,145.0,131.71481323242188,0,145.0,140.675,147.30500061035156,1.607498931884777,0.5380001831054813,1,Buy
185,2014-10-20,185.1000061035156,196.8999938964844,183.25,183.25,166.4602508544922,408,192.8500061035156,199.45,182.97,14.639999389648438,-0.6839999389648312,0,Sell
27,2014-02-24,99.0,103.9000015258789,99.0,103.9000015258789,93.72156524658205,20,99.0,99.05750045776367,102.03333367241754,-5.892499923706055,0.2020325906231477,1,Buy
