,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2451,2023-12-28,10.149999618530272,10.149999618530272,10.149999618530272,10.149999618530272,10.149999618530272,535947,9.699999809265137,6.912500023841858,6.166999988555908,0.9824999570846558,,0,Sell
2431,2023-11-29,5.449999809265137,5.550000190734863,5.449999809265137,5.449999809265137,5.449999809265137,123575,5.550000190734863,5.597499990463257,5.706999969482422,-0.15499994754791224,0.0380000209808351,1,Buy
2407,2023-10-23,6.650000095367432,6.699999809265137,6.099999904632568,6.199999809265137,6.199999809265137,2002162,6.400000095367432,5.547499966621399,5.86899998664856,-0.3050000190734865,-0.031000013351440536,0,Sell
2340,2023-07-17,4.449999809265137,4.599999904632568,4.400000095367432,4.400000095367432,4.400000095367432,713801,4.449999809265137,4.5125000238418576,4.459999990463257,-0.02499997615814209,0.003999986648559606,1,Buy
2320,2023-06-16,4.800000190734863,5.099999904632568,4.75,4.800000190734863,4.800000190734863,1055618,4.75,4.414999985694886,4.478999986648559,0.04750003814697301,-0.01199998855590767,0,Sell
2291,2023-05-08,4.599999904632568,4.699999809265137,4.5,4.5,4.5,244336,4.550000190734863,4.552500033378601,4.326000008583069,0.22750005722045952,0.006999988555907777,1,Buy
2287,2023-05-02,4.599999904632568,4.650000095367432,4.5,4.550000190734863,4.550000190734863,295235,4.550000190734863,4.4174999833107,4.327999978065491,0.2049999952316286,-0.0009999847412114349,0,Sell
2286,2023-04-28,4.5,4.599999904632568,4.5,4.550000190734863,4.550000190734863,243160,4.5,4.382499969005584,4.326999974250794,0.1949999809265135,1.907348590179936e-08,1,Buy
2151,2022-10-11,5.550000190734863,5.599999904632568,5.400000095367432,5.400000095367432,5.400000095367432,388505,5.5,5.574999928474426,5.6589999294281,-0.16249999999999964,-0.03799997329711857,0,Sell
2100,2022-07-26,4.800000190734863,4.800000190734863,4.650000095367432,4.699999809265137,4.699999809265137,529628,4.75,4.775000047683716,5.004000034332275,-0.05749998092651332,0.007999973297119212,1,Buy
2060,2022-05-31,5.699999809265137,5.75,5.199999809265137,5.550000190734863,5.550000190734863,1870338,5.550000190734863,5.312500023841858,5.450000009536743,-0.12000000476837158,-0.0019999790191649325,0,Sell
2059,2022-05-30,5.400000095367432,5.550000190734863,5.25,5.550000190734863,5.550000190734863,3310631,5.050000190734863,5.312500023841858,5.453000001907348,-0.1525000095367428,0.0040000343322752485,1,Buy
1986,2022-02-09,6.900000095367432,7.0,6.650000095367432,6.650000095367432,6.650000095367432,1626212,7.0,7.847500038146973,6.931999998092651,-0.19000000953674334,-0.01799998283386195,0,Sell
1784,2021-04-20,0.75,0.800000011920929,0.699999988079071,0.75,0.75,113889,0.75,0.7850000083446502,0.8140000057220459,-0.032499998807907104,0.0009999990463256392,1,Buy
1735,2021-02-04,0.949999988079071,0.949999988079071,0.8500000238418579,0.8999999761581421,0.8999999761581421,85744,0.8999999761581421,0.9424999862909317,0.9119999885559082,-0.017499998211860657,-0.0009999954700470326,0,Sell
1682,2020-11-18,0.6499999761581421,0.699999988079071,0.6000000238418579,0.699999988079071,0.699999988079071,307073,0.6499999761581421,0.6274999976158142,0.653999993801117,2.9802322831784522e-09,0.006999998092651394,1,Buy
1606,2020-08-03,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,61542,0.8500000238418579,1.3249999970197677,1.3469999980926515,-0.3125000029802323,-0.010000000000000009,0,Sell
1531,2020-04-16,0.25,0.25,0.2000000029802322,0.25,0.25,104958,0.25,0.19500000327825545,0.20600000262260434,2.7755575615628914e-17,0.0009999999403953463,1,Buy
1484,2020-02-03,0.2000000029802322,0.25,0.2000000029802322,0.2000000029802322,0.2000000029802322,6620,0.25,0.2275000013411045,0.22700000137090684,-0.0024999998509883936,-5.551115123125783e-17,0,Sell
1432,2019-11-20,0.2000000029802322,0.2000000029802322,0.1500000059604644,0.2000000029802322,0.2000000029802322,16439,0.1500000059604644,0.20500000268220903,0.2110000023245811,-0.004999999701976732,0.0009999999403954019,1,Buy
1418,2019-10-30,0.2000000029802322,0.25,0.2000000029802322,0.2000000029802322,0.2000000029802322,24412,0.25,0.21000000238418579,0.21200000226497648,2.7755575615628914e-17,-0.000999999940395374,0,Sell
1416,2019-10-25,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,229100,0.2000000029802322,0.21250000223517412,0.21200000226497648,0.002499999850988366,0.0009999999403953463,1,Buy
1200,2018-12-04,0.6000000238418579,0.6000000238418579,0.5,0.6000000238418579,0.6000000238418579,48300,0.550000011920929,0.6075000017881393,0.6429999995231629,-0.022499993443489075,-0.007999997138977144,0,Sell
1121,2018-08-03,0.1000000014901161,0.1000000014901161,0.1000000014901161,0.1000000014901161,0.1000000014901161,0,0.1000000014901161,0.12500000372529024,0.11600000329315657,0.0,0.0020000001788139377,1,Buy
972,2017-12-29,0.25,0.25,0.25,0.25,0.25,0,0.25,0.2550000011920929,0.26800000488758086,-0.017500004172325112,-5.9604643443123e-10,0,Sell
951,2017-11-29,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,0,0.3000000119209289,0.2925000101327896,0.25400000631809233,0.017500004172325112,0.0019999992847442583,1,Buy
