,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
342,2023-12-28,212.3999938964844,218.1999969482422,212.3999938964844,214.0500030517578,214.0500030517578,15761,213.3999938964844,214.12249908447265,218.0420001220703,0.9049980163574105,,0,Sell
340,2023-12-26,216.3999938964844,219.3999938964844,214.1999969482422,216.4499969482422,216.4499969482422,14114,216.3999938964844,213.88249969482422,218.64700012207032,0.7599990844726676,0.426000061035154,1,Buy
275,2023-09-18,246.4499969482422,252.1499938964844,244.0,244.3500061035156,244.3500061035156,7893,249.3999938964844,251.5,247.81899993896485,0.4574996948242074,-0.19499999999999318,0,Sell
196,2023-05-25,194.0,194.0,184.8500061035156,185.9499969482422,185.9499969482422,19651,191.1000061035156,204.27249908447266,201.72800018310548,-6.037500762939459,0.1109997558593534,1,Buy
188,2023-05-15,214.0,214.0,202.0,204.9499969482422,204.9499969482422,16290,208.8000030517578,211.2324996948242,201.0920004272461,-1.2249999999999943,-0.28000061035155,0,Sell
178,2023-04-28,213.3999938964844,214.9499969482422,207.0,208.1999969482422,208.1999969482422,15345,210.8999938964844,207.47500076293946,201.8230010986328,8.742499542236345,0.34899932861330285,1,Buy
51,2022-10-21,290.45001220703125,297.8999938964844,282.04998779296875,285.3999938964844,285.3999938964844,6677,289.95001220703125,296.26750030517576,299.33800048828124,-11.007499694824219,-0.7599999999999909,0,Sell
39,2022-10-04,305.0,307.95001220703125,301.20001220703125,303.29998779296875,303.29998779296875,15034,297.3999938964844,310.01000061035154,299.734616010617,-7.877499389648449,0.258384477664265,1,Buy
29,2022-09-20,324.95001220703125,324.95001220703125,278.0,311.1000061035156,311.1000061035156,35870,319.5,312.7074996948242,299.9775864173626,18.38999786376951,-0.12409776138514417,0,Sell
1,2022-08-08,277.0,277.0,271.5,272.5,272.5,35052,273.75,273.75,273.75,,5.813334147135436,1,Buy
