,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
1101,2023-12-28,142.1999969482422,143.39999389648438,138.10000610351562,139.1999969482422,139.1999969482422,750574,141.9499969482422,134.51249885559082,127.15599929809571,9.667499542236328,,0,Sell
1082,2023-11-30,118.25,118.9000015258789,116.5,117.5500030517578,117.5500030517578,509309,116.9499969482422,118.44249954223633,125.43000045776367,-3.387500381469721,0.5589991760253952,1,Buy
1055,2023-10-19,131.5,133.5,131.0,132.4499969482422,132.4499969482422,287626,132.4499969482422,130.78500099182128,130.35900100708008,-0.42500076293947586,-0.5559999084472622,0,Sell
996,2023-07-25,111.9000015258789,112.75,109.9000015258789,110.0999984741211,110.0999984741211,446874,110.1999969482422,113.27249946594239,112.56299942016602,-1.0575000762939624,0.20000030517577727,1,Buy
970,2023-06-16,116.0,118.6500015258789,112.5999984741211,115.9000015258789,115.9000015258789,497138,115.0,110.96749954223633,114.04299926757812,-1.0174991607666328,-0.20499984741211108,0,Sell
956,2023-05-29,113.9000015258789,113.9000015258789,110.8000030517578,112.75,112.75,117735,112.1999969482422,113.97499923706054,113.86799926757813,-3.3874996185302706,0.17499999999999716,1,Buy
842,2022-12-09,139.1999969482422,140.89999389648438,135.0500030517578,135.75,135.75,228949,138.1999969482422,144.4375,141.87800064086915,-2.5875007629394418,-0.25500015258788267,0,Sell
761,2022-08-11,116.0,117.5,113.4000015258789,114.1500015258789,114.1500015258789,365473,115.0500030517578,121.27499961853027,119.23300018310547,-1.2825000762939425,0.09299972534179801,1,Buy
757,2022-08-04,125.0,125.0,112.5999984741211,115.1500015258789,115.1500015258789,1459302,130.64999389648438,123.35749969482421,119.32200027465821,-0.5625,-0.14200027465820142,0,Sell
752,2022-07-28,119.25,120.0,117.5999984741211,119.4000015258789,119.4000015258789,187374,118.3000030517578,123.04749984741211,119.06900009155274,1.2150001525878906,0.24500015258789176,1,Buy
747,2022-07-21,122.75,123.75,121.5,123.4000015258789,123.4000015258789,134033,122.75,123.17249946594238,119.29199981689453,3.787498855590812,-0.058999633789056816,0,Sell
743,2022-07-15,125.9499969482422,126.6500015258789,120.5,121.6999969482422,121.6999969482422,272810,125.9499969482422,120.85750007629395,119.16099975585938,3.157499313354492,0.16100051879882926,1,Buy
714,2022-06-06,113.4000015258789,117.5999984741211,108.1999969482422,109.3499984741211,109.3499984741211,372770,112.5999984741211,119.24749908447265,123.09399978637695,-5.547499084472662,-0.031999816894526134,0,Sell
607,2021-12-29,88.0,89.0,87.75,88.19999694824219,88.19999694824219,38540,87.3499984741211,87.90500030517578,89.79799987792968,0.22249984741210938,0.06599990844726733,1,Buy
528,2021-09-03,98.4000015258789,100.75,96.5500030517578,97.0999984741211,96.99885559082033,272437,99.0999984741211,97.25500030517578,100.15400009155273,-2.7700000762939396,-0.37999999999999545,0,Sell
454,2021-05-20,83.9000015258789,86.80000305175781,83.05000305175781,83.5999984741211,83.5129165649414,89400,82.94999694824219,83.53749961853028,83.34899948120118,1.1749996185302791,0.03200027465820199,1,Buy
448,2021-05-11,86.5,88.0,85.69999694824219,86.05000305175781,85.96036529541016,135196,86.69999694824219,82.45749969482422,83.39099960327148,0.6400001525878878,-0.12100006103514716,0,Sell
435,2021-04-22,77.0,77.0,76.05000305175781,76.5999984741211,76.52021026611328,10598,75.9000015258789,82.14249954223632,83.3729997253418,-1.377499771118167,0.04299987792968807,1,Buy
304,2020-10-09,104.5999984741211,112.6500015258789,102.5999984741211,107.9000015258789,107.78760528564452,253753,103.5,114.26749992370605,114.87099975585937,-4.770000457763672,-0.4909997558593773,0,Sell
208,2020-05-27,74.5,75.8499984741211,68.0,74.19999694824219,74.1227035522461,31844,71.44999694824219,69.60999984741211,72.04899963378907,-2.065000152587885,0.3749998474121128,1,Buy
156,2020-03-05,98.4000015258789,101.8000030517578,94.9499969482422,96.0999984741211,95.99989318847656,40915,96.3499984741211,97.59499969482422,91.32699935913087,0.10249977111817543,-0.2659999084472702,0,Sell
22,2019-08-20,64.6500015258789,65.0999984741211,64.0,64.63999938964844,64.3379898071289,9410,64.6449966430664,64.98250026702881,65.6075004230846,-1.4891672134399414,0.029999915999596283,1,Buy
