,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,65.0,66.55000305175781,63.0,64.0999984741211,64.0999984741211,49351,65.0,60.027499771118165,56.82800003051758,3.5974996566772504,,0,Sell
2432,2023-11-29,58.5,58.79999923706055,55.5,57.0,57.0,15977,56.20000076293945,53.13750019073486,55.746000137329105,-0.7699998855590806,0.0809999847412044,1,Buy
2404,2023-10-17,60.400001525878906,62.45000076293945,60.04999923706055,60.400001525878906,60.400001525878906,6103,61.25,57.38500003814697,57.083999938964844,-0.5924995422363324,-0.07500007629394645,0,Sell
2344,2023-07-20,44.75,45.79999923706055,43.79999923706055,45.79999923706055,45.79999923706055,17393,43.650001525878906,43.84249973297119,45.20900001525879,0.5299999237060575,0.20799995422363082,1,Buy
2232,2023-02-03,66.19999694824219,66.19999694824219,62.04999923706055,63.34999847412109,63.34999847412109,23746,63.29999923706055,70.50249996185303,65.51500015258789,0.18499965667724894,-0.06400009155272812,0,Sell
2160,2022-10-21,59.0,60.59999847412109,59.0,60.09999847412109,60.09999847412109,9895,59.25,60.542499732971194,57.65099967956543,2.4499998092651367,0.02000015258789034,1,Buy
2100,2022-07-25,75.44999694824219,77.5999984741211,72.0,73.5,73.5,32817,75.25,76.02250022888184,75.51800018310547,0.9099994659423913,-0.10000000000000853,0,Sell
2092,2022-07-13,79.75,79.75,75.0,75.94999694824219,75.94999694824219,19503,77.8499984741211,75.3075008392334,75.51800033569336,-1.3924995422363224,0.09300003051757244,1,Buy
2045,2022-05-09,74.0,77.9000015258789,71.1500015258789,76.8499984741211,76.8499984741211,89104,74.19999694824219,99.31500015258788,95.33600013732911,-8.517499923706055,-0.5070000457763797,0,Sell
1774,2021-04-01,8.550000190734863,8.550000190734863,8.149999618530273,8.149999618530273,8.149999618530273,1906,8.550000190734863,8.284999990463257,8.398000030517577,0.4500000000000002,0.049000005722046325,1,Buy
1732,2021-01-29,8.600000381469727,8.699999809265137,8.600000381469727,8.699999809265137,8.699999809265137,880,9.050000190734863,10.545000076293945,9.441000032424927,0.3599999904632565,-0.029999971389770508,0,Sell
1679,2020-11-12,6.5,6.800000190734863,6.300000190734863,6.300000190734863,6.300000190734863,2528,6.800000190734863,6.75499997138977,6.896999998092651,-0.08499999046325701,0.042999992370605256,1,Buy
1622,2020-08-24,7.050000190734863,7.349999904632568,6.75,7.349999904632568,7.349999904632568,9051,7.050000190734863,7.172499966621399,7.532999954223633,-0.22000000476837123,-0.022999982833861843,0,Sell
1562,2020-06-01,4.5,4.849999904632568,4.5,4.849999904632568,4.849999904632568,10000,4.699999809265137,6.045000052452087,5.974000024795532,-0.41250000000000053,0.027999992370605575,1,Buy
1484,2020-01-31,9.5,9.550000190734863,8.75,9.0,9.0,1451,9.100000381469728,8.684999942779541,8.467999963760375,0.47000005245208776,-0.0009999942779526094,0,Sell
1468,2020-01-09,7.75,8.300000190734863,7.75,7.949999809265137,7.949999809265137,2584,7.949999809265137,8.08999993801117,8.44600001335144,-0.16000003814697195,0.0009999275207519531,1,Buy
1427,2019-11-11,9.199999809265137,9.199999809265137,8.550000190734863,8.850000381469727,8.850000381469727,1824,8.800000190734863,8.439999914169311,9.148999967575072,-0.06999998092651438,-0.04699997901916397,0,Sell
1414,2019-10-23,7.949999809265137,8.399999618530273,7.75,7.849999904632568,7.849999904632568,8427,8.149999618530273,9.382499933242798,9.142999935150147,-1.032500076293946,0.030000038146971164,1,Buy
1303,2019-05-09,15.399999618530272,16.25,15.399999618530272,15.399999618530272,15.399999618530272,1048,16.100000381469727,16.345000076293946,15.507999954223633,-0.014999914169312234,-0.01500001907348647,0,Sell
1294,2019-04-24,15.600000381469728,16.850000381469727,15.25,16.200000762939453,16.200000762939453,1161,15.600000381469728,16.249999952316283,15.616999988555909,0.4275000572204579,0.051999931335448224,1,Buy
1230,2019-01-16,20.549999237060547,22.899999618530277,20.25,22.25,22.25,24870,20.899999618530277,19.8125,19.80399997711182,0.5249999999999986,-0.07300003051757642,0,Sell
