,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2283,2023-12-28,458.25,466.0,442.6499938964844,446.0499877929688,446.0499877929688,725055,454.7999877929688,426.7699996948242,421.43599975585937,6.057501220703102,,0,Sell
2267,2023-12-05,425.9500122070313,439.2999877929688,425.9500122070313,432.5,432.5,323849,422.7000122070313,413.5850006103516,420.8710003662109,2.2675003051758154,0.5250000000000341,1,Buy
2171,2023-07-14,542.0,548.9500122070312,539.0999755859375,543.9500122070312,543.9500122070312,119392,539.7000122070312,546.5974975585938,520.4730010986328,-4.770007324218682,-0.6300006103515443,0,Sell
2116,2023-04-26,452.0,454.0499877929688,439.7999877929688,446.2000122070313,446.2000122070313,188994,449.5499877929688,464.56250152587893,467.3220007324219,1.7649993896484375,0.3310009765625068,1,Buy
2076,2023-02-22,480.0,480.0,473.0499877929688,478.2999877929688,478.2999877929688,47264,481.6000061035156,479.25249938964845,480.5800006103516,-1.6450012207031364,-0.9070007324219205,0,Sell
2073,2023-02-17,486.0,491.0,474.3999938964844,477.5499877929688,477.5499877929688,106498,482.1000061035156,479.9950012207031,481.34400146484376,-2.030000305175804,0.24399841308593295,1,Buy
2067,2023-02-09,480.0,485.7000122070313,472.0,474.8999938964844,474.8999938964844,79509,484.0,481.4700012207031,479.207001953125,-4.662498474121207,-0.5810015869140557,0,Sell
2015,2022-11-28,410.6499938964844,410.6499938964844,399.7999877929688,404.0,404.0,106506,409.9500122070313,391.45250244140624,426.08800231933594,-14.28499755859383,0.7490002441406887,1,Buy
1921,2022-07-11,640.0999755859375,686.5,640.0999755859375,676.7000122070312,676.7000122070312,349945,649.7999877929688,626.6,661.6959997558594,-31.047506713867165,-2.024000244140666,0,Sell
1914,2022-06-30,635.7999877929688,644.0,623.2999877929688,632.0499877929688,632.0499877929688,188304,630.25,657.6475067138672,667.0390026855468,-40.032492065429665,0.5419958496094068,1,Buy
1899,2022-06-09,735.9000244140625,764.0,724.0999755859375,738.25,738.25,595837,736.1500244140625,703.9524963378906,667.8769995117187,31.439999389648392,-0.35399658203118634,0,Sell
1776,2021-12-10,332.0,339.5,332.0,333.8500061035156,332.1617431640625,129118,330.45001220703125,318.0899963378906,319.1009991455078,-1.3275009155273665,0.2910003662109375,1,Buy
1756,2021-11-11,332.0,334.75,328.3500061035156,330.54998779296875,328.87841796875,84271,330.3500061035156,314.945002746582,321.7190008544922,-3.7299987792968636,-0.7560021972656727,0,Sell
1741,2021-10-20,314.3999938964844,318.8500061035156,306.0,309.04998779296875,307.4871520996094,122447,314.1499938964844,326.82249908447267,321.19000122070315,-3.7874984741210938,0.18899963378902385,1,Buy
1680,2021-07-22,349.8999938964844,352.5,343.75,344.5,342.7579040527344,120636,344.3500061035156,354.09749603271484,352.47899841308595,-1.6850021362304801,-1.0469982910156546,0,Sell
1627,2021-05-06,314.8500061035156,315.8500061035156,306.45001220703125,308.54998779296875,304.40850830078125,49468,312.1499938964844,299.2425003051758,308.9070001220703,5.642498779296886,0.43599975585937045,1,Buy
1613,2021-04-15,285.0,289.79998779296875,277.5,279.95001220703125,276.1923828125,138830,284.8999938964844,297.62250061035155,309.30699951171874,-7.892500305175815,-0.3999993896484284,0,Sell
1510,2020-11-12,261.5,268.0,260.0,264.1499938964844,260.6044616699219,11678,266.6499938964844,263.12499923706054,263.2060000610352,5.987500000000011,0.33799987792963293,1,Buy
1464,2020-09-08,266.25,273.0,265.75,266.29998779296875,260.7557678222656,13470,269.25,293.3999984741211,287.2949981689453,-9.782496643066395,-0.5410003662109375,0,Sell
1387,2020-05-21,142.89999389648438,142.9499969482422,135.8000030517578,138.9499969482422,136.05712890625,2719,138.75,141.89499893188477,142.3320002746582,-2.6150009155273324,0.11899932861328466,1,Buy
1322,2020-02-11,226.0500030517578,232.0,218.8000030517578,222.6499938964844,215.96600341796875,19601,226.0,253.94999771118165,239.0629977416992,-12.169998931884777,-0.10100006103513692,0,Sell
1299,2020-01-09,267.0,269.1000061035156,261.0,264.54998779296875,254.31497192382807,12716,261.79998779296875,229.14999771118164,237.84,15.049999237060547,0.055998229980474434,1,Buy
1134,2019-05-09,377.0499877929688,386.25,375.2999877929688,384.1000061035156,366.7249755859375,4451,383.7999877929688,389.73749847412114,375.7459997558594,5.6099990844726335,-0.07799987792969887,0,Sell
1064,2019-01-21,310.79998779296875,314.0,307.75,310.70001220703125,294.8052978515625,5748,309.3500061035156,305.15,300.2910009765625,6.877499389648392,0.41199829101566365,1,Buy
982,2018-09-19,365.3999938964844,368.4500122070313,356.6000061035156,364.75,346.0902404785156,8899,361.8999938964844,391.4650024414063,372.87700134277344,-5.392498779296886,-0.9180004882812796,0,Sell
958,2018-08-13,410.4500122070313,410.4500122070313,388.3500061035156,395.0499877929688,372.94677734375,13476,405.5,359.4600006103516,366.6130004882813,12.512500000000045,0.43500061035155113,1,Buy
911,2018-06-07,397.6499938964844,420.0,397.6499938964844,401.8999938964844,379.4134826660156,781547,398.1499938964844,421.5924987792969,407.3189996337891,5.992500305175781,-0.5420001220703057,0,Sell
876,2018-04-18,405.0,416.0,405.0,407.5499877929688,384.7473449707031,19792,403.2000122070313,389.1025024414063,391.8659991455078,5.750003051757858,0.7570001220702807,1,Buy
814,2018-01-15,463.2999877929688,469.0,455.0,455.8500061035156,430.344970703125,9196,453.2999877929688,460.0324966430665,458.1430004882813,1.4224990844727472,-0.4890020751952875,0,Sell
764,2017-11-03,436.6499938964844,443.5,435.0499877929688,441.1000061035156,414.5322265625,20337,437.6499938964844,447.0625,445.9870001220703,-0.13000183105469887,0.1540014648437591,1,Buy
