,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
507,2023-12-28,711.0,750.0,703.0999755859375,735.5,735.5,110722,691.9000244140625,650.1225036621094,670.0019995117187,-10.667501831054665,,0,Sell
505,2023-12-26,618.2000122070312,642.2999877929688,618.2000122070312,637.0499877929688,637.0499877929688,24034,617.5499877929688,650.8050048828125,671.2059997558594,-14.527499389648483,1.2009997558593568,1,Buy
420,2023-08-21,750.0,774.0499877929688,738.0999755859375,751.9000244140625,751.9000244140625,22462,749.4000244140625,801.4625061035156,778.9040026855469,11.507504272460892,-0.8880017089843477,0,Sell
386,2023-07-03,796.5499877929688,805.0,784.9500122070312,785.9000244140625,785.9000244140625,10027,787.3499755859375,759.4025054931641,743.8030017089844,17.407504272460983,1.5779980468749955,1,Buy
377,2023-06-16,755.5499877929688,817.7999877929688,755.1500244140625,778.1500244140625,778.1500244140625,60439,755.5,732.7325012207032,743.7160021972657,15.077502441406295,-0.7829992675781341,0,Sell
321,2023-03-23,645.1500244140625,652.0,619.9500122070312,625.5999755859375,625.5999755859375,15382,650.7000122070312,654.7850006103515,684.2399987792969,-14.729992675781318,0.08799926757808407,1,Buy
209,2022-10-12,830.2000122070312,853.4000244140625,821.0,824.25,824.25,5745,840.9000244140625,867.1300018310546,887.692001953125,-41.345001220703125,-0.7760021972655977,0,Sell
151,2022-07-18,716.4500122070312,746.0,716.3499755859375,735.6500244140625,735.6500244140625,1698,716.0,721.717495727539,750.1419970703125,-4.089999389648483,1.1810021972655704,1,Buy
90,2022-04-21,976.3499755859376,1000.0,976.0,978.0,978.0,2620,986.75,949.0824981689453,915.0720007324219,22.519998168945335,-0.8330017089843977,0,Sell
87,2022-04-18,957.9000244140624,983.0,933.9500122070312,970.5,970.5,4392,949.25,940.6424987792968,913.8290014648437,40.16249999999991,0.12699829101563864,1,Buy
27,2022-01-17,1135.0,1153.949951171875,1097.0999755859375,1118.050048828125,1118.050048828125,7134,1126.6500244140625,1055.5175079345704,1018.4037136501736,72.38999328613295,-3.587852250592846,0,Sell
2,2021-12-13,944.9500122070312,970.5499877929688,910.0,921.75,921.75,12465,915.6500244140624,935.2750244140624,935.2750244140624,,19.51560974121105,1,Buy
