,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2046,2023-12-28,232.1999969482422,234.25,228.6499938964844,230.6499938964844,230.6499938964844,119647,230.3000030517578,206.93999862670898,200.16699920654298,10.97249984741211,,0,Sell
2030,2023-12-05,193.6999969482422,193.75,189.5,191.75,191.75,39958,192.3999938964844,191.00499954223633,198.67499938964843,-0.6200004577636662,0.6220001220703182,1,Buy
1998,2023-10-17,215.0500030517578,222.8000030517578,214.0,218.9499969482422,218.9499969482422,136475,216.1999969482422,207.50749893188475,205.92899963378906,-0.530000305175804,-0.15899963378905113,0,Sell
1882,2023-05-02,165.10000610351562,169.75,165.10000610351562,166.5,166.5,14222,165.0500030517578,160.3324996948242,164.2559994506836,3.5875007629394418,0.29999969482423694,1,Buy
1757,2022-10-27,235.8999938964844,239.3000030517578,233.5,236.1999969482422,236.1999969482422,19561,235.3000030517578,234.9724998474121,237.82399932861327,-1.8475006103515739,-0.09800048828122954,0,Sell
1742,2022-10-04,232.3999938964844,233.4499969482422,228.5,229.8000030517578,229.8000030517578,25927,229.0500030517578,243.24249877929688,237.21199981689452,-3.5949996948242244,0.31299957275390966,1,Buy
1725,2022-09-09,258.29998779296875,263.1000061035156,252.3500061035156,258.29998779296875,258.29998779296875,92185,256.54998779296875,233.87999954223633,239.10199951171876,7.124998474121099,-0.5349999999999966,0,Sell
1710,2022-08-18,220.8500061035156,226.5500030517578,220.1000061035156,222.3500061035156,222.3500061035156,63159,222.4499969482422,234.67000045776368,238.61699951171875,-9.487499999999983,0.025000305175780113,1,Buy
1649,2022-05-23,280.0,280.0,260.25,262.04998779296875,262.04998779296875,75162,272.70001220703125,272.6699989318848,273.37799865722656,-8.44750061035154,-1.40399993896483,0,Sell
1551,2021-12-28,204.3500061035156,210.5,204.1000061035156,208.0500030517578,208.0500030517578,21664,203.6999969482422,209.325,215.74200012207032,-2.7525009155273494,1.1040002441406216,1,Buy
1520,2021-11-12,234.0,234.0,222.4499969482422,225.3000030517578,225.3000030517578,49699,228.3000030517578,222.45750045776367,225.14699981689452,-10.689999389648449,-0.5560000610351494,0,Sell
1461,2021-08-17,182.5,185.9499969482422,177.0500030517578,178.64999389648438,177.8423614501953,73859,182.3500061035156,175.26000061035157,180.1790005493164,-2.089999389648426,0.2909997558593602,1,Buy
1440,2021-07-16,182.0,184.6000061035156,180.0,180.8999938964844,180.08218383789062,80482,181.8999938964844,182.28000106811524,182.86700012207032,-0.8899993896484375,-0.4080001831054858,0,Sell
1284,2020-11-27,101.8000030517578,102.9000015258789,101.3499984741211,101.9499969482422,101.48910522460938,123192,100.0,101.32500076293944,107.87300018310548,-3.000000000000014,0.179000091552723,1,Buy
1242,2020-09-29,116.0,116.9499969482422,114.1999969482422,115.75,115.22672271728516,20553,113.75,114.11000022888183,115.36600051879883,-2.130000305175784,-0.5550004577636685,0,Sell
1150,2020-05-21,76.25,77.80000305175781,73.0,73.80000305175781,73.46636962890625,17534,75.4000015258789,80.62999992370605,79.11800003051758,-0.757500457763669,0.177000274658198,1,Buy
1096,2020-02-27,129.5,130.0500030517578,123.0,124.1500015258789,123.5887451171875,22325,127.1500015258789,114.05250129699706,108.98000045776365,4.252500915527335,-0.26100021362304915,0,Sell
1045,2019-12-16,90.0,91.5,88.0999984741211,89.30000305175781,88.5467300415039,11356,90.05000305175781,92.6900005340576,94.34000030517578,-3.55749969482423,0.3900001525878878,1,Buy
1023,2019-11-14,100.0,103.5,95.0999984741211,98.0,97.17333984375,15341,101.75,94.82750015258789,97.22900024414062,0.8300003051757727,-0.03300003051757017,0,Sell
984,2019-09-16,105.5,111.0,102.3000030517578,109.9499969482422,109.02252960205078,47742,105.8000030517578,91.5625,94.05599990844726,2.3100006103515653,0.14800003051757926,1,Buy
901,2019-05-15,145.0,148.6999969482422,141.0,143.14999389648438,139.85507202148438,10021,145.64999389648438,159.94750061035157,154.79200073242188,-7.224999999999994,-0.5940005493164051,0,Sell
865,2019-03-18,154.0,155.85000610351562,147.10000610351562,150.14999389648438,146.6939697265625,25558,153.1999969482422,136.2300018310547,142.01400024414062,6.450001525878918,0.5590002441406341,1,Buy
741,2018-09-12,202.0,204.3500061035156,198.1000061035156,199.6499938964844,195.0546112060547,67286,200.6999969482422,203.36749954223632,197.27899993896483,-2.372499847412115,-0.3599999999999852,0,Sell
714,2018-08-02,209.8000030517578,211.6999969482422,203.8000030517578,209.9499969482422,205.11752319335935,39421,208.75,189.87250061035155,193.3250003051758,4.075000762939453,0.11100006103515625,1,Buy
585,2018-01-25,288.6000061035156,289.54998779296875,280.5,281.3999938964844,274.9229431152344,62461,288.6000061035156,300.9049987792969,279.415,10.812501525878929,-1.0880001831054642,0,Sell
