,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,24.600000381469727,24.600000381469727,23.100000381469727,23.850000381469727,23.850000381469727,43652,24.049999237060547,22.667499828338624,22.39099994659424,0.7574997901916483,,0,Sell
2437,2023-12-06,21.899999618530277,21.899999618530277,21.5,21.799999237060547,21.799999237060547,58506,21.649999618530277,21.944999980926518,22.322000045776367,-0.12750005722045543,0.03999992370605554,1,Buy
2405,2023-10-18,22.700000762939453,23.0,22.5,22.700000762939453,22.700000762939453,30728,22.899999618530277,22.842500114440917,22.96900005340576,-0.26250009536743235,-0.030999908447263635,0,Sell
2401,2023-10-12,22.950000762939453,23.149999618530277,22.399999618530277,22.600000381469727,22.600000381469727,41299,22.600000381469727,22.932500171661378,22.98200008392334,-0.4425000190734849,3.8146975356312396e-08,1,Buy
2298,2023-05-16,31.450000762939453,32.20000076293945,31.450000762939453,31.549999237060547,31.549999237060547,127331,31.350000381469727,29.484999942779545,28.623999977111822,0.38249998092651794,-0.05900005340576442,0,Sell
2285,2023-04-26,29.649999618530277,29.799999237060547,29.25,29.350000381469727,29.350000381469727,38008,29.299999237060547,28.089999961853028,28.66799995422363,0.535000038146972,0.03000000000000469,1,Buy
2236,2023-02-09,29.700000762939453,31.549999237060547,29.649999618530277,30.399999618530277,30.399999618530277,71973,31.0,31.754999923706055,31.81900001525879,-1.3850000381469734,-0.05900009155273622,0,Sell
2152,2022-10-11,22.649999618530277,22.649999618530277,22.100000381469727,22.299999237060547,22.299999237060547,58807,22.200000762939453,22.522500228881835,22.970000114440918,-0.6074997901916497,0.09599987030029311,1,Buy
2105,2022-08-01,23.649999618530277,23.899999618530277,22.799999237060547,23.399999618530277,23.399999618530277,118644,23.200000762939453,24.110000133514404,26.835000190734863,-2.0224999427795396,-0.2629999923706059,0,Sell
2022,2022-04-01,12.350000381469728,12.600000381469728,12.350000381469728,12.600000381469728,12.600000381469728,28131,12.0,12.392499971389771,13.435000038146972,-0.15999999046325541,0.08700004577636733,1,Buy
1982,2022-02-02,14.550000190734863,15.25,14.100000381469728,15.100000381469728,15.100000381469728,20835,14.550000190734863,15.799999904632568,15.005999946594239,-0.0674999237060554,-0.005999965667724538,0,Sell
1956,2021-12-27,15.399999618530272,15.399999618530272,14.399999618530272,14.949999809265137,14.949999809265137,35201,14.850000381469728,14.28499994277954,14.956000022888183,0.04749994277953995,0.013999958038329652,1,Buy
1922,2021-11-08,15.949999809265137,15.949999809265137,15.5,15.600000381469728,15.600000381469728,9463,15.949999809265137,15.744999980926513,15.28700002670288,0.45749998092651367,-0.02099994659423743,0,Sell
