,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,27.100000381469727,27.450000762939453,26.600000381469727,26.700000762939453,26.700000762939453,33785556,26.649999618530277,26.094999980926513,25.392000122070314,0.7599997520446742,,0,Sell
2438,2023-12-07,25.200000762939453,25.299999237060547,24.799999237060547,24.899999618530277,24.899999618530277,21102866,25.100000381469727,24.890000343322754,25.382000160217284,0.19000015258789205,0.00999996185302976,1,Buy
2434,2023-12-01,24.850000381469727,25.350000381469727,24.600000381469727,24.950000762939453,24.950000762939453,28745955,24.75,24.745000171661378,25.39100009918213,0.052500057220459695,-0.024999961853026775,0,Sell
2303,2023-05-23,16.75,17.200000762939453,16.75,16.899999618530273,16.899999618530273,25917331,16.75,16.462499952316286,16.480000019073486,0.5449998855590827,0.0279998779296875,1,Buy
2233,2023-02-06,17.799999237060547,18.100000381469727,17.5,17.850000381469727,17.850000381469727,12487446,17.700000762939453,18.119999980926515,18.18099998474121,-0.5399999618530273,-0.10499992370605327,0,Sell
2103,2022-07-28,7.949999809265137,8.0,7.849999904632568,7.849999904632568,7.849999904632568,4610187,7.900000095367432,7.832499980926514,7.796999969482422,0.12999999523162842,0.003000020980834961,1,Buy
2099,2022-07-22,8.0,8.199999809265137,7.949999809265137,7.949999809265137,7.949999809265137,4783932,7.949999809265137,7.769999980926514,7.805999984741211,0.1075000047683714,-0.003999996185302557,0,Sell
2096,2022-07-19,7.849999904632568,7.949999809265137,7.800000190734863,7.849999904632568,7.849999904632568,2641465,7.800000190734863,7.702499985694885,7.797999992370605,0.060000014305114924,0.007999992370606002,1,Buy
2061,2022-05-31,8.0,8.050000190734863,7.949999809265137,8.0,8.0,3090081,8.0,7.925000071525574,8.032000026702882,-0.055000019073486506,-0.010000028610230416,0,Sell
2056,2022-05-24,8.0,8.100000381469727,7.900000095367432,8.0,8.0,3492268,8.050000190734863,7.95500009059906,8.035000028610229,-0.10499992370605415,0.0009999847412114349,1,Buy
2055,2022-05-23,8.100000381469727,8.149999618530273,8.0,8.050000190734863,8.050000190734863,3296800,8.050000190734863,7.965000081062317,8.032000026702882,-0.1399999380111696,-1.9073487678156198e-08,0,Sell
2051,2022-05-17,8.100000381469727,8.199999809265137,8.050000190734863,8.100000381469727,8.100000381469727,4407653,8.0,8.012500047683716,8.030000019073487,-0.22749993801116908,0.0020000076293946734,1,Buy
1849,2021-07-22,12.199999809265137,12.350000381469728,12.100000381469728,12.199999809265137,12.199999809265137,11911826,12.0,12.729999923706053,11.607000007629395,0.33999996185302805,-0.00900003433227603,0,Sell
1787,2021-04-23,7.849999904632568,7.900000095367432,7.75,7.800000190734863,7.800000190734863,6734709,7.900000095367432,8.31249988079071,8.749999952316283,-0.4525000333786018,0.056000061035156534,1,Buy
1757,2021-03-05,9.899999618530272,9.899999618530272,9.5,9.550000190734863,9.550000190734863,18562459,9.850000381469728,8.899999952316284,8.93900001525879,0.5000000476837148,-0.009000015258790128,0,Sell
1744,2021-02-16,8.100000381469727,8.350000381469727,8.100000381469727,8.149999618530273,8.149999618530273,8692685,8.050000190734863,8.492500019073486,8.935000038146974,-0.3825000286102309,0.015999984741210227,1,Buy
1736,2021-02-04,8.449999809265137,8.899999618530273,8.399999618530273,8.600000381469727,8.600000381469727,29390903,8.449999809265137,8.910000038146972,8.853000049591065,-0.3075000762939464,-0.03300004959106495,0,Sell
1679,2020-11-12,6.75,6.800000190734863,6.599999904632568,6.650000095367432,6.650000095367432,4001938,6.75,6.604999971389771,6.809999980926514,-0.08999996185302717,0.010000019073486577,1,Buy
1617,2020-08-17,7.050000190734863,7.099999904632568,6.949999809265137,7.0,7.0,11586406,7.050000190734863,7.092499995231629,7.441000032424927,-0.2150000095367428,-0.009999999999999787,0,Sell
1559,2020-05-27,4.949999809265137,4.949999809265137,4.849999904632568,4.900000095367432,4.900000095367432,10719170,4.900000095367432,5.410000014305115,5.738000011444091,-0.3150000333786016,0.07500000000000018,1,Buy
1457,2019-12-24,10.350000381469728,10.399999618530272,10.300000190734863,10.300000190734863,10.300000190734863,2009797,10.300000190734863,10.704999923706055,10.703999977111817,-0.22750005722045863,-0.009999961853027983,0,Sell
