,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,436.5,444.5,432.3500061035156,437.9500122070313,437.9500122070313,1250470,431.6499938964844,473.95,462.43699768066415,-12.407498168945324,,0,Sell
2451,2023-12-27,426.0,438.0,424.5499877929688,431.6499938964844,431.6499938964844,895684,421.25,477.275,463.1799975585938,-8.302497863769531,1.0540014648437364,1,Buy
2441,2023-12-12,504.2000122070313,508.6499938964844,495.0499877929688,499.4500122070313,499.4500122070313,261446,499.7000122070313,480.7824966430664,460.9029974365235,16.962501525878906,-0.3679998779296625,0,Sell
2326,2023-06-23,276.70001220703125,280.95001220703125,271.3999938964844,274.20001220703125,274.20001220703125,304450,275.3999938964844,283.2875,294.15800048828123,-5.125004577636673,0.018999633789064774,1,Buy
2121,2022-08-25,465.8999938964844,467.2999877929688,458.0,461.25,461.25,206656,463.1499938964844,490.6000030517579,492.5490008544922,-17.724998474121037,-1.4349999999999454,0,Sell
2074,2022-06-17,435.7000122070313,461.0,430.0,454.8500061035156,454.8500061035156,819674,438.1499938964844,447.8975006103516,454.5979998779297,12.472497558593773,1.7260003662109398,1,Buy
2064,2022-06-03,455.7999877929688,462.0,441.75,455.4500122070313,455.4500122070313,552007,452.3500061035156,432.45250244140624,453.29799987792967,-9.52499694824229,-0.32199951171872954,0,Sell
2063,2022-06-02,443.3999938964844,456.0,441.6499938964844,452.3500061035156,452.3500061035156,529187,446.7000122070313,432.3625015258789,453.1579998779297,-11.139997863769622,0.36900024414063637,1,Buy
2062,2022-06-01,456.8500061035156,462.9500122070313,439.7999877929688,446.7000122070313,446.7000122070313,660282,452.5,432.5125015258789,453.6189996337891,-13.517497253418071,-0.013999633789069321,0,Sell
2058,2022-05-26,431.9500122070313,444.0,420.5,440.6000061035156,440.6000061035156,455365,432.4500122070313,439.87250061035155,456.0959997558594,-16.442497253418082,0.43400024414057725,1,Buy
2001,2022-03-02,477.1000061035156,482.75,470.75,479.9500122070313,479.9500122070313,276363,486.0499877929688,473.38000030517577,495.7540008544922,-22.81250152587893,-0.5370013427734079,0,Sell
1953,2021-12-22,424.9500122070313,447.0,424.8500061035156,439.9500122070313,439.9500122070313,465986,425.2000122070313,439.5600021362305,463.4770025634766,-13.487500000000011,2.9630004882812955,1,Buy
1932,2021-11-23,449.8999938964844,473.8999938964844,446.2999877929688,466.1000061035156,466.1000061035156,399890,458.3500061035156,473.7875030517579,469.85400146484375,-3.939999389648449,-0.22999938964835565,0,Sell
1814,2021-06-02,279.75,293.95001220703125,278.95001220703125,289.5,288.5316772460937,988293,278.5,266.2225006103516,278.57100158691406,1.7374984741210824,0.6029986572265784,1,Buy
1752,2021-02-26,348.0,361.9500122070313,344.25,347.75,346.5868225097656,178188,348.5,355.81500549316405,353.7380010986328,-0.934999084472679,-0.7069982910156227,0,Sell
1675,2020-11-06,269.0,269.8500061035156,266.5,267.1000061035156,266.20660400390625,127347,268.54998779296875,267.8474998474121,269.3499984741211,1.8874992370605241,0.17300170898437273,1,Buy
1671,2020-11-02,267.5,272.5,264.1000061035156,268.20001220703125,267.30291748046875,203924,267.8500061035156,265.3150009155273,268.1499984741211,2.9075004577636605,-0.054998168945303405,0,Sell
1586,2020-07-03,179.0,182.8999938964844,175.5,181.3999938964844,179.84185791015625,501746,176.8000030517578,175.677498626709,170.9559994506836,9.33750076293947,0.4080001831054574,1,Buy
1487,2020-02-05,394.0,407.8999938964844,387.9500122070313,393.3999938964844,390.0209045410156,151750,398.6000061035156,410.6725021362305,407.82500061035165,-8.054997253418037,-0.2860003662109989,0,Sell
1476,2020-01-21,409.75,409.75,393.1000061035156,396.2000122070313,392.796875,148232,411.2000122070313,425.37250061035155,408.60000061035163,6.63250274658202,0.762000122070333,1,Buy
1464,2020-01-03,421.8500061035156,437.0,420.0499877929688,424.6499938964844,421.0024719238281,117876,429.3999938964844,410.50500030517577,407.20199951171884,12.552500915527332,-0.46899902343750455,0,Sell
1448,2019-12-11,396.0,398.75,389.1499938964844,392.3500061035156,388.97991943359375,109301,391.25,390.2675018310547,405.92100036621093,-12.357496643066384,0.2639990234375773,1,Buy
1385,2019-09-06,452.5,459.5,444.25,450.75,445.3431701660156,96355,449.7999877929688,448.0349975585938,440.28199768066406,19.002497863769577,-0.22799804687497272,0,Sell
1373,2019-08-20,461.2000122070313,466.6000061035156,452.9500122070313,460.3500061035156,454.8280029296875,118192,460.6000061035156,422.70750122070314,440.35599853515623,-3.1699966430663835,0.8639990234375432,1,Buy
1320,2019-06-03,500.0,509.8999938964844,491.6499938964844,498.2000122070313,492.2239990234375,157792,497.0499877929688,469.5249954223633,472.23499694824227,8.67249450683596,-0.0149993896484375,0,Sell
1252,2019-02-18,331.8999938964844,339.8999938964844,325.0,331.04998779296875,327.0789794921875,230742,329.8999938964844,340.1999969482422,344.66899841308594,1.842498779296875,0.2619989013671784,1,Buy
1226,2019-01-10,344.75,344.79998779296875,335.0,339.3500061035156,335.2794494628906,118616,343.6499938964844,350.62749938964845,346.32499938964844,0.5374984741210938,-0.024999999999977263,0,Sell
1209,2018-12-17,358.0,358.0,347.3500061035156,348.95001220703125,344.7642517089844,89264,353.5,348.95249938964844,343.24199951171875,3.219999694824196,1.134999389648442,1,Buy
1152,2018-09-21,471.3500061035156,481.9500122070313,422.0,464.8999938964844,459.3233947753906,232637,467.3999938964844,489.32249908447267,446.09799926757813,1.8199966430664176,-0.9240002441406432,0,Sell
1113,2018-07-24,387.5499877929688,401.0,387.5499877929688,400.3500061035156,394.2593994140625,136777,388.6499938964844,381.09750061035163,392.1530010986328,1.1699996948242415,1.3419995117187682,1,Buy
1067,2018-05-21,426.0,430.0,415.2000122070313,421.8999938964844,415.4815673828125,103971,425.1499938964844,430.48249969482424,417.13500061035165,7.055000305175781,-0.12100036621097843,0,Sell
1023,2018-03-15,403.0499877929688,407.6000061035156,398.1499938964844,400.8500061035156,394.7518310546875,98083,402.4500122070313,404.09250183105473,405.0569989013672,4.782502746582054,0.036000976562490905,1,Buy
995,2018-02-01,425.0,450.0,402.5499877929688,419.5,413.1180725097656,837316,422.3500061035156,409.05249786376953,409.98799865722657,-3.185000610351551,-0.7609997558593591,0,Sell
731,2017-01-10,123.4250030517578,129.875,122.75,126.875,124.37344360351562,239738,121.5250015258789,113.11125030517579,109.93500030517578,6.67124977111817,0.5810000610351551,1,Buy
683,2016-11-02,143.5,146.5,141.0,142.5,139.6903533935547,285316,144.5500030517578,135.97250022888184,127.10399993896485,5.677499771118164,-1.0539997863769628,0,Sell
659,2016-09-26,125.0999984741211,127.25,124.625,125.0749969482422,122.60892486572266,75622,126.5250015258789,121.89125022888183,122.2604997253418,3.7200004577636605,0.0975001525878838,1,Buy
657,2016-09-22,126.8000030517578,128.89999389648438,125.1750030517578,127.7249984741211,125.20668029785156,174392,127.1500015258789,120.88250045776367,121.9479997253418,3.803750991821289,-0.10350006103516307,0,Sell
582,2016-06-03,109.5,110.0,108.0749969482422,108.25,105.28108215332033,117486,108.8499984741211,106.61500053405761,107.84000015258789,0.7275005340576115,0.04999999999999716,1,Buy
569,2016-05-17,107.25,113.25,107.25,109.4000015258789,106.3995590209961,63170,106.5500030517578,105.81374969482422,108.03099990844727,-0.20124969482421307,-0.3594998168945409,0,Sell
551,2016-04-21,110.5,110.5250015258789,103.0,103.5749969482422,100.73430633544922,44914,108.0999984741211,110.60375022888184,107.44150009155274,-2.960000228881839,0.07149978637694687,1,Buy
495,2016-01-25,111.5,111.5,107.5,108.4000015258789,105.4269790649414,36434,111.625,121.39375038146973,117.67699981689454,-1.571249389648429,-0.11849960327148779,0,Sell
443,2015-11-06,111.8000030517578,112.8499984741211,111.25,111.875,108.80667114257812,44260,111.9000015258789,110.7375,110.28349975585938,1.3324996948242216,0.2799996948242125,1,Buy
371,2015-07-23,150.3000030517578,152.0,145.25,149.39999389648438,144.6358184814453,117786,147.9250030517578,143.13249969482422,137.4120001220703,5.878749847412109,-0.5075006103515705,0,Sell
349,2015-06-23,130.8000030517578,149.0,129.25,143.8000030517578,139.2144012451172,158954,131.1999969482422,133.29000015258788,134.30599975585938,-0.7825004577636889,0.1560003662109466,1,Buy
338,2015-06-08,134.02499389648438,139.4250030517578,132.52499389648438,135.3000030517578,130.98544311523438,114908,135.1999969482422,133.6625,133.9809997558594,1.7512504577636605,-0.030000000000001137,0,Sell
326,2015-05-21,131.60000610351562,133.5,130.14999389648438,131.89999389648438,127.69387817382812,67980,131.25,132.12624969482422,134.07899963378907,-4.331249237060547,0.27800033569334914,1,Buy
306,2015-04-22,134.8249969482422,137.0,132.0,134.4250030517578,130.1383514404297,46460,133.8000030517578,134.37624969482422,135.65850021362306,2.2512496948242244,-0.32400100708008495,0,Sell
282,2015-03-16,139.5,142.5,136.52499389648438,138.22500610351562,133.8171844482422,27454,138.8000030517578,139.87875061035157,132.25500076293946,4.266249465942394,0.2004997253417855,1,Buy
198,2014-11-12,151.75,152.0,146.0,149.9250030517578,145.1440887451172,46490,150.0,151.0687484741211,151.93549896240233,-0.7675003051757869,-0.023500061035150566,0,Sell
196,2014-11-10,151.02499389648438,152.47500610351562,149.10000610351562,150.25,145.45870971679688,43190,150.0749969482422,151.3437484741211,151.9889990234375,-0.9137496948242188,0.09799957275390625,1,Buy
195,2014-11-07,152.0,155.97500610351562,147.77499389648438,150.0749969482422,145.28929138183594,43976,151.4250030517578,151.46624832153321,152.14549896240234,-1.188749694824196,-0.009000549316397155,0,Sell
193,2014-11-03,150.52499389648438,151.9499969482422,147.75,149.89999389648438,145.11985778808594,35220,150.125,151.6512481689453,152.1514990234375,-1.8625000000000114,0.038999633789046584,1,Buy
128,2014-07-23,174.9250030517578,178.0,170.3000030517578,174.14999389648438,167.49046325683594,46822,174.72500610351562,175.5950019836426,173.15949981689454,-1.1274978637695199,-0.44599945068358693,0,Sell
24,2014-02-19,120.9749984741211,120.9749984741211,118.25,119.9749984741211,115.38713836669922,1070,119.3499984741211,128.31874961853026,130.29479185740152,-6.625368208043739,0.4723136466846256,1,Buy
