,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
1531,2023-12-28,2253.89990234375,2293.64990234375,2227.199951171875,2248.699951171875,2248.699951171875,17258,2253.89990234375,2212.0249877929687,2188.7999755859373,-49.802490234375,,0,Sell
1526,2023-12-20,2134.0,2138.35009765625,2060.0,2075.75,2075.75,7961,2122.550048828125,2250.0774780273437,2192.048974609375,-0.12747802734384095,2.3420019531249636,1,Buy
1520,2023-12-12,2300.0,2301.699951171875,2202.35009765625,2245.25,2245.25,8842,2282.800048828125,2258.8249633789064,2189.90697265625,55.922509765625364,-1.9019970703125182,0,Sell
1413,2023-07-06,1411.6500244140625,1469.5,1406.0,1408.449951171875,1408.449951171875,24398,1411.6500244140625,1446.7574951171875,1504.923994140625,-24.642492675781114,3.7389990234376,1,Buy
1397,2023-06-13,1492.949951171875,1511.949951171875,1475.0,1487.3499755859375,1487.3499755859375,10368,1471.0,1532.884991455078,1508.388994140625,-18.36250610351567,-0.39300048828135914,0,Sell
1343,2023-03-22,1320.0,1351.0,1295.5,1326.300048828125,1326.300048828125,6030,1312.9000244140625,1311.4025085449218,1352.58900390625,-42.109991455078216,3.068996582031332,1,Buy
1296,2023-01-12,1370.0,1388.550048828125,1353.0,1372.0999755859375,1372.0999755859375,16017,1383.449951171875,1481.9249938964845,1502.2169970703126,-66.8750122070312,-8.373996582031396,0,Sell
1246,2022-11-02,1163.0,1183.5,1117.4000244140625,1137.5,1137.5,22978,1161.1500244140625,1232.7875061035156,1258.1870043945312,47.442492675781295,5.6699951171874545,1,Buy
1242,2022-10-27,1337.25,1345.0,1236.550048828125,1247.5999755859375,1247.5999755859375,33660,1328.0999755859375,1213.9175048828124,1255.0200048828126,49.77749023437491,-0.38500732421880457,0,Sell
1156,2022-06-22,809.2000122070312,811.1500244140625,800.0,800.5,800.5,11475,810.9000244140625,857.5125030517578,820.9830004882813,19.585000610351585,2.048001708984316,1,Buy
1149,2022-06-13,851.0,879.0,835.0,859.7999877929688,859.7999877929688,14834,881.7999877929688,837.9275024414062,817.1629992675781,58.13000183105464,-0.8549975585937091,0,Sell
1046,2022-01-11,529.8499755859375,538.2999877929688,525.0,531.2000122070312,531.2000122070312,15093,529.8499755859375,520.3400039672852,518.745,10.245001220703102,0.3290045166015716,1,Buy
1044,2022-01-07,565.0,565.0,535.7000122070312,537.5,537.5,4010,546.6500244140625,518.0650039672852,517.8050012207032,10.075003051757847,-0.2269964599610148,0,Sell
1035,2021-12-27,498.1000061035156,503.9500122070313,496.7000122070313,500.7000122070313,500.7000122070313,3631,506.1000061035156,506.5375,519.7539978027344,1.4699981689453239,0.14600280761715112,1,Buy
1002,2021-11-09,545.0,564.0999755859375,545.0,558.2999877929688,558.2999877929688,10814,549.0999755859375,533.4699935913086,532.3629974365234,-7.477503967285202,-0.5010003662108602,0,Sell
999,2021-11-03,525.25,533.75,515.0,519.5499877929688,519.5499877929688,6776,515.5999755859375,535.842497253418,532.1769989013671,-6.627497863769577,0.7869995117188182,1,Buy
968,2021-09-20,530.0,534.0,525.0499877929688,526.2999877929688,526.2999877929688,12724,531.0,531.5600036621094,538.1329986572266,-4.689994812011719,-0.07300048828130912,0,Sell
966,2021-09-16,536.0,536.0,522.0,527.4500122070312,527.4500122070312,9491,527.6500244140625,535.6400024414063,538.3449981689453,-2.852494812011628,0.1510009765625,1,Buy
961,2021-09-08,523.7999877929688,532.1500244140625,523.5999755859375,525.2999877929688,525.2999877929688,2044,527.0499877929688,536.2499984741211,537.7959973144531,-8.567498779296898,-0.3670001220702943,0,Sell
828,2021-02-23,375.9500122070313,376.2999877929688,368.0499877929688,370.0499877929688,365.1961364746094,15563,371.1000061035156,370.7649978637695,375.8659997558594,9.364999389648403,0.8650012207031068,1,Buy
815,2021-02-04,352.0,414.0,343.6000061035156,391.2999877929688,386.1673889160156,69401,346.8500061035156,356.68500061035155,375.19200012207034,-15.702500915527366,-0.1070007324219091,0,Sell
811,2021-01-29,345.0,345.0,336.5,337.8999938964844,333.46783447265625,1246,337.75,365.082502746582,377.3320007324219,-12.752497863769577,0.7679992675781477,1,Buy
793,2021-01-04,387.5,397.6499938964844,380.0,385.4500122070313,380.3941650390625,4785,387.5,394.0800003051758,381.08299987792975,4.600000000000023,-0.32999938964849207,0,Sell
764,2020-11-20,368.25,380.0499877929688,368.0499877929688,372.0,367.12054443359375,5220,370.5,372.7725006103516,372.44299987792976,4.622502136230423,0.39699951171871817,1,Buy
738,2020-10-15,363.0499877929688,387.0,360.0,360.5499877929688,355.8207397460937,4129,360.2999877929688,368.7224990844727,381.3720001220703,-9.682502746582031,-2.1700006103515648,0,Sell
631,2020-05-15,220.0,226.3000030517578,215.0,221.0500030517578,215.1875457763672,818,221.8999938964844,214.74749908447265,203.425,18.3699996948242,0.26599975585935454,1,Buy
578,2020-02-24,281.0,291.95001220703125,279.0,285.25,277.6849060058594,4143,287.0,293.4625,278.9779998779297,-2.8225006103515966,-1.5699996948242188,0,Sell
532,2019-12-18,255.0,261.95001220703125,255.0,257.6499938964844,250.81686401367188,426,259.95001220703125,267.64000244140624,268.51500091552737,-6.337500000000034,0.45700103759764943,1,Buy
503,2019-11-06,278.04998779296875,284.3999938964844,271.3500061035156,281.95001220703125,274.4724426269531,4100,288.1000061035156,263.1799995422363,276.54800018310544,-3.804998779296909,-0.2309985351562318,0,Sell
498,2019-10-30,262.0,281.5,256.20001220703125,273.29998779296875,266.0517883300781,1663,263.6000061035156,264.12499923706054,277.01399993896484,-15.1875,0.07100097656251592,1,Buy
379,2019-05-06,393.9500122070313,395.0,373.2000122070313,379.2999877929688,362.3111267089844,2730,390.6499938964844,397.5074966430665,386.4039971923828,2.622500610351608,-0.5430004882812227,0,Sell
376,2019-04-30,401.8500061035156,401.8500061035156,387.25,389.1499938964844,371.719970703125,816,396.2000122070313,398.167497253418,386.91699768066405,4.915000915527344,0.2159991455077943,1,Buy
374,2019-04-25,407.7000122070313,409.0,395.7999877929688,403.75,385.666015625,749,411.5,396.40499572753913,387.39299743652344,3.2274993896485284,-0.05600036621092386,0,Sell
373,2019-04-24,383.5499877929688,414.0,383.5,411.5,393.0688781738281,2986,383.2999877929688,394.7049957275391,387.26999755859373,1.3824996948242188,0.2649993896484375,1,Buy
300,2019-01-03,425.0,430.0,420.1499938964844,420.8999938964844,402.0478820800781,299,418.8500061035156,424.2699981689454,428.7919989013672,0.43499755859380684,-0.8320001220703261,0,Sell
276,2018-11-29,434.8999938964844,441.0,415.0,429.6000061035156,410.3582153320313,3652,422.5,437.1024993896484,421.8739990234375,3.7775024414062273,0.12099914550782387,1,Buy
263,2018-11-09,484.0,484.0,461.5499877929688,469.2999877929688,448.280029296875,1644,484.8999938964844,422.5899963378906,422.5509991455079,17.164997863769486,-0.7500000000000568,0,Sell
252,2018-10-24,423.0,438.8999938964844,420.0,420.0499877929688,401.2359313964844,1049,415.0499877929688,404.7399978637696,423.05399963378915,-5.817501831054642,0.7869995117187614,1,Buy
83,2018-02-15,669.5,669.5,640.5999755859375,641.4000244140625,607.519775390625,3762,652.0499877929688,668.9425048828125,665.3840026855469,-19.792501831054665,-0.8239990234375227,0,Sell
81,2018-02-12,636.75,649.0,627.5,633.4000244140625,599.9423217773438,1980,634.5499877929688,673.9800048828125,665.5290026855469,-20.827499389648438,0.26100219726561136,1,Buy
