,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2452,2023-12-28,352.3999938964844,357.0,351.04998779296875,354.6000061035156,354.6000061035156,55026,353.1000061035156,351.082502746582,350.90600036621095,3.040002441406216,,0,Sell
2451,2023-12-27,356.3999938964844,358.79998779296875,351.8999938964844,353.1000061035156,353.1000061035156,50495,355.3500061035156,350.56500244140625,351.1680004882812,2.5575027465820312,0.616000366210983,1,Buy
2442,2023-12-13,372.0,372.7999877929688,360.5,362.2000122070313,362.2000122070313,179281,370.25,347.41499786376954,350.45100036621096,0.33500061035158524,-0.4369995117187955,0,Sell
2435,2023-12-04,343.29998779296875,352.0,341.95001220703125,344.3999938964844,344.3999938964844,80111,340.25,347.07999725341796,351.1490002441406,-0.9750000000000227,0.10399963378910115,1,Buy
2356,2023-08-07,381.5,381.5,365.6000061035156,367.8999938964844,367.8999938964844,212198,383.8500061035156,390.27750091552736,386.6070013427735,-8.227497863769543,-1.8799999999999955,0,Sell
2276,2023-04-12,364.8999938964844,369.1000061035156,354.1000061035156,361.1000061035156,361.1000061035156,442855,363.2000122070313,327.7174987792969,342.3859991455078,4.99749755859375,1.9840014648437432,1,Buy
2253,2023-03-06,326.8999938964844,334.45001220703125,326.8999938964844,330.6499938964844,330.6499938964844,95839,325.6000061035156,348.5374984741211,354.850998840332,-16.102499389648415,-0.25399932861324714,0,Sell
2180,2022-11-22,265.1000061035156,276.79998779296875,265.1000061035156,272.29998779296875,272.29998779296875,40213,267.5,282.4074966430664,277.1239984130859,1.1599990844726449,0.7120001220703216,1,Buy
2166,2022-11-01,282.75,282.95001220703125,273.0,277.54998779296875,277.54998779296875,49734,280.54998779296875,272.2224998474121,278.11700042724607,6.889998626708973,-0.9930020141601403,0,Sell
2096,2022-07-19,201.9499969482422,204.3999938964844,200.0500030517578,202.3000030517578,202.3000030517578,31627,201.5500030517578,194.7224998474121,201.95099945068358,4.412502288818359,0.03599975585939319,1,Buy
2047,2022-05-11,221.3999938964844,222.4499969482422,201.0,209.6000061035156,209.6000061035156,90847,218.4499969482422,246.88750152587892,235.7890005493164,-12.887500762939453,-0.35199920654295624,0,Sell
1933,2021-11-24,173.9499969482422,180.3999938964844,173.10000610351562,175.5500030517578,175.5500030517578,52754,173.35000610351562,171.79999847412108,170.53699951171876,3.3149993896484204,0.005000305175769881,1,Buy
1927,2021-11-15,183.8999938964844,183.8999938964844,172.25,176.5,176.5,106869,175.14999389648438,168.77249908447266,169.6739993286133,2.4374992370605355,-0.10499938964844091,0,Sell
1914,2021-10-26,162.89999389648438,163.85000610351562,160.0,161.64999389648438,161.64999389648438,20257,161.9499969482422,167.6675003051758,169.4770001220703,-1.6274993896484204,0.4089993286132767,1,Buy
1877,2021-09-01,168.9499969482422,168.9499969482422,165.1999969482422,165.89999389648438,165.89999389648438,18002,166.5500030517578,174.68750076293946,180.2349996948242,-8.487499237060547,-0.647999877929692,0,Sell
1805,2021-05-20,144.6999969482422,151.0,142.5,147.64999389648438,147.64999389648438,109894,144.39999389648438,133.19249839782714,136.8189988708496,2.252499008178688,0.6899999999999977,1,Buy
1789,2021-04-27,128.60000610351562,133.75,126.25,130.4499969482422,130.4499969482422,38730,127.75,129.78499946594238,138.552999420166,-4.397499847412121,-0.3080004882812375,0,Sell
1680,2020-11-13,96.4499969482422,98.25,95.4499969482422,97.4499969482422,97.4499969482422,14824,96.6999969482422,93.92249984741211,95.43900009155273,-0.20499954223633665,0.2529995727539074,1,Buy
1655,2020-10-09,99.8499984741211,101.9499969482422,97.0,97.4000015258789,97.4000015258789,40266,99.8499984741211,96.40750045776366,97.5690005493164,-0.8375003814697237,-0.04800048828124659,0,Sell
1640,2020-09-17,99.1500015258789,101.8000030517578,99.0,99.75,99.75,14702,101.0500030517578,101.96500091552733,97.2340005493164,-0.04749946594239418,0.15699996948242756,1,Buy
1625,2020-08-27,116.1999969482422,117.8000030517578,108.5,108.5500030517578,108.5500030517578,250038,114.1999969482422,96.94750099182129,97.25800003051758,4.295000457763663,-0.08299957275390568,0,Sell
1620,2020-08-20,101.8000030517578,104.4000015258789,99.6999969482422,100.3499984741211,100.3499984741211,53290,102.1999969482422,93.61000022888183,97.17199996948243,2.0874999999999915,0.044000244140619316,1,Buy
1617,2020-08-17,101.0,101.5,97.8000030517578,100.5999984741211,100.5999984741211,38120,102.9000015258789,92.26000061035157,97.65600021362305,-0.32249946594237144,-0.1690000915527321,0,Sell
1554,2020-05-19,68.0999984741211,70.25,67.19999694824219,67.6500015258789,67.6500015258789,9886,68.05000305175781,72.03749961853028,68.4459999847412,-0.46500034332275675,0.8479998779296949,1,Buy
1493,2020-02-13,108.4499969482422,109.75,105.3000030517578,106.0999984741211,103.66651153564452,22911,107.75,111.65250015258789,107.19100036621094,-0.49000053405761435,-0.3569998168945432,0,Sell
1474,2020-01-17,122.8000030517578,126.4000015258789,121.0,126.4000015258789,123.50091552734376,130462,120.4000015258789,107.06250076293945,106.26300048828125,4.4375,0.30600006103514943,1,Buy
1317,2019-05-29,215.0,218.9499969482422,198.25,199.8999938964844,193.12466430664065,607934,223.3500061035156,172.06500015258788,180.99400024414064,3.1975013732910043,-0.5460000610351585,0,Sell
1307,2019-05-15,152.1999969482422,157.89999389648438,152.1999969482422,153.5,148.29734802246094,21456,152.1999969482422,174.18499908447265,181.13899993896484,-10.987501525878912,0.2360006713867051,1,Buy
1295,2019-04-25,184.8999938964844,186.8999938964844,181.6000061035156,182.4499969482422,176.26612854003906,26044,183.75,188.24250183105468,180.14400054931642,0.8900009155273381,-0.04900054931641762,0,Sell
1277,2019-03-27,177.85000610351562,185.8999938964844,177.10000610351562,182.8000030517578,176.604248046875,112070,177.85000610351562,183.06499938964845,179.30800048828124,8.98999938964846,0.18899993896485512,1,Buy
1077,2018-06-04,413.0,418.8999938964844,390.8500061035156,390.8500061035156,376.0712890625,12425,411.3999938964844,415.35499877929686,434.776000366211,-36.842504882812534,-0.46799865722664435,0,Sell
1031,2018-03-27,348.0,359.8999938964844,344.6499938964844,347.3500061035156,334.216064453125,97930,343.29998779296875,370.8949996948242,386.8579992675781,-12.927500915527332,3.3379992675781978,1,Buy
961,2017-12-13,400.0,408.9500122070313,394.0,396.3500061035156,381.3633117675781,17033,400.0,415.17750244140626,418.7470007324219,-22.652497863769497,-2.292999267578125,0,Sell
888,2017-08-30,180.25,182.0,179.35000610351562,179.89999389648438,173.09767150878906,53719,178.5500030517578,182.2074996948242,188.51499938964844,-6.640000152587902,1.393000183105471,1,Buy
879,2017-08-16,182.3999938964844,185.1000061035156,180.10000610351562,181.3999938964844,174.5409393310547,83701,181.3999938964844,190.11999969482423,188.03099975585937,-4.904999542236311,-0.06800018310545397,0,Sell
846,2017-06-29,188.0,189.25,183.0,183.6499938964844,176.70587158203125,145759,179.0500030517578,180.97249908447264,185.35299926757813,3.9399993896484204,0.35399993896484716,1,Buy
834,2017-06-12,175.0,179.0500030517578,173.6999969482422,174.14999389648438,167.12913513183594,64305,175.60000610351562,180.83749923706054,185.1149996948242,-3.7649993896484375,-0.40100067138669715,0,Sell
798,2017-04-20,196.0,204.6000061035156,195.0,201.3999938964844,193.28057861328125,295572,194.8500061035156,179.75500030517577,180.52099975585938,8.527500915527327,0.26699981689452557,1,Buy
751,2017-02-08,201.6000061035156,206.5,199.0,201.3000030517578,193.18463134765625,167472,200.1999969482422,198.94249954223633,194.4070004272461,2.1349998474121037,-1.6550003051757756,0,Sell
664,2016-10-03,95.6500015258789,97.75,95.6500015258789,96.5,92.609619140625,54222,95.3000030517578,97.33749961853027,97.35199981689453,2.2900001525878935,0.10500000000000398,1,Buy
623,2016-08-02,102.0,109.6999969482422,102.0,105.0500030517578,100.81492614746094,308893,102.1500015258789,104.65499954223633,100.69100036621094,1.227499389648429,-0.16400009155273665,0,Sell
601,2016-06-30,103.4499969482422,103.6500015258789,101.25,101.75,97.64795684814452,89434,102.6500015258789,99.23750076293945,99.66200073242187,1.2649997711181555,0.024999694824217045,1,Buy
581,2016-06-02,94.5500030517578,96.0,94.0,94.4499969482422,90.64225006103516,23795,95.0500030517578,95.6925006866455,101.81200012207032,-4.649999618530273,-0.285999755859379,0,Sell
535,2016-03-23,89.0,93.0999984741211,87.75,91.9499969482422,88.2430419921875,144692,88.69999694824219,86.82750015258789,93.50099990844727,1.54749946594238,0.3609999084472548,1,Buy
