,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
1428,2023-12-28,27.149999618530277,27.149999618530277,27.149999618530277,27.149999618530277,27.149999618530277,635,27.700000762939453,28.137500190734862,27.968999977111817,-1.3799999237060554,,0,Sell
1423,2023-12-20,27.350000381469727,27.350000381469727,27.350000381469727,27.350000381469727,27.350000381469727,3016,26.850000381469727,28.975000190734864,28.30499996185303,-1.1974998474121072,0.08800006866454524,1,Buy
1413,2023-12-06,28.5,28.5,28.5,28.5,28.5,6738,29.049999237060547,29.994999980926515,28.107999916076665,1.942500114440918,-0.013999938964847303,0,Sell
1338,2023-08-16,22.75,23.899999618530277,22.75,23.049999237060547,23.049999237060547,22078,22.700000762939453,21.74250011444092,23.030000152587892,-0.309999942779541,0.057999877929685084,1,Buy
1323,2023-07-25,22.299999237060547,22.299999237060547,21.299999237060547,21.649999618530277,21.649999618530277,16890,22.25,22.967500019073487,23.15200004577637,-0.8600000381469712,-0.06899990081787166,0,Sell
1257,2023-04-19,19.950000762939453,20.399999618530277,19.25,19.649999618530277,19.649999618530277,1230,19.600000381469727,19.072500133514406,19.668000087738037,-0.904999923706054,0.11099994659424084,1,Buy
1196,2023-01-16,28.950000762939453,29.0,26.700000762939453,27.350000381469727,27.350000381469727,134920,29.549999237060547,22.50999984741211,23.12599994659424,0.052499961853030186,-0.07099998474120994,0,Sell
1191,2023-01-09,22.799999237060547,22.850000381469727,21.799999237060547,22.049999237060547,22.049999237060547,4871,22.299999237060547,22.254999923706055,23.160999984741217,-0.4600000381469762,0.040999946594237,1,Buy
1140,2022-10-27,23.649999618530277,26.399999618530277,23.649999618530277,25.799999237060547,25.799999237060547,6958,24.549999237060547,23.857500076293945,24.442000007629396,-0.1824999809265151,-0.09299995422363594,0,Sell
1085,2022-08-04,22.200000762939453,22.200000762939453,20.700000762939453,20.799999237060547,20.799999237060547,1936,21.649999618530277,21.804999923706056,22.20299991607666,0.04250011444091584,0.10599998474121008,1,Buy
957,2022-01-31,33.75,34.650001525878906,32.75,34.650001525878906,34.650001525878906,19890,33.0,39.425000762939455,36.30400012969971,0.8775005340576172,-0.06999992370605668,0,Sell
898,2021-11-04,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,0,24.950000762939453,24.692499828338626,24.860999870300294,0.039999961853030896,0.0890000915527338,1,Buy
879,2021-10-07,24.549999237060547,24.549999237060547,24.549999237060547,24.549999237060547,24.549999237060547,2000,24.0,24.777499866485595,25.094999961853027,-0.1875,-0.06900009155273423,0,Sell
819,2021-07-12,16.0,16.5,16.0,16.5,16.5,6000,15.850000381469728,17.749999904632567,18.174000282287597,-0.052500057220459695,0.08399978637695327,1,Buy
783,2021-05-21,18.950000762939453,18.950000762939453,18.950000762939453,18.950000762939453,18.950000762939453,0,18.950000762939453,18.957500553131105,19.02599992752075,-0.2099994659423814,-0.08299985885620131,0,Sell
768,2021-04-29,18.950000762939453,18.950000762939453,18.950000762939453,18.950000762939453,18.950000762939453,4000,18.600000381469727,19.407499408721925,18.85499973297119,-0.49249982833862305,0.10300018310546832,1,Buy
715,2021-02-08,21.200000762939453,21.200000762939453,21.200000762939453,21.200000762939453,21.200000762939453,0,21.200000762939453,23.26750020980835,22.774999980926513,-0.4399998664855964,-0.009999828338621342,0,Sell
648,2020-11-02,7.849999904632568,7.849999904632568,7.849999904632568,7.849999904632568,7.849999904632568,0,7.849999904632568,8.509999871253967,9.232999982833862,-0.4075001001358025,0.05300000190734977,1,Buy
572,2020-07-16,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,0,13.699999809265137,13.24500002861023,12.860999908447265,0.31749997138977015,-0.028999977111816122,0,Sell
559,2020-06-29,13.0,13.0,13.0,13.0,13.0,0,13.0,12.772499895095825,12.862999877929688,0.07750005722045827,0.021000022888182812,1,Buy
470,2020-02-13,28.5,28.75,28.5,28.600000381469727,28.600000381469727,14000,29.149999618530277,28.684999847412108,27.170999870300292,0.4524999618530252,-0.035999946594238,0,Sell
397,2019-10-31,20.600000381469727,21.75,20.5,21.450000762939453,21.450000762939453,16000,21.350000381469727,20.53000020980835,21.94900005340576,-0.20499982833862163,0.21500003814697166,1,Buy
393,2019-10-25,23.0,23.25,22.0,23.25,23.25,8000,23.200000762939453,20.622500133514404,21.932000045776366,-0.5299998283386245,-0.04299999237060348,0,Sell
388,2019-10-17,20.5,21.049999237060547,20.5,21.0,21.0,16000,20.200000762939453,20.814999961853026,21.83099998474121,-1.4625000000000021,0.013000068664549502,1,Buy
297,2019-06-03,39.400001525878906,39.70000076293945,38.0,39.09999847412109,39.09999847412109,22000,39.25,40.17750015258789,38.61000022888184,-0.22999992370605327,-0.19900009155273324,0,Sell
187,2018-12-18,21.5,21.5,21.5,21.5,21.5,2000,23.0,23.090000057220458,23.616999855041502,-1.0699998855590849,0.1259999847412132,1,Buy
