,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2451,2023-12-28,14249.0,14249.0,13861.0,13958.7998046875,13958.7998046875,674,14083.7001953125,14002.225048828124,13547.82900390625,103.239990234375,,0,Sell
2447,2023-12-21,13732.25,13998.0,13600.0,13923.5498046875,13923.5498046875,347,13950.400390625,13989.205126953126,13622.26103515625,366.33261718750146,2.4879492187501455,1,Buy
2402,2023-10-16,14981.0,15344.75,14851.0,14908.7001953125,14908.7001953125,639,15161.400390625,14596.970068359375,14011.63201171875,187.49506835937427,-17.43499999999949,0,Sell
2212,2023-01-05,7350.0,7498.0,7305.0,7380.10009765625,7380.10009765625,242,7402.5498046875,7601.572509765625,7839.985,-281.3224609375002,2.3770019531257276,1,Buy
2196,2022-12-14,7974.39990234375,7990.0,7914.0,7944.89990234375,7944.89990234375,5841,7973.89990234375,8140.677490234375,7875.787001953125,34.394995117187136,-14.975996093749927,0,Sell
2165,2022-10-31,7632.0498046875,7727.9501953125,7308.0,7471.0498046875,7471.0498046875,659,7638.4501953125,7628.697534179688,7716.780048828125,104.33500976562573,4.930986328125073,1,Buy
2120,2022-08-24,7787.39990234375,7804.0,7746.2001953125,7788.9501953125,7788.9501953125,195,7787.39990234375,7969.552490234375,8017.786982421875,-112.22995605468714,-6.616982421875036,0,Sell
2015,2022-03-23,5097.5,5121.0,5018.9501953125,5076.4501953125,5076.4501953125,387,5085.14990234375,4933.142504882812,5106.833994140625,-0.4799560546880457,7.011005859375473,1,Buy
1983,2022-02-03,5260.0,5340.0,5199.0,5295.2998046875,5295.2998046875,469,5283.9501953125,5245.980029296875,5189.9940234375,30.550048828125,-9.904033203124527,0,Sell
1902,2021-10-07,4320.0,4320.0,4235.0,4269.2998046875,4253.12548828125,401,4273.89990234375,4400.194995117187,4337.397998046875,5.480004882811954,11.033984374999818,1,Buy
