,Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close,20_SMA,50_SMA,20_SMA_diff,50_SMA_diff,Signal,Position
2437,2023-12-06,693.0,700.8499755859375,683.1500244140625,690.5499877929688,690.5499877929688,688199,680.2999877929688,691.4649993896485,708.2839990234374,-21.767501831054688,-0.24299804687495907,0,Sell
2436,2023-12-05,659.8499755859375,685.9500122070312,655.0,680.2999877929688,680.2999877929688,679564,653.4500122070312,693.5899993896485,708.1049987792969,-19.617501831054597,0.4300024414062591,1,Buy
2424,2023-11-16,724.8499755859375,738.0,708.7999877929688,711.5499877929688,711.5499877929688,251436,719.9000244140625,724.8150024414062,710.7289990234375,-6.067498779296898,-2.1070007324218523,0,Sell
2354,2023-08-03,491.3999938964844,496.75,478.0,479.0499877929688,479.0499877929688,195140,491.3999938964844,480.1825012207031,501.0009991455079,-7.2025009155273665,1.2639996337890693,1,Buy
2308,2023-05-30,533.0,545.0,531.0499877929688,542.5,542.5,120388,530.9000244140625,554.5450042724609,542.8119982910156,-1.9874938964843523,-0.17300048828121817,0,Sell
2263,2023-03-21,506.6000061035156,525.0,504.0499877929688,521.7000122070312,521.7000122070312,151738,504.0499877929688,496.7625,512.6220007324218,-3.769999694824321,1.1809979248047284,1,Buy
2197,2022-12-15,580.0,586.5,577.0999755859375,579.0499877929688,579.0499877929688,80680,580.8499755859375,594.5050018310546,577.5999981689453,-3.8124969482422557,-1.550001831054601,0,Sell
2171,2022-11-09,597.0,619.0,595.5499877929688,609.7999877929688,609.7999877929688,446422,592.4000244140625,571.7524963378906,562.0099987792969,34.14500122070319,0.5549975585937545,1,Buy
2164,2022-10-28,609.0999755859375,616.4500122070312,592.9000244140625,600.8499755859375,600.8499755859375,239008,607.0999755859375,537.6074951171875,558.4349975585938,20.827499389648438,-0.18200073242189774,0,Sell
2084,2022-07-01,338.0,349.8999938964844,331.95001220703125,347.1499938964844,347.1499938964844,331427,337.54998779296875,323.25999908447267,332.36900024414064,-6.9524993896484375,0.9569989013671716,1,Buy
2063,2022-06-02,345.5,359.8999938964844,345.5,358.29998779296875,358.29998779296875,291728,347.8999938964844,330.3775009155273,340.21400146484376,-5.24250183105471,-1.26300048828125,0,Sell
1996,2022-02-22,242.0,242.3500061035156,235.0,236.0,236.0,129026,246.1999969482422,250.00499877929687,245.1579995727539,-0.7724998474121207,0.44400054931639943,1,Buy
1938,2021-12-01,248.1999969482422,255.0,248.1999969482422,252.1000061035156,252.1000061035156,162580,246.75,259.1474983215332,260.5570001220703,-0.11250000000001137,-1.1579992675780773,0,Sell
1890,2021-09-21,233.1999969482422,239.0,227.1000061035156,236.3000030517578,236.3000030517578,236152,231.5,232.73999938964843,248.31899932861327,-5.892499542236322,1.0570001220703205,1,Buy
1866,2021-08-16,257.6499938964844,262.04998779296875,251.5500030517578,254.0,252.90753173828125,240471,257.54998779296875,259.0474998474121,254.00399963378905,-2.0624992370605355,-0.3519995117187307,0,Sell
1817,2021-06-07,233.1999969482422,235.9499969482422,230.0,231.4499969482422,230.4545135498047,293656,234.3999938964844,213.80750045776367,216.92300079345702,6.615000152587896,0.18099914550782614,1,Buy
